,CLA FP Equity_DX_SI_QTY,CLA FP Equity_DX_SHORT_INTEREST_VALUE,CLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CLA FP Equity_DX_SI_MV,CLA FP Equity_DX_DSS,CLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CLA FP Equity_DX_SUPPLY_SI_QTY,CLA FP Equity_DX_BROKER_SI_QTY,CLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CLA FP Equity_DX_BROKER_SI_MV_NEW_x,CLA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CLA FP Equity_DX_SUPPLY_SI_QTY_INC_x,CLA FP Equity_DX_BROKER_SI_MV_INC_x,CLA FP Equity_DX_SUPPLY_SI_MV_NEW,CLA FP Equity_DX_BROKER_SI_QTY_ADD,CLA FP Equity_DX_BROKER_SI_QTY_NEW,CLA FP Equity_DX_SUPPLY_SI_MV_DEC,CLA FP Equity_DX_BROKER_SI_QTY_INC,CLA FP Equity_DX_SUPPLY_SI_QTY_DEC,CLA FP Equity_DX_BROKER_SI_MV_NEW_y,CLA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CLA FP Equity_DX_BROKER_SI_MV_INC_y,CLA FP Equity_DX_SUPPLY_SI_QTY_INC_y,CLA FP Equity_DX_BROKER_SI_MV_ADD,CLA FP Equity_DX_SUPPLY_SI_QTY_ADD,CLA FP Equity_DX_BROKER_SI_QTY_DEC,CLA FP Equity_DX_SUPPLY_SI_MV,CLA FP Equity_DX_BROKER_SI_MV_DEC,CLA FP Equity_DX_SUPPLY_SI_MV_RMV,CLA FP Equity_DX_BROKER_SI_MV_RMV,CLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CLA FP Equity_DX_UTILIZATION_QUANTITY,CLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CLA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CLA FP Equity_DX_ACTIVE_UTILIZATION_MV,CLA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CLA FP Equity_DX_BROKER_SI_CON_RATIO,CLA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CLA FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,139750.0,3103847.5,2.53,6.46,2.12,2.95,1.0,3103847.5,0.0,139750.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,38965.0,865412.65,,0.85,0.0,,1.0,100.0,3.5866
2006-03-22,139750.0,3214250.0,2.53,5.83,2.12,2.95,1.0,3214250.0,0.0,139750.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39828.0,916044.0,,0.89,0.0,,1.0,100.0,3.5088
2006-03-29,139750.0,3151362.5,2.5,5.19,2.1,2.95,1.0,3151362.5,0.0,139750.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39317.0,886598.35,,0.87,0.0,,1.0,100.0,3.5544
2006-04-05,157750.0,3702392.5,2.79,5.86,2.35,3.36,1.0,3702392.5,0.0,157750.0,0.0,,,,0.41,,,,,18000.0,,,,0.41,,,,,0.0,,,,0.0,0.0,39486.0,926736.42,,0.9,0.0,,1.0,100.0,3.9951
2006-04-12,139782.0,3064021.44,2.47,5.33,2.08,2.96,1.0,3064021.44,0.0,139782.0,0.0,0.0,,,,,,32.0,,,,0.0,,,,,,18000.0,0.0,0.41,,,0.0,0.0,38879.0,852227.68,,0.84,0.0,0.02,0.9995,99.98,3.5953
2006-04-19,144782.0,3285103.58,2.56,5.53,2.15,3.07,1.0,3285103.58,0.0,144782.0,0.0,,,,,,5000.0,,,,,,,,,0.12,,,0.0,,,,0.0,0.0,13815.0,313462.35,,0.0,0.0,3.84,0.9256,96.13,3.7051
2006-04-26,139782.0,3122729.88,2.47,6.54,2.08,2.96,1.0,3122729.88,0.0,139782.0,0.0,,,,,,,,,,,,,,,,,5000.0,0.0,0.12,,,0.0,0.0,38947.0,870075.98,,0.85,0.0,0.02,0.9995,99.98,3.589
2006-05-03,141173.0,3159451.74,2.5,7.28,2.1,2.99,1.0,3159451.74,0.0,141173.0,0.0,,,,0.03,,,,,1391.0,,,,0.03,,,,,0.0,,,,0.0,0.0,38665.0,865322.7,,0.85,0.0,1.04,0.9795,98.96,3.6512
2006-05-10,141173.0,3138275.79,2.5,10.12,2.1,2.99,1.0,3138275.79,0.0,141173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,38787.0,862235.01,,0.85,0.0,1.05,0.9793,98.95,3.6397
2006-05-17,141173.0,3052160.26,2.5,10.6,2.1,2.99,1.0,3052160.26,0.0,141173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,38757.0,837926.34,,0.83,0.0,1.04,0.9793,98.96,3.6425
2006-05-24,146173.0,2938077.3,2.58,11.03,2.17,3.08,1.0,2938077.3,0.0,146173.0,0.0,,,,,,5000.0,,,,,,,,,0.1,,,0.0,,,,0.0,0.0,37801.0,759800.1,,0.77,0.0,3.26,0.919,95.8,3.8669
2006-05-31,151173.0,3050671.14,2.67,11.8,2.25,3.19,1.0,3050671.14,0.0,151173.0,0.0,,,,0.1,,,,,5000.0,,,,0.1,,,,,0.0,,,,0.0,0.0,37726.0,761310.68,,0.77,0.0,6.34,0.8646,92.76,4.0071
2006-06-07,151173.0,3099046.5,2.67,12.29,2.25,3.19,1.0,3099046.5,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12655.0,259427.5,,0.0,0.0,6.43,0.8627,92.66,3.9872
2006-06-14,151173.0,2832982.02,2.67,9.72,2.25,3.17,1.0,2832982.02,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,11814.0,221394.36,,0.0,0.0,5.91,0.8728,93.23,4.0776
2006-06-21,151173.0,2842052.4,2.67,10.12,2.25,3.17,1.0,2842052.4,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,11750.0,220900.0,,0.0,0.0,5.93,0.8726,93.22,4.0847
2006-06-28,151173.0,2767977.63,2.67,11.54,2.25,3.16,1.0,2767977.63,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,36917.0,675950.27,,0.71,0.0,5.79,0.8752,93.37,4.0949
2006-07-03,151173.0,2910080.25,2.67,11.94,2.25,3.17,1.0,2910080.25,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,11546.0,222260.5,,0.0,0.0,6.06,0.87,93.07,4.1073
2006-07-04,151173.0,2910080.25,2.67,12.88,2.25,3.17,1.0,2910080.25,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,11572.0,222761.0,,0.0,0.0,6.06,0.87,93.07,4.1044
2006-07-05,151173.0,2857169.7,2.67,13.74,2.25,3.17,1.0,2857169.7,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12836.0,242600.4,,0.0,0.0,5.96,0.8718,93.18,3.9682
2006-07-06,151173.0,2834493.75,2.67,13.95,2.25,3.17,1.0,2834493.75,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12805.0,240093.75,,0.0,0.0,5.92,0.8728,93.23,3.9714
2006-07-07,151173.0,2834493.75,2.67,14.03,2.25,3.17,1.0,2834493.75,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12872.0,241350.0,,0.0,0.0,5.92,0.873,93.24,3.9645
2006-07-10,151173.0,2857169.7,2.67,14.41,2.25,3.17,1.0,2857169.7,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12877.0,243375.3,,0.0,0.0,5.96,0.8722,93.2,3.9639
2006-07-11,151173.0,2872287.0,2.67,14.65,2.25,3.17,1.0,2872287.0,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12867.0,244473.0,,0.0,0.0,5.99,0.8716,93.16,3.965
2006-07-12,151173.0,2867751.81,2.67,15.29,2.25,3.17,1.0,2867751.81,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12668.0,240311.96,,0.0,0.0,5.98,0.8716,93.17,3.9858
2006-07-13,151173.0,2872287.0,2.67,15.68,2.25,3.17,1.0,2872287.0,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12742.0,242098.0,,0.0,0.0,5.99,0.8715,93.16,3.978
2006-07-14,151173.0,2834493.75,2.67,15.56,2.25,3.17,1.0,2834493.75,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12753.0,239118.75,,0.0,0.0,5.92,0.8728,93.23,3.9769
2006-07-17,151173.0,2796700.5,2.67,15.66,2.25,3.17,1.0,2796700.5,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12760.0,236060.0,,0.0,0.0,5.84,0.8742,93.31,3.9761
2006-07-18,151173.0,2742278.22,2.67,15.37,2.25,3.16,1.0,2742278.22,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,12844.0,232990.16,,0.0,0.0,5.74,0.8763,93.43,3.9674
2006-07-19,151173.0,2742278.22,2.67,16.16,2.25,3.16,1.0,2742278.22,0.0,151173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,13296.0,241189.44,,0.0,0.0,5.74,0.8766,93.45,3.9209
2006-07-20,146173.0,2631114.0,2.58,24.41,2.17,3.07,1.0,2631114.0,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,5000.0,0.0,0.09,,,0.0,0.0,13245.0,238410.0,,0.0,0.0,2.93,0.9269,96.23,3.7962
2006-07-21,146173.0,2645731.3,2.57,25.15,2.16,3.07,1.0,2645731.3,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,13244.0,239716.4,,0.0,0.0,2.95,0.9267,96.22,3.7963
2006-07-24,146173.0,1930945.33,2.57,25.12,2.16,3.05,1.0,1930945.33,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,13359.0,176472.39,,0.0,0.0,2.17,0.9412,96.99,3.785
2006-07-25,146173.0,1878323.05,2.57,22.32,2.16,3.04,1.0,1878323.05,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,38632.0,496421.2,,0.73,0.0,2.12,0.9466,97.27,3.7837
2006-07-26,146173.0,1882708.24,2.57,16.81,2.16,3.04,1.0,1882708.24,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,34740.0,447451.2,,0.52,0.0,2.12,0.9468,97.28,4.2076
2006-07-27,146173.0,1958718.2,2.57,16.18,2.16,3.04,1.0,1958718.2,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,34759.0,465770.6,,0.52,0.0,2.2,0.9452,97.19,4.2053
2006-07-28,163419.0,2176741.08,2.87,16.0,2.42,3.27,1.0,2176741.08,0.0,163419.0,0.0,,,,0.23,,,,,17246.0,,,,0.23,,,,,0.0,,,,0.0,0.0,9854.0,131255.28,,0.0,0.0,2.04,0.9488,97.38,4.654
2006-07-31,146173.0,1865167.48,2.57,13.99,2.16,3.04,1.0,1865167.48,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,17246.0,0.0,0.23,,,0.0,0.0,34769.0,443652.44,,0.52,0.0,2.1,0.9467,97.28,4.2041
2006-08-01,146173.0,1862244.02,2.57,12.32,2.16,3.04,1.0,1862244.02,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,34772.0,442995.28,,0.52,0.0,2.1,0.9473,97.3,4.2038
2006-08-02,146173.0,1882708.24,2.57,11.86,2.16,3.04,1.0,1882708.24,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9542.0,122900.96,,0.0,0.0,2.12,0.9469,97.28,4.2001
2006-08-03,146173.0,1894402.08,2.57,10.75,2.16,3.04,1.0,1894402.08,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9583.0,124195.68,,0.0,0.0,2.13,0.9465,97.26,4.1952
2006-08-04,146778.0,1909581.78,2.58,10.46,2.17,3.05,1.0,1901710.73,1493.0,146173.0,19423.93,,,,,,,,,,,,,,,,1493.0,,0.03,,,,3.95,3.95,36345.0,472848.45,,0.56,5.26,2.14,0.9463,97.25,3.8791
2006-08-07,146173.0,1900249.0,2.57,10.25,2.16,3.04,1.0,1900249.0,0.0,146173.0,0.0,,,,,,,,0.03,,1493.0,,,,,,,,0.0,,,,0.0,0.0,9651.0,125463.0,,0.0,0.0,2.14,0.9463,97.25,4.187
2006-08-08,146173.0,1911942.84,2.57,10.23,2.16,3.04,1.0,1911942.84,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9659.0,126339.72,,0.0,0.0,2.15,0.946,97.24,4.1861
2006-08-09,146173.0,1895863.81,2.57,10.64,2.16,3.04,1.0,1895863.81,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,9623.0,124810.31,,0.0,0.0,2.13,0.9463,97.25,4.1904
2006-08-10,146173.0,1887093.43,2.57,10.82,2.16,3.04,1.0,1887093.43,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.13,0.9464,97.26,5.7867
2006-08-11,146173.0,1898787.27,2.57,10.94,2.16,3.04,1.0,1898787.27,0.0,146173.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.14,0.9464,97.26,5.7867
2006-08-14,146784.0,1900852.8,2.58,11.11,2.17,3.05,1.0,1892940.35,1500.0,146173.0,19425.0,,,,,,,,,,,,,,,,1500.0,,0.03,,,,5.31,5.31,26760.0,346542.0,,0.36,7.98,2.13,0.9464,97.26,5.1941
2006-08-15,146779.0,1894916.89,2.58,11.09,2.17,3.05,1.0,1887093.43,1492.0,146173.0,19261.72,,,,,,,,0.0,,8.0,,,,,,,,0.03,,,,5.29,5.29,26733.0,345123.03,,0.36,7.97,2.13,0.9466,97.27,5.2001
2006-08-16,146777.0,1981489.5,2.58,10.94,2.17,3.05,1.0,1973335.5,1487.0,146173.0,20074.5,,,,,,,,0.0,,5.0,,,,,,,,0.03,,,,5.28,5.28,26706.0,360531.0,,0.37,7.7,2.22,0.9448,97.18,5.2062
2006-08-17,147692.0,2066211.08,2.59,10.84,2.18,3.08,1.0,2044960.27,2442.0,146173.0,34163.58,,,955.0,,,,,,,,,,,955.0,,,,0.05,,,,8.61,8.61,25930.0,362760.7,,0.35,12.58,2.3,0.9428,97.07,5.2056
2006-08-18,147795.0,2179976.25,2.59,10.89,2.18,3.08,1.0,2156051.75,2577.0,146173.0,38010.75,,,135.0,,,,,,,,,,,135.0,,,,0.05,,,,9.05,9.05,25903.0,382069.25,,0.35,13.22,2.42,0.9401,96.93,5.1894
2006-08-21,147872.0,2201814.08,2.6,10.68,2.19,3.09,1.0,2176515.97,2705.0,146173.0,40277.45,,,128.0,,,,,,,,,,,128.0,,,,0.06,,,,9.44,9.44,25948.0,386365.72,,0.35,13.74,2.44,0.939,96.87,5.1608
2006-08-22,147909.0,2206802.28,2.6,10.51,2.19,3.09,1.0,2180901.16,2751.0,146173.0,41044.92,,,46.0,,,,,,,,,,,46.0,,,,0.06,,,,9.59,9.59,25934.0,386935.28,,0.36,13.91,2.45,0.9388,96.86,5.1563
2006-08-23,147903.0,2218545.0,2.6,9.99,2.19,3.09,1.0,2192595.0,2747.0,146173.0,41205.0,,,,,,,,0.0,,4.0,,,,,,,,0.06,,,,6.77,6.77,37803.0,567045.0,,0.64,8.21,2.46,0.9386,96.85,3.6474
2006-08-24,147913.0,2159529.8,2.6,9.94,2.19,3.09,1.0,2134125.8,2764.0,146173.0,40354.4,,,17.0,,,,,,,,,,,17.0,,,,0.06,,,,6.81,6.81,37793.0,551777.8,,0.64,8.27,2.39,0.9397,96.91,3.647
2006-08-25,148291.0,2165048.6,2.6,9.78,2.19,2.47,1.0,2134125.8,3364.0,146173.0,49114.4,,,600.0,,,,,,,,,,,600.0,,,,0.06,,,,7.59,7.59,40928.0,597548.8,,0.64,8.06,2.99,0.9255,96.15,3.348
2006-08-28,148285.0,2129372.6,2.6,9.66,2.19,2.47,1.0,2099044.28,3358.0,146173.0,48220.88,,,,,,,,0.0,,6.0,,,,,,,,0.06,,,,7.58,7.58,40957.0,588142.52,,0.64,8.04,2.95,0.9264,96.2,3.3462
2006-08-29,148249.0,2097723.35,2.6,9.62,2.19,2.47,1.0,2068347.95,3302.0,146173.0,46723.3,,,,,,,,0.0,,55.0,,,,,,,,0.06,,,,7.46,7.46,40944.0,579357.6,,0.64,7.92,2.91,0.9274,96.26,3.3505
2006-08-30,148225.0,2103312.75,2.6,9.38,2.19,2.47,1.0,2074194.87,3261.0,146173.0,46273.59,,,,,,,,0.0,,42.0,,,,,,,,0.05,,,,7.51,7.51,40166.0,569955.54,,0.61,8.22,2.91,0.9275,96.26,3.4133
2006-08-31,148235.0,2112348.75,2.6,9.04,2.19,2.47,1.0,2082965.25,3274.0,146173.0,46654.5,,,13.0,,,,,,,,,,,13.0,,,,0.05,,,,7.53,7.53,40185.0,572636.25,,0.61,8.24,2.93,0.9272,96.25,3.4109
2006-09-01,148236.0,2085680.52,2.6,8.88,2.19,2.47,1.0,2056654.11,3281.0,146173.0,46163.67,,,7.0,,,,,,,,,,,7.0,,,,0.05,,,,7.55,7.55,40182.0,565360.74,,0.61,8.26,2.89,0.9278,96.28,3.4106
2006-09-04,148206.0,2092668.72,2.6,8.82,2.19,2.47,1.0,2063962.76,3235.0,146173.0,45678.2,,,,,,,,0.0,,45.0,,,,,,,,0.05,,,,7.46,7.46,40145.0,566847.4,,0.61,8.17,2.9,0.9277,96.27,3.4165
2006-09-05,137956.0,1954836.52,2.42,8.62,2.04,2.27,1.0,1925320.41,3305.0,135873.0,46831.85,,,70.0,,,,,,,,,,,70.0,,,10300.0,0.05,0.2,,,7.58,7.58,40300.0,571051.0,,0.6,8.25,3.17,0.9213,95.93,3.1638
2006-09-06,137959.0,1967295.34,2.42,10.14,2.04,2.27,1.0,1937548.98,3312.0,135873.0,47229.12,,,6.0,,,,,,,,,,,6.0,,,,0.05,,,,7.58,7.58,40379.0,575804.54,,0.61,8.21,3.19,0.9209,95.91,3.1576
2006-09-07,137982.0,1964863.68,2.42,10.42,2.04,2.27,1.0,1934831.52,3343.0,135873.0,47604.32,,,31.0,,,,,,,,,,,31.0,,,,0.06,,,,7.64,7.64,40396.0,575239.04,,0.61,8.27,3.19,0.9209,95.9,3.1547
2006-09-08,137976.0,1968917.52,2.42,11.7,2.04,2.27,1.0,1938907.71,3335.0,135873.0,47590.45,,,,,,,,0.0,,8.0,,,,,,,,0.05,,,,7.63,7.63,40379.0,576208.33,,0.61,8.26,3.19,0.9208,95.9,3.1563
2006-09-11,137967.0,1941195.69,2.42,11.94,2.04,2.27,1.0,1911733.11,3329.0,135873.0,46839.03,,,,,,,,0.0,,6.0,,,,,,,,0.05,,,,7.62,7.62,40371.0,568019.97,,0.61,8.26,3.15,0.9215,95.94,3.1571
2006-09-12,137945.0,1925712.2,2.42,13.46,2.04,2.27,1.0,1896787.08,3290.0,135873.0,45928.4,,,,,,,,0.0,,39.0,,,,,,,,0.05,,,,7.52,7.52,40444.0,564598.24,,0.61,8.13,3.13,0.9222,95.98,3.1541
2006-09-13,137926.0,1930964.0,2.42,13.96,2.04,2.27,1.0,1902222.0,3262.0,135873.0,45668.0,,,,,,,,0.0,,29.0,,,,,,,,0.05,,,,7.51,7.51,40169.0,562366.0,,0.6,8.22,3.14,0.9222,95.97,3.1758
2006-09-14,137927.0,1917185.3,2.42,15.8,2.04,2.27,1.0,1888634.7,2054.0,135873.0,28550.6,,,,,,,,0.02,,1208.0,,,,,,,,0.03,,,,4.72,4.72,41430.0,575877.0,,0.62,5.16,3.14,0.9222,95.97,3.1718
2006-09-15,136499.0,1927365.88,2.4,16.63,2.02,2.25,1.0,1898434.0,2049.0,134450.0,28931.88,,,,,,,,0.0,,5.0,,,,,,,1423.0,0.03,0.02,,,4.72,4.72,41396.0,584511.52,,0.62,5.15,3.19,0.9382,96.81,3.1418
2006-09-18,136516.0,1904398.2,2.4,17.24,2.02,2.25,1.0,1875577.5,2066.0,134450.0,28820.7,,,16.0,,,,,,,,,,,16.0,,,,0.03,,,,4.75,4.75,41400.0,577530.0,,0.62,5.2,3.15,0.9389,96.85,3.1408
2006-09-19,136503.0,1894661.64,2.4,17.65,2.02,2.25,1.0,1866166.0,2053.0,134450.0,28495.64,,,,,,,,0.0,,12.0,,,,,,,,0.03,,,,4.72,4.72,41412.0,574798.56,,0.62,5.16,3.14,0.9392,96.86,3.1405
2006-09-20,136489.0,1867169.52,2.39,17.65,2.02,2.24,1.0,1839276.0,2039.0,134450.0,27893.52,,,,,,,,0.0,,14.0,,,,,,,,0.03,,,,4.71,4.71,41272.0,564600.96,,0.61,5.22,3.09,0.94,96.91,3.1514
2006-09-21,136901.0,1871436.67,2.4,14.7,2.02,2.25,1.0,1837931.5,2451.0,134450.0,33505.17,,,412.0,,,,,,,,,,,412.0,,,,0.04,,,,5.67,5.67,40773.0,557366.91,,0.6,6.3,3.09,0.9401,96.91,3.1672
2006-09-22,138037.0,1860738.76,2.42,14.21,2.04,2.27,1.0,1812386.0,3587.0,134450.0,48352.76,,,1135.0,,,,,,,,,,,1135.0,,,,0.06,,,,8.3,8.3,39650.0,534482.0,,0.58,9.21,3.05,0.9409,96.95,3.1926
2006-09-25,133981.0,1803384.26,2.35,13.73,1.98,2.21,1.0,1755857.0,3531.0,130450.0,47527.26,,,,0.01,,,,0.0,1000.0,55.0,,,0.01,,,,5000.0,0.06,0.07,,,8.19,8.19,39591.0,532894.86,,0.58,9.1,,1.0,100.0,3.107
