,ALPOU FP Equity_DX_SI_QTY,ALPOU FP Equity_DX_SHORT_INTEREST_VALUE,ALPOU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPOU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPOU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPOU FP Equity_DX_SI_MV,ALPOU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPOU FP Equity_DX_SUPPLY_SI_QTY,ALPOU FP Equity_DX_BROKER_SI_QTY,ALPOU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPOU FP Equity_DX_SUPPLY_SI_MV,ALPOU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPOU FP Equity_DX_UTILIZATION_QUANTITY,ALPOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPOU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPOU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPOU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALPOU FP Equity_DX_BROKER_SI_CON_RATIO,ALPOU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPOU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPOU FP Equity_PX_LAST
2016-02-11,,,,,,,,,,,,,,,,,,,,,,4.99
2016-02-12,,,,,,,,,,,,,,,,,,,,,,4.75
2016-02-15,,,,,,,,,,,,,,,,,,,,,,4.99
2016-02-16,,,,,,,,,,,,,,,,,,,,,,4.97
2016-02-17,,,,,,,,,,,,,,,,,,,,,,5.0
2016-02-18,,,,,,,,,,,,,,,,,,,,,,4.99
2016-02-19,,,,,,,,,,,,,,,,,,,,,,5.0
2016-02-22,,,,,,,,,,,,,,,,,,,,,,5.03
2016-02-23,,,,,,,,,,,,,,,,,,,,,,5.09
2016-02-24,,,,,,,,,,,,,,,,,,,,,,5.15
2016-02-25,,,,,,,,,,,,,,,,,,,,,,5.15
2016-02-26,,,,,,,,,,,,,,,,,,,,,,5.14
2016-02-29,,,,,,,,,,,,,,,,,,,,,,5.15
2016-03-01,,,,,,,,,,,,,,,,,,,,,,5.15
2016-03-02,,,,,,,,,,,,,,,,,,,,,,5.16
2016-03-03,,,,,,,,,,,,,,,,,,,,,,5.0
2016-03-04,,,,,,,,,,,,,,,,,,,,,,5.13
2016-03-07,,,,,,,,,,,,,,,,,,,,,,5.12
2016-03-08,,,,,,,,,,,,,,,,,,,,,,5.14
2016-03-09,,,,,,,,,,,,,,,,,,,,,,5.09
2016-03-10,,,,,,,,,,,,,,,,,,,,,,5.1
2016-03-11,,,,,,,,,,,,,,,,,,,,,,4.99
2016-03-14,,,,,,,,,,,,,,,,,,,,,,5.14
2016-03-15,,,,,,,,,,,,,,,,,,,,,,5.1
2016-03-16,,,,,,,,,,,,,,,,,,,,,,5.1
2016-03-17,,,,,,,,,,,,,,,,,,,,,,5.09
2016-03-18,,,,,,,,,,,,,,,,,,,,,,5.06
2016-03-21,,,,,,,,,,,,,,,,,,,,,,5.09
2016-03-22,,,,,,,,,,,,,,,,,,,,,,5.09
2016-03-23,,,,,,,,,,,,,,,,,,,,,,5.09
2016-03-24,,,,,,,,,,,,,,,,,,,,,,5.14
2016-03-29,,,,,,,,,,,,,,,,,,,,,,5.16
2016-03-30,,,,,,,,,,,,,,,,,,,,,,5.18
2016-03-31,,,,,,,,,,,,,,,,,,,,,,5.18
2016-04-01,,,,,,,,,,,,,,,,,,,,,,5.2
2016-04-04,,,,,,,,,,,,,,,,,,,,,,5.12
2016-04-05,,,,,,,,,,,,,,,,,,,,,,5.19
2016-04-06,,,,,,,,,,,,,,,,,,,,,,5.16
2016-04-07,,,,,,,,,,,,,,,,,,,,,,5.16
2016-04-08,,,,,,,,,,,,,,,,,,,,,,5.0
2016-04-11,,,,,,,,,,,,,,,,,,,,,,5.1
2016-04-12,,,,,,,,,,,,,,,,,,,,,,5.1
2016-04-13,,,,,,,,,,,,,,,,,,,,,,5.12
2016-04-14,,,,,,,,,,,,,,,,,,,,,,5.05
2016-04-15,,,,,,,,,,,,,,,,,,,,,,5.25
2016-04-18,,,,,,,,,,,,,,,,,,,,,,5.14
2016-04-19,,,,,,,,,,,,,,,,,,,,,,5.07
2016-04-20,,,,,,,,,,,,,,,,,,,,,,5.15
2016-04-21,,,,,,,,,,,,,,,,,,,,,,5.14
2016-04-22,,,,,,,,,,,,,,,,,,,,,,5.15
2016-04-25,,,,,,,,,,,,,,,,,,,,,,5.15
2016-04-26,,,,,,,,,,,,,,,,,,,,,,5.15
2016-04-27,,,,,,,,,,,,,,,,,,,,,,5.14
2016-04-28,,,,,,,,,,,,,,,,,,,,,,5.05
2016-04-29,,,,,,,,,,,,,,,,,,,,,,5.13
2016-05-02,,,,,,,,,,,,,,,,,,,,,,5.14
2016-05-03,,,,,,,,,,,,,,,,,,,,,,5.03
2016-05-04,,,,,,,,,,,,,,,,,,,,,,5.03
2016-05-05,,,,,,,,,,,,,,,,,,,,,,4.95
2016-05-06,,,,,,,,,,,,,,,,,,,,,,5.09
2016-05-09,,,,,,,,,,,,,,,,,,,,,,5.05
2016-05-10,,,,,,,,,,,,,,,,,,,,,,5.06
2016-05-11,,,,,,,,,,,,,,,,,,,,,,5.07
2016-05-12,,,,,,,,,,,,,,,,,,,,,,5.01
2016-05-13,,,,,,,,,,,,,,,,,,,,,,5.07
2016-05-16,,,,,,,,,,,,,,,,,,,,,,5.16
2016-05-17,,,,,,,,,,,,,,,,,,,,,,5.15
2016-05-18,,,,,,,,,,,,,,,,,,,,,,5.04
2016-05-19,,,,,,,,,,,,,,,,,,,,,,5.04
2016-05-20,,,,,,,,,,,,,,,,,,,,,,5.02
2016-05-23,,,,,,,,,,,,,,,,,,,,,,4.98
2016-05-24,,,,,,,,,,,,,,,,,,,,,,5.01
2016-05-25,,,,,,,,,,,,,,,,,,,,,,5.04
2016-05-26,,,,,,,,,,,,,,,,,,,,,,4.99
2016-05-27,,,,,,,,,,,,,,,,,,,,,,5.07
2016-05-30,,,,,,,,,,,,,,,,,,,,,,5.08
2016-05-31,,,,,,,,,,,,,,,,,,,,,,4.99
2016-06-01,,,,,,,,,,,,,,,,,,,,,,5.06
2016-06-02,,,,,,,,,,,,,,,,,,,,,,5.09
2016-06-03,,,,,,,,,,,,,,,,,,,,,,5.0
2016-06-06,,,,,,,,,,,,,,,,,,,,,,5.0
2016-06-07,,,,,,,,,,,,,,,,,,,,,,5.09
2016-06-08,,,,,,,,,,,,,,,,,,,,,,5.02
2016-06-09,,,,,,,,,,,,,,,,,,,,,,5.05
2016-06-10,,,,,,,,,,,,,,,,,,,,,,5.01
2016-06-13,,,,,,,,,,,,,,,,,,,,,,5.1
2016-06-14,,,,,,,,,,,,,,,,,,,,,,5.0
2016-06-15,,,,,,,,,,,,,,,,,,,,,,5.07
2016-06-16,,,,,,,,,,,,,,,,,,,,,,4.94
2016-06-17,,,,,,,,,,,,,,,,,,,,,,5.03
2016-06-20,,,,,,,,,,,,,,,,,,,,,,5.02
2016-06-21,,,,,,,,,,,,,,,,,,,,,,5.02
2016-06-22,,,,,,,,,,,,,,,,,,,,,,5.01
2016-06-23,,,,,,,,,,,,,,,,,,,,,,5.0
2016-06-24,,,,,,,,,,,,,,,,,,,,,,4.89
2016-06-27,,,,,,,,,,,,,,,,,,,,,,4.96
2016-06-28,,,,,,,,,,,,,,,,,,,,,,5.02
2016-06-29,,,,,,,,,,,,,,,,,,,,,,5.08
2016-06-30,,,,,,,,,,,,,,,,,,,,,,4.95
2016-07-01,,,,,,,,,,,,,,,,,,,,,,4.93
2016-07-04,,,,,,,,,,,,,,,,,,,,,,4.93
2016-07-05,,,,,,,,,,,,,,,,,,,,,,5.05
2016-07-06,,,,,,,,,,,,,,,,,,,,,,5.02
2016-07-07,,,,,,,,,,,,,,,,,,,,,,4.92
2016-07-08,,,,,,,,,,,,,,,,,,,,,,5.0
2016-07-11,,,,,,,,,,,,,,,,,,,,,,5.2
2016-07-12,,,,,,,,,,,,,,,,,,,,,,5.26
2016-07-13,,,,,,,,,,,,,,,,,,,,,,5.2
2016-07-14,,,,,,,,,,,,,,,,,,,,,,5.2
2016-07-15,,,,,,,,,,,,,,,,,,,,,,5.25
2016-07-18,,,,,,,,,,,,,,,,,,,,,,5.09
2016-07-19,,,,,,,,,,,,,,,,,,,,,,5.1
2016-07-20,,,,,,,,,,,,,,,,,,,,,,5.1
2016-07-21,,,,,,,,,,,,,,,,,,,,,,5.12
2016-07-22,,,,,,,,,,,,,,,,,,,,,,5.1
2016-07-25,,,,,,,,,,,,,,,,,,,,,,5.09
2016-07-26,,,,,,,,,,,,,,,,,,,,,,5.09
2016-07-27,,,,,,,,,,,,,,,,,,,,,,5.09
2016-07-28,,,,,,,,,,,,,,,,,,,,,,5.09
2016-07-29,,,,,,,,,,,,,,,,,,,,,,5.21
2016-08-01,,,,,,,,,,,,,,,,,,,,,,5.27
2016-08-02,,,,,,,,,,,,,,,,,,,,,,5.27
2016-08-03,,,,,,,,,,,,,,,,,,,,,,5.22
2016-08-04,,,,,,,,,,,,,,,,,,,,,,5.28
2016-08-05,,,,,,,,,,,,,,,,,,,,,,5.27
2016-08-08,,,,,,,,,,,,,,,,,,,,,,5.25
2016-08-09,,,,,,,,,,,,,,,,,,,,,,5.27
2016-08-10,,,,,,,,,,,,,,,,,,,,,,5.13
2016-08-11,,,,,,,,,,,,,,,,,,,,,,5.22
2016-08-12,,,,,,,,,,,,,,,,,,,,,,5.3
2016-08-15,,,,,,,,,,,,,,,,,,,,,,5.21
2016-08-16,,,,,,,,,,,,,,,,,,,,,,5.35
2016-08-17,,,,,,,,,,,,,,,,,,,,,,5.31
2016-08-18,,,,,,,,,,,,,,,,,,,,,,5.29
2016-08-19,,,,,,,,,,,,,,,,,,,,,,5.18
2016-08-22,,,,,,,,,,,,,,,,,,,,,,5.33
2016-08-23,,,,,,,,,,,,,,,,,,,,,,5.25
2016-08-24,,,,,,,,,,,,,,,,,,,,,,5.38
2016-08-25,,,,,,,,,,,,,,,,,,,,,,5.42
2016-08-26,,,,,,,,,,,,,,,,,,,,,,5.4
2016-08-29,,,,,,,,,,,,,,,,,,,,,,5.5
2016-08-30,,,,,,,,,,,,,,,,,,,,,,5.56
2016-08-31,,,,,,,,,,,,,,,,,,,,,,5.69
2016-09-01,,,,,,,,,,,,,,,,,,,,,,5.68
2016-09-02,,,,,,,,,,,,,,,,,,,,,,5.75
2016-09-05,,,,,,,,,,,,,,,,,,,,,,5.67
2016-09-06,,,,,,,,,,,,,,,,,,,,,,5.7
2016-09-07,,,,,,,,,,,,,,,,,,,,,,5.77
2016-09-08,,,,,,,,,,,,,,,,,,,,,,6.12
2016-09-09,,,,,,,,,,,,,,,,,,,,,,6.16
2016-09-12,,,,,,,,,,,,,,,,,,,,,,6.08
2016-09-13,,,,,,,,,,,,,,,,,,,,,,6.2
2016-09-14,,,,,,,,,,,,,,,,,,,,,,6.22
2016-09-15,,,,,,,,,,,,,,,,,,,,,,6.22
2016-09-16,,,,,,,,,,,,,,,,,,,,,,6.37
2016-09-19,,,,,,,,,,,,,,,,,,,,,,6.45
2016-09-20,,,,,,,,,,,,,,,,,,,,,,6.9
2016-09-21,,,,,,,,,,,,,,,,,,,,,,6.75
2016-09-22,,,,,,,,,,,,,,,,,,,,,,6.55
2016-09-23,,,,,,,,,,,,,,,,,,,,,,6.55
2016-09-26,,,,,,,,,,,,,,,,,,,,,,6.43
2016-09-27,,,,,,,,,,,,,,,,,,,,,,6.43
2016-09-28,,,,,,,,,,,,,,,,,,,,,,6.45
2016-09-29,,,,,,,,,,,,,,,,,,,,,,6.65
2016-09-30,,,,,,,,,,,,,,,,,,,,,,6.59
2016-10-03,,,,,,,,,,,,,,,,,,,,,,6.54
2016-10-04,,,,,,,,,,,,,,,,,,,,,,6.46
2016-10-05,,,,,,,,,,,,,,,,,,,,,,6.48
2016-10-06,,,,,,,,,,,,,,,,,,,,,,6.47
2016-10-07,,,,,,,,,,,,,,,,,,,,,,6.48
2016-10-10,,,,,,,,,,,,,,,,,,,,,,6.48
2016-10-11,,,,,,,,,,,,,,,,,,,,,,6.38
2016-10-12,,,,,,,,,,,,,,,,,,,,,,6.3
2016-10-13,,,,,,,,,,,,,,,,,,,,,,6.04
2016-10-14,,,,,,,,,,,,,,,,,,,,,,6.35
2016-10-17,,,,,,,,,,,,,,,,,,,,,,6.52
2016-10-18,,,,,,,,,,,,,,,,,,,,,,6.5
2016-10-19,,,,,,,,,,,,,,,,,,,,,,6.43
2016-10-20,,,,,,,,,,,,,,,,,,,,,,6.55
2016-10-21,,,,,,,,,,,,,,,,,,,,,,6.85
2016-10-24,,,,,,,,,,,,,,,,,,,,,,6.75
2016-10-25,,,,,,,,,,,,,,,,,,,,,,6.85
2016-10-26,,,,,,,,,,,,,,,,,,,,,,6.74
2016-10-27,,,,,,,,,,,,,,,,,,,,,,6.74
2016-10-28,,,,,,,,,,,,,,,,,,,,,,6.78
2016-10-31,,,,,,,,,,,,,,,,,,,,,,6.91
2016-11-01,,,,,,,,,,,,,,,,,,,,,,6.91
2016-11-02,,,,,,,,,,,,,,,,,,,,,,6.86
2016-11-03,,,,,,,,,,,,,,,,,,,,,,6.66
2016-11-04,,,,,,,,,,,,,,,,,,,,,,6.55
2016-11-07,,,,,,,,,,,,,,,,,,,,,,6.47
2016-11-08,,,,,,,,,,,,,,,,,,,,,,6.34
2016-11-09,,,,,,,,,,,,,,,,,,,,,,6.1
2016-11-10,,,,,,,,,,,,,,,,,,,,,,6.35
2016-11-11,,,,,,,,,,,,,,,,,,,,,,6.39
2016-11-14,,,,,,,,,,,,,,,,,,,,,,6.3
2016-11-15,,,,,,,,,,,,,,,,,,,,,,6.28
2016-11-16,,,,,,,,,,,,,,,,,,,,,,6.21
2016-11-17,,,,,,,,,,,,,,,,,,,,,,6.03
2016-11-18,,,,,,,,,,,,,,,,,,,,,,6.08
2016-11-21,,,,,,,,,,,,,,,,,,,,,,6.0
2016-11-22,,,,,,,,,,,,,,,,,,,,,,6.06
2016-11-23,,,,,,,,,,,,,,,,,,,,,,6.05
2016-11-24,,,,,,,,,,,,,,,,,,,,,,6.05
2016-11-25,,,,,,,,,,,,,,,,,,,,,,5.88
2016-11-28,,,,,,,,,,,,,,,,,,,,,,5.92
2016-11-29,,,,,,,,,,,,,,,,,,,,,,5.9
2016-11-30,,,,,,,,,,,,,,,,,,,,,,6.0
2016-12-01,,,,,,,,,,,,,,,,,,,,,,6.0
2016-12-02,,,,,,,,,,,,,,,,,,,,,,6.12
2016-12-05,,,,,,,,,,,,,,,,,,,,,,6.36
2016-12-06,,,,,,,,,,,,,,,,,,,,,,6.25
2016-12-07,,,,,,,,,,,,,,,,,,,,,,6.36
2016-12-08,,,,,,,,,,,,,,,,,,,,,,6.36
2016-12-09,,,,,,,,,,,,,,,,,,,,,,6.29
2016-12-12,,,,,,,,,,,,,,,,,,,,,,6.2
2016-12-13,,,,,,,,,,,,,,,,,,,,,,6.45
2016-12-14,,,,,,,,,,,,,,,,,,,,,,6.7
2016-12-15,,,,,,,,,,,,,,,,,,,,,,6.75
2016-12-16,,,,,,,,,,,,,,,,,,,,,,6.74
2016-12-19,,,,,,,,,,,,,,,,,,,,,,6.61
2016-12-20,,,,,,,,,,,,,,,,,,,,,,6.64
2016-12-21,,,,,,,,,,,,,,,,,,,,,,6.54
2016-12-22,,,,,,,,,,,,,,,,,,,,,,6.57
2016-12-23,,,,,,,,,,,,,,,,,,,,,,6.55
2016-12-27,,,,,,,,,,,,,,,,,,,,,,6.54
2016-12-28,,,,,,,,,,,,,,,,,,,,,,6.58
2016-12-29,,,,,,,,,,,,,,,,,,,,,,6.53
2016-12-30,,,,,,,,,,,,,,,,,,,,,,6.71
2017-01-02,,,,,,,,,,,,,,,,,,,,,,6.92
2017-01-03,,,,,,,,,,,,,,,,,,,,,,6.86
2017-01-04,,,,,,,,,,,,,,,,,,,,,,6.87
2017-01-05,,,,,,,,,,,,,,,,,,,,,,6.86
2017-01-06,,,,,,,,,,,,,,,,,,,,,,6.85
2017-01-09,,,,,,,,,,,,,,,,,,,,,,6.97
2017-01-10,,,,,,,,,,,,,,,,,,,,,,7.38
2017-01-11,,,,,,,,,,,,,,,,,,,,,,7.48
2017-01-12,,,,,,,,,,,,,,,,,,,,,,7.34
2017-01-13,,,,,,,,,,,,,,,,,,,,,,7.42
2017-01-16,,,,,,,,,,,,,,,,,,,,,,7.43
2017-01-17,,,,,,,,,,,,,,,,,,,,,,7.29
2017-01-18,,,,,,,,,,,,,,,,,,,,,,7.4
2017-01-19,,,,,,,,,,,,,,,,,,,,,,7.85
2017-01-20,,,,,,,,,,,,,,,,,,,,,,8.17
2017-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,22960.0,0.02,0.0,0.0,0.0,0.0,0.0,8.2
2017-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,22148.0,0.02,0.0,,0.0,,0.0,7.91
2017-01-25,,,,,,,,,,,,,,,,,,,,,,7.89
2017-01-26,,,,,,,,,,,,,,,,,,,,,,7.87
2017-01-27,,,,,,,,,,,,,,,,,,,,,,8.0
2017-01-30,,,,,,,,,,,,,,,,,,,,,,8.05
2017-01-31,,,,,,,,,,,,,,,,,,,,,,8.03
2017-02-01,,,,,,,,,,,,,,,,,,,,,,8.01
2017-02-02,,,,,,,,,,,,,,,,,,,,,,8.06
2017-02-03,,,,,,,,,,,,,,,,,,,,,,8.14
2017-02-06,,,,,,,,,,,,,,,,,,,,,,8.3
2017-02-07,,,,,,,,,,,,,,,,,,,,,,8.45
2017-02-08,,,,,,,,,,,,,,,,,,,,,,8.55
2017-02-09,,,,,,,,,,,,,,,,,,,,,,8.54
2017-02-10,,,,,,,,,,,,,,,,,,,,,,8.49
2017-02-13,,,,,,,,,,,,,,,,,,,,,,8.5
2017-02-14,,,,,,,,,,,,,,,,,,,,,,8.47
2017-02-15,,,,,,,,,,,,,,,,,,,,,,8.45
2017-02-16,,,,,,,,,,,,,,,,,,,,,,8.44
2017-02-17,,,,,,,,,,,,,,,,,,,,,,8.44
2017-02-20,,,,,,,,,,,,,,,,,,,,,,8.21
2017-02-21,,,,,,,,,,,,,,,,,,,,,,8.36
2017-02-22,,,,,,,,,,,,,,,,,,,,,,8.43
2017-02-23,,,,,,,,,,,,,,,,,,,,,,8.5
2017-02-24,,,,,,,,,,,,,,,,,,,,,,8.32
2017-02-27,,,,,,,,,,,,,,,,,,,,,,8.52
2017-02-28,,,,,,,,,,,,,,,,,,,,,,8.5
2017-03-01,,,,,,,,,,,,,,,,,,,,,,8.29
2017-03-02,,,,,,,,,,,,,,,,,,,,,,8.35
2017-03-03,,,,,,,,,,,,,,,,,,,,,,8.44
2017-03-06,,,,,,,,,,,,,,,,,,,,,,8.4
2017-03-07,,,,,,,,,,,,,,,,,,,,,,8.4
2017-03-08,,,,,,,,,,,,,,,,,,,,,,8.49
2017-03-09,,,,,,,,,,,,,,,,,,,,,,8.54
2017-03-10,,,,,,,,,,,,,,,,,,,,,,8.57
2017-03-13,,,,,,,,,,,,,,,,,,,,,,8.49
2017-03-14,,,,,,,,,,,,,,,,,,,,,,8.48
2017-03-15,,,,,,,,,,,,,,,,,,,,,,8.5
2017-03-16,,,,,,,,,,,,,,,,,,,,,,8.52
2017-03-17,,,,,,,,,,,,,,,,,,,,,,8.47
2017-03-20,,,,,,,,,,,,,,,,,,,,,,8.53
2017-03-21,,,,,,,,,,,,,,,,,,,,,,8.51
2017-03-22,,,,,,,,,,,,,,,,,,,,,,8.54
2017-03-23,,,,,,,,,,,,,,,,,,,,,,8.64
2017-03-24,,,,,,,,,,,,,,,,,,,,,,9.23
2017-03-27,,,,,,,,,,,,,,,,,,,,,,9.59
2017-03-28,,,,,,,,,,,,,,,,,,,,,,10.36
2017-03-29,,,,,,,,,,,,,,,,,,,,,,10.22
2017-03-30,,,,,,,,,,,,,,,,,,,,,,9.94
2017-03-31,,,,,,,,,,,,,,,,,,,,,,9.52
2017-04-03,,,,,,,,,,,,,,,,,,,,,,9.97
2017-04-04,,,,,,,,,,,,,,,,,,,,,,9.85
2017-04-05,,,,,,,,,,,,,,,,,,,,,,9.85
2017-04-06,,,,,,,,,,,,,,,,,,,,,,9.85
2017-04-07,,,,,,,,,,,,,,,,,,,,,,9.55
2017-04-10,,,,,,,,,,,,,,,,,,,,,,9.45
2017-04-11,,,,,,,,,,,,,,,,,,,,,,9.27
2017-04-12,,,,,,,,,,,,,,,,,,,,,,9.19
2017-04-13,,,,,,,,,,,,,,,,,,,,,,9.04
2017-04-18,,,,,,,,,,,,,,,,,,,,,,8.72
2017-04-19,,,,,,,,,,,,,,,,,,,,,,8.41
2017-04-20,,,,,,,,,,,,,,,,,,,,,,8.98
2017-04-21,,,,,,,,,,,,,,,,,,,,,,8.93
2017-04-24,,,,,,,,,,,,,,,,,,,,,,9.48
2017-04-25,,,,,,,,,,,,,,,,,,,,,,9.51
2017-04-26,,,,,,,,,,,,,,,,,,,,,,9.5
2017-04-27,,,,,,,,,,,,,,,,,,,,,,9.5
2017-04-28,,,,,,,,,,,,,,,,,,,,,,9.39
2017-05-02,,,,,,,,,,,,,,,,,,,,,,9.26
2017-05-03,,,,,,,,,,,,,,,,,,,,,,9.13
2017-05-04,,,,,,,,,,,,,,,,,,,,,,9.6
2017-05-05,,,,,,,,,,,,,,,,,,,,,,9.46
2017-05-08,,,,,,,,,,,,,,,,,,,,,,9.55
2017-05-09,,,,,,,,,,,,,,,,,,,,,,9.55
2017-05-10,,,,,,,,,,,,,,,,,,,,,,9.58
2017-05-11,,,,,,,,,,,,,,,,,,,,,,9.57
2017-05-12,,,,,,,,,,,,,,,,,,,,,,9.59
2017-05-15,,,,,,,,,,,,,,,,,,,,,,9.55
2017-05-16,,,,,,,,,,,,,,,,,,,,,,9.57
2017-05-17,,,,,,,,,,,,,,,,,,,,,,9.59
2017-05-18,,,,,,,,,,,,,,,,,,,,,,9.48
2017-05-19,,,,,,,,,,,,,,,,,,,,,,9.4
2017-05-22,,,,,,,,,,,,,,,,,,,,,,9.48
2017-05-23,,,,,,,,,,,,,,,,,,,,,,9.39
2017-05-24,,,,,,,,,,,,,,,,,,,,,,9.35
2017-05-25,,,,,,,,,,,,,,,,,,,,,,9.46
2017-05-26,,,,,,,,,,,,,,,,,,,,,,9.41
2017-05-29,,,,,,,,,,,,,,,,,,,,,,9.3
2017-05-30,,,,,,,,,,,,,,,,,,,,,,9.38
2017-05-31,,,,,,,,,,,,,,,,,,,,,,9.33
2017-06-01,,,,,,,,,,,,,,,,,,,,,,9.36
2017-06-02,,,,,,,,,,,,,,,,,,,,,,9.31
2017-06-05,,,,,,,,,,,,,,,,,,,,,,9.22
2017-06-06,,,,,,,,,,,,,,,,,,,,,,9.23
2017-06-07,,,,,,,,,,,,,,,,,,,,,,9.2
2017-06-08,,,,,,,,,,,,,,,,,,,,,,9.2
