,ALARF FP Equity_DX_SI_QTY,ALARF FP Equity_DX_SHORT_INTEREST_VALUE,ALARF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALARF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALARF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALARF FP Equity_DX_SI_MV,ALARF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALARF FP Equity_DX_SUPPLY_SI_QTY,ALARF FP Equity_DX_BROKER_SI_QTY,ALARF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALARF FP Equity_DX_SUPPLY_SI_MV,ALARF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALARF FP Equity_DX_UTILIZATION_QUANTITY,ALARF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALARF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALARF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALARF FP Equity_DX_ACTIVE_UTILIZATION_MV,ALARF FP Equity_DX_BROKER_SI_CON_RATIO,ALARF FP Equity_DX_DEMAND_SUPPLY_RATIO,ALARF FP Equity_PX_LAST
2018-02-21,,,,,,,,,,,,,,,,,,,,9.7
2018-02-22,,,,,,,,,,,,,,,,,,,,9.59
2018-02-23,,,,,,,,,,,,,,,,,,,,9.49
2018-02-26,,,,,,,,,,,,,,,,,,,,9.199
2018-02-27,,,,,,,,,,,,,,,,,,,,9.011
2018-02-28,,,,,,,,,,,,,,,,,,,,8.9
2018-03-01,,,,,,,,,,,,,,,,,,,,9.1
2018-03-02,,,,,,,,,,,,,,,,,,,,8.75
2018-03-05,,,,,,,,,,,,,,,,,,,,9.0
2018-03-06,,,,,,,,,,,,,,,,,,,,9.01
2018-03-07,,,,,,,,,,,,,,,,,,,,8.97
2018-03-08,,,,,,,,,,,,,,,,,,,,9.099
2018-03-09,,,,,,,,,,,,,,,,,,,,9.0
2018-03-12,,,,,,,,,,,,,,,,,,,,9.0
2018-03-13,,,,,,,,,,,,,,,,,,,,9.099
2018-03-14,,,,,,,,,,,,,,,,,,,,9.0
2018-03-15,,,,,,,,,,,,,,,,,,,,8.95
2018-03-16,,,,,,,,,,,,,,,,,,,,8.85
2018-03-19,,,,,,,,,,,,,,,,,,,,8.85
2018-03-20,,,,,,,,,,,,,,,,,,,,8.721
2018-03-21,,,,,,,,,,,,,,,,,,,,8.722
2018-03-22,,,,,,,,,,,,,,,,,,,,8.75
2018-03-23,,,,,,,,,,,,,,,,,,,,8.72
2018-03-26,,,,,,,,,,,,,,,,,,,,8.699
2018-03-27,,,,,,,,,,,,,,,,,,,,8.7
2018-03-28,,,,,,,,,,,,,,,,,,,,8.6
2018-03-29,,,,,,,,,,,,,,,,,,,,8.6
2018-04-03,,,,,,,,,,,,,,,,,,,,8.45
2018-04-04,,,,,,,,,,,,,,,,,,,,8.3
2018-04-05,,,,,,,,,,,,,,,,,,,,8.14
2018-04-06,,,,,,,,,,,,,,,,,,,,7.999
2018-04-09,,,,,,,,,,,,,,,,,,,,7.949
2018-04-10,,,,,,,,,,,,,,,,,,,,7.85
2018-04-11,,,,,,,,,,,,,,,,,,,,7.9
2018-04-12,,,,,,,,,,,,,,,,,,,,7.86
2018-04-13,,,,,,,,,,,,,,,,,,,,7.749
2018-04-16,,,,,,,,,,,,,,,,,,,,7.74
2018-04-17,,,,,,,,,,,,,,,,,,,,7.819
2018-04-18,,,,,,,,,,,,,,,,,,,,8.3
2018-04-19,,,,,,,,,,,,,,,,,,,,8.25
2018-04-20,,,,,,,,,,,,,,,,,,,,8.25
2018-04-23,,,,,,,,,,,,,,,,,,,,8.28
2018-04-24,,,,,,,,,,,,,,,,,,,,8.289
2018-04-25,,,,,,,,,,,,,,,,,,,,8.5
2018-04-26,,,,,,,,,,,,,,,,,,,,8.499
2018-04-27,,,,,,,,,,,,,,,,,,,,8.45
2018-04-30,,,,,,,,,,,,,,,,,,,,8.34
2018-05-02,,,,,,,,,,,,,,,,,,,,8.5
2018-05-03,,,,,,,,,,,,,,,,,,,,8.6
2018-05-04,,,,,,,,,,,,,,,,,,,,8.599
2018-05-07,,,,,,,,,,,,,,,,,,,,8.57
2018-05-08,,,,,,,,,,,,,,,,,,,,8.7
2018-05-09,,,,,,,,,,,,,,,,,,,,8.75
2018-05-10,,,,,,,,,,,,,,,,,,,,8.849
2018-05-11,,,,,,,,,,,,,,,,,,,,8.763
2018-05-14,,,,,,,,,,,,,,,,,,,,8.763
2018-05-15,,,,,,,,,,,,,,,,,,,,8.87
2018-05-16,,,,,,,,,,,,,,,,,,,,9.0
2018-05-17,,,,,,,,,,,,,,,,,,,,8.92
2018-05-18,,,,,,,,,,,,,,,,,,,,8.94
2018-05-21,,,,,,,,,,,,,,,,,,,,8.999
2018-05-22,,,,,,,,,,,,,,,,,,,,8.999
2018-05-23,,,,,,,,,,,,,,,,,,,,8.98
2018-05-24,,,,,,,,,,,,,,,,,,,,8.7
2018-05-25,,,,,,,,,,,,,,,,,,,,8.61
2018-05-28,,,,,,,,,,,,,,,,,,,,8.52
2018-05-29,,,,,,,,,,,,,,,,,,,,8.45
2018-05-30,,,,,,,,,,,,,,,,,,,,8.55
2018-05-31,,,,,,,,,,,,,,,,,,,,8.5
2018-06-01,,,,,,,,,,,,,,,,,,,,8.499
2018-06-04,,,,,,,,,,,,,,,,,,,,8.5
2018-06-05,,,,,,,,,,,,,,,,,,,,8.429
2018-06-06,,,,,,,,,,,,,,,,,,,,8.4
2018-06-07,,,,,,,,,,,,,,,,,,,,8.6
2018-06-08,,,,,,,,,,,,,,,,,,,,8.54
2018-06-11,,,,,,,,,,,,,,,,,,,,8.3
2018-06-12,,,,,,,,,,,,,,,,,,,,8.299
2018-06-13,,,,,,,,,,,,,,,,,,,,8.23
2018-06-14,,,,,,,,,,,,,,,,,,,,8.251
2018-06-15,,,,,,,,,,,,,,,,,,,,8.17
2018-06-18,,,,,,,,,,,,,,,,,,,,8.2
2018-06-19,,,,,,,,,,,,,,,,,,,,8.05
2018-06-20,,,,,,,,,,,,,,,,,,,,8.25
2018-06-21,,,,,,,,,,,,,,,,,,,,8.16
2018-06-22,,,,,,,,,,,,,,,,,,,,8.101
2018-06-25,,,,,,,,,,,,,,,,,,,,8.18
2018-06-26,,,,,,,,,,,,,,,,,,,,8.09
2018-06-27,,,,,,,,,,,,,,,,,,,,8.149
2018-06-28,,,,,,,,,,,,,,,,,,,,8.1
2018-06-29,,,,,,,,,,,,,,,,,,,,8.1
2018-07-02,,,,,,,,,,,,,,,,,,,,8.051
2018-07-03,,,,,,,,,,,,,,,,,,,,8.1
2018-07-04,,,,,,,,,,,,,,,,,,,,8.9
2018-07-05,,,,,,,,,,,,,,,,,,,,8.32
2018-07-06,,,,,,,,,,,,,,,,,,,,8.809
2018-07-09,,,,,,,,,,,,,,,,,,,,8.756
2018-07-10,,,,,,,,,,,,,,,,,,,,9.14
2018-07-11,,,,,,,,,,,,,,,,,,,,8.8
2018-07-12,,,,,,,,,,,,,,,,,,,,8.7
2018-07-13,,,,,,,,,,,,,,,,,,,,9.0
2018-07-16,,,,,,,,,,,,,,,,,,,,8.85
2018-07-17,,,,,,,,,,,,,,,,,,,,8.751
2018-07-18,,,,,,,,,,,,,,,,,,,,8.95
2018-07-19,,,,,,,,,,,,,,,,,,,,9.0
2018-07-20,,,,,,,,,,,,,,,,,,,,8.99
2018-07-23,,,,,,,,,,,,,,,,,,,,8.93
2018-07-24,,,,,,,,,,,,,,,,,,,,9.0
2018-07-25,,,,,,,,,,,,,,,,,,,,9.05
2018-07-26,,,,,,,,,,,,,,,,,,,,9.05
2018-07-27,,,,,,,,,,,,,,,,,,,,9.05
2018-07-30,,,,,,,,,,,,,,,,,,,,9.0
2018-07-31,,,,,,,,,,,,,,,,,,,,9.01
2018-08-01,,,,,,,,,,,,,,,,,,,,9.15
2018-08-02,,,,,,,,,,,,,,,,,,,,9.051
2018-08-03,,,,,,,,,,,,,,,,,,,,9.06
2018-08-06,,,,,,,,,,,,,,,,,,,,8.961
2018-08-07,,,,,,,,,,,,,,,,,,,,9.0
2018-08-08,,,,,,,,,,,,,,,,,,,,9.1
2018-08-09,,,,,,,,,,,,,,,,,,,,9.0
2018-08-10,,,,,,,,,,,,,,,,,,,,9.0
2018-08-13,,,,,,,,,,,,,,,,,,,,8.95
2018-08-14,,,,,,,,,,,,,,,,,,,,8.95
2018-08-15,,,,,,,,,,,,,,,,,,,,9.1
2018-08-16,,,,,,,,,,,,,,,,,,,,9.099
2018-08-17,,,,,,,,,,,,,,,,,,,,9.1
2018-08-20,,,,,,,,,,,,,,,,,,,,9.09
2018-08-21,,,,,,,,,,,,,,,,,,,,9.1
2018-08-22,,,,,,,,,,,,,,,,,,,,9.12
2018-08-23,,,,,,,,,,,,,,,,,,,,9.13
2018-08-24,,,,,,,,,,,,,,,,,,,,9.05
2018-08-27,,,,,,,,,,,,,,,,,,,,8.95
2018-08-28,,,,,,,,,,,,,,,,,,,,8.951
2018-08-29,,,,,,,,,,,,,,,,,,,,9.12
2018-08-30,,,,,,,,,,,,,,,,,,,,9.119
2018-08-31,,,,,,,,,,,,,,,,,,,,9.0
2018-09-03,,,,,,,,,,,,,,,,,,,,8.899
2018-09-04,,,,,,,,,,,,,,,,,,,,8.88
2018-09-05,,,,,,,,,,,,,,,,,,,,9.1
2018-09-06,,,,,,,,,,,,,,,,,,,,8.97
2018-09-07,,,,,,,,,,,,,,,,,,,,8.901
2018-09-10,,,,,,,,,,,,,,,,,,,,8.9
2018-09-11,,,,,,,,,,,,,,,,,,,,8.899
2018-09-12,,,,,,,,,,,,,,,,,,,,9.1
2018-09-13,,,,,,,,,,,,,,,,,,,,9.059
2018-09-14,,,,,,,,,,,,,,,,,,,,9.0
2018-09-17,,,,,,,,,,,,,,,,,,,,9.049
2018-09-18,,,,,,,,,,,,,,,,,,,,9.019
2018-09-19,,,,,,,,,,,,,,,,,,,,9.1
2018-09-20,,,,,,,,,,,,,,,,,,,,9.11
2018-09-21,,,,,,,,,,,,,,,,,,,,9.11
2018-09-24,,,,,,,,,,,,,,,,,,,,9.109
2018-09-25,,,,,,,,,,,,,,,,,,,,9.05
2018-09-26,,,,,,,,,,,,,,,,,,,,9.11
2018-09-27,,,,,,,,,,,,,,,,,,,,9.15
2018-09-28,,,,,,,,,,,,,,,,,,,,9.12
2018-10-01,,,,,,,,,,,,,,,,,,,,9.179
2018-10-02,,,,,,,,,,,,,,,,,,,,9.071
2018-10-03,,,,,,,,,,,,,,,,,,,,9.15
2018-10-04,,,,,,,,,,,,,,,,,,,,9.153
2018-10-05,,,,,,,,,,,,,,,,,,,,9.16
2018-10-08,,,,,,,,,,,,,,,,,,,,9.106
2018-10-09,,,,,,,,,,,,,,,,,,,,9.049
2018-10-10,,,,,,,,,,,,,,,,,,,,9.17
2018-10-11,,,,,,,,,,,,,,,,,,,,8.899
2018-10-12,,,,,,,,,,,,,,,,,,,,8.999
2018-10-15,,,,,,,,,,,,,,,,,,,,8.896
2018-10-16,,,,,,,,,,,,,,,,,,,,8.98
2018-10-17,,,,,,,,,,,,,,,,,,,,8.98
2018-10-18,,,,,,,,,,,,,,,,,,,,8.98
2018-10-19,,,,,,,,,,,,,,,,,,,,8.999
2018-10-22,,,,,,,,,,,,,,,,,,,,8.899
2018-10-23,,,,,,,,,,,,,,,,,,,,8.668
2018-10-24,,,,,,,,,,,,,,,,,,,,9.0
2018-10-25,,,,,,,,,,,,,,,,,,,,8.949
2018-10-26,,,,,,,,,,,,,,,,,,,,8.849
2018-10-29,,,,,,,,,,,,,,,,,,,,8.849
2018-10-30,,,,,,,,,,,,,,,,,,,,8.849
2018-10-31,,,,,,,,,,,,,,,,,,,,8.849
2018-11-01,,,,,,,,,,,,,,,,,,,,8.849
2018-11-02,,,,,,,,,,,,,,,,,,,,8.8
2018-11-05,,,,,,,,,,,,,,,,,,,,8.849
2018-11-06,,,,,,,,,,,,,,,,,,,,8.849
2018-11-07,,,,,,,,,,,,,,,,,,,,8.849
2018-11-08,,,,,,,,,,,,,,,,,,,,8.849
2018-11-09,,,,,,,,,,,,,,,,,,,,8.799
2018-11-12,,,,,,,,,,,,,,,,,,,,8.681
2018-11-13,,,,,,,,,,,,,,,,,,,,8.699
2018-11-14,,,,,,,,,,,,,,,,,,,,8.699
2018-11-15,,,,,,,,,,,,,,,,,,,,8.451
2018-11-16,,,,,,,,,,,,,,,,,,,,8.689
2018-11-19,,,,,,,,,,,,,,,,,,,,8.35
2018-11-20,,,,,,,,,,,,,,,,,,,,8.35
2018-11-21,,,,,,,,,,,,,,,,,,,,8.59
2018-11-22,,,,,,,,,,,,,,,,,,,,8.59
2018-11-23,,,,,,,,,,,,,,,,,,,,8.55
2018-11-26,,,,,,,,,,,,,,,,,,,,8.571
2018-11-27,,,,,,,,,,,,,,,,,,,,8.57
2018-11-28,,,,,,,,,,,,,,,,,,,,8.669
2018-11-29,,,,,,,,,,,,,,,,,,,,8.45
2018-11-30,,,,,,,,,,,,,,,,,,,,8.45
2018-12-03,,,,,,,,,,,,,,,,,,,,8.3
2018-12-04,,,,,,,,,,,,,,,,,,,,8.499
2018-12-05,,,,,,,,,,,,,,,,,,,,8.4
2018-12-06,,,,,,,,,,,,,,,,,,,,8.359
2018-12-07,,,,,,,,,,,,,,,,,,,,8.359
2018-12-10,,,,,,,,,,,,,,,,,,,,8.0
2018-12-11,,,,,,,,,,,,,,,,,,,,8.182
2018-12-12,,,,,,,,,,,,,,,,,,,,8.199
2018-12-13,,,,,,,,,,,,,,,,,,,,8.099
2018-12-14,,,,,,,,,,,,,,,,,,,,7.999
2018-12-17,,,,,,,,,,,,,,,,,,,,7.74
2018-12-18,,,,,,,,,,,,,,,,,,,,7.85
2018-12-19,,,,,,,,,,,,,,,,,,,,7.85
2018-12-20,,,,,,,,,,,,,,,,,,,,7.85
2018-12-21,,,,,,,,,,,,,,,,,,,,7.849
2018-12-24,,,,,,,,,,,,,,,,,,,,7.75
2018-12-27,,,,,,,,,,,,,,,,,,,,7.4
2018-12-28,,,,,,,,,,,,,,,,,,,,7.339
2018-12-31,,,,,,,,,,,,,,,,,,,,7.34
2019-01-02,,,,,,,,,,,,,,,,,,,,7.339
2019-01-03,,,,,,,,,,,,,,,,,,,,7.26
2019-01-04,,,,,,,,,,,,,,,,,,,,7.259
2019-01-07,,,,,,,,,,,,,,,,,,,,7.279
2019-01-08,,,,,,,,,,,,,,,,,,,,7.279
2019-01-09,,,,,,,,,,,,,,,,,,,,7.28
2019-01-10,,,,,,,,,,,,,,,,,,,,7.269
2019-01-11,,,,,,,,,,,,,,,,,,,,7.269
2019-01-14,,,,,,,,,,,,,,,,,,,,7.269
2019-01-15,,,,,,,,,,,,,,,,,,,,7.199
2019-01-16,,,,,,,,,,,,,,,,,,,,7.197
2019-01-17,,,,,,,,,,,,,,,,,,,,7.129
2019-01-18,,,,,,,,,,,,,,,,,,,,7.0
2019-01-21,,,,,,,,,,,,,,,,,,,,6.898
2019-01-22,,,,,,,,,,,,,,,,,,,,6.799
2019-01-23,,,,,,,,,,,,,,,,,,,,6.79
2019-01-24,,,,,,,,,,,,,,,,,,,,6.8
2019-01-25,,,,,,,,,,,,,,,,,,,,6.699
2019-01-28,,,,,,,,,,,,,,,,,,,,6.69
2019-01-29,,,,,,,,,,,,,,,,,,,,6.66
2019-01-30,,,,,,,,,,,,,,,,,,,,6.65
2019-01-31,,,,,,,,,,,,,,,,,,,,6.589
2019-02-01,,,,,,,,,,,,,,,,,,,,6.2
2019-02-04,,,,,,,,,,,,,,,,,,,,5.949
2019-02-05,,,,,,,,,,,,,,,,,,,,5.899
2019-02-06,,,,,,,,,,,,,,,,,,,,5.95
2019-02-07,,,,,,,,,,,,,,,,,,,,5.899
2019-02-08,,,,,,,,,,,,,,,,,,,,5.899
2019-02-11,,,,,,,,,,,,,,,,,,,,5.899
2019-02-12,,,,,,,,,,,,,,,,,,,,5.889
2019-02-13,,,,,,,,,,,,,,,,,,,,5.86
2019-02-14,,,,,,,,,,,,,,,,,,,,5.86
2019-02-15,,,,,,,,,,,,,,,,,,,,5.799
2019-02-18,,,,,,,,,,,,,,,,,,,,5.789
2019-02-19,,,,,,,,,,,,,,,,,,,,5.789
2019-02-20,,,,,,,,,,,,,,,,,,,,5.779
2019-02-21,,,,,,,,,,,,,,,,,,,,5.68
2019-02-22,,,,,,,,,,,,,,,,,,,,5.649
2019-02-25,,,,,,,,,,,,,,,,,,,,5.286
2019-02-26,,,,,,,,,,,,,,,,,,,,5.547
2019-02-27,,,,,,,,,,,,,,,,,,,,5.498
2019-02-28,,,,,,,,,,,,,,,,,,,,5.289
2019-03-01,,,,,,,,,,,,,,,,,,,,5.279
2019-03-04,,,,,,,,,,,,,,,,,,,,5.249
2019-03-05,,,,,,,,,,,,,,,,,,,,5.269
2019-03-06,,,,,,,,,,,,,,,,,,,,5.45
2019-03-07,,,,,,,,,,,,,,,,,,,,5.449
2019-03-08,,,,,,,,,,,,,,,,,,,,5.44
2019-03-11,,,,,,,,,,,,,,,,,,,,5.389
2019-03-12,,,,,,,,,,,,,,,,,,,,5.31
2019-03-13,,,,,,,,,,,,,,,,,,,,5.3
2019-03-14,,,,,,,,,,,,,,,,,,,,5.31
2019-03-15,,,,,,,,,,,,,,,,,,,,5.29
2019-03-18,,,,,,,,,,,,,,,,,,,,5.199
2019-03-19,,,,,,,,,,,,,,,,,,,,5.199
2019-03-20,,,,,,,,,,,,,,,,,,,,5.2
2019-03-21,,,,,,,,,,,,,,,,,,,,5.199
2019-03-22,,,,,,,,,,,,,,,,,,,,5.199
2019-03-25,,,,,,,,,,,,,,,,,,,,5.199
2019-03-26,,,,,,,,,,,,,,,,,,,,5.199
2019-03-27,,,,,,,,,,,,,,,,,,,,5.199
2019-03-28,,,,,,,,,,,,,,,,,,,,5.049
2019-03-29,,,,,,,,,,,,,,,,,,,,4.9
2019-04-01,,,,,,,,,,,,,,,,,,,,5.06
2019-04-02,,,,,,,,,,,,,,,,,,,,5.04
2019-04-03,,,,,,,,,,,,,,,,,,,,5.04
2019-04-04,,,,,,,,,,,,,,,,,,,,5.02
2019-04-05,,,,,,,,,,,,,,,,,,,,5.04
2019-04-08,,,,,,,,,,,,,,,,,,,,5.16
2019-04-09,,,,,,,,,,,,,,,,,,,,5.14
2019-04-10,,,,,,,,,,,,,,,,,,,,5.14
2019-04-11,,,,,,,,,,,,,,,,,,,,5.0
2019-04-12,,,,,,,,,,,,,,,,,,,,5.0
2019-04-15,,,,,,,,,,,,,,,,,,,,4.88
2019-04-16,,,,,,,,,,,,,,,,,,,,4.97
2019-04-17,,,,,,,,,,,,,,,,,,,,4.96
2019-04-18,,,,,,,,,,,,,,,,,,,,4.97
2019-04-23,,,,,,,,,,,,,,,,,,,,4.96
2019-04-24,,,,,,,,,,,,,,,,,,,,4.98
2019-04-25,,,,,,,,,,,,,,,,,,,,4.89
2019-04-26,,,,,,,,,,,,,,,,,,,,5.0
2019-04-29,,,,,,,,,,,,,,,,,,,,4.99
2019-04-30,,,,,,,,,,,,,,,,,,,,4.93
2019-05-02,,,,,,,,,,,,,,,,,,,,4.7
2019-05-03,,,,,,,,,,,,,,,,,,,,4.87
2019-05-06,,,,,,,,,,,,,,,,,,,,4.7
2019-05-07,,,,,,,,,,,,,,,,,,,,4.87
2019-05-08,,,,,,,,,,,,,,,,,,,,4.82
2019-05-09,,,,,,,,,,,,,,,,,,,,4.78
2019-05-10,,,,,,,,,,,,,,,,,,,,4.7
2019-05-13,,,,,,,,,,,,,,,,,,,,4.74
2019-05-14,,,,,,,,,,,,,,,,,,,,4.74
2019-05-15,,,,,,,,,,,,,,,,,,,,4.8
2019-05-16,,,,,,,,,,,,,,,,,,,,4.68
2019-05-17,,,,,,,,,,,,,,,,,,,,4.59
2019-05-20,,,,,,,,,,,,,,,,,,,,4.67
2019-05-21,,,,,,,,,,,,,,,,,,,,4.67
2019-05-22,,,,,,,,,,,,,,,,,,,,4.56
2019-05-23,,,,,,,,,,,,,,,,,,,,4.6
2019-05-24,,,,,,,,,,,,,,,,,,,,4.57
2019-05-27,,,,,,,,,,,,,,,,,,,,4.5
2019-05-28,,,,,,,,,,,,,,,,,,,,4.88
2019-05-29,,,,,,,,,,,,,,,,,,,,4.86
2019-05-30,,,,,,,,,,,,,,,,,,,,4.85
2019-05-31,,,,,,,,,,,,,,,,,,,,4.88
2019-06-03,,,,,,,,,,,,,,,,,,,,4.89
2019-06-04,,,,,,,,,,,,,,,,,,,,4.88
2019-06-05,,,,,,,,,,,,,,,,,,,,4.99
2019-06-06,,,,,,,,,,,,,,,,,,,,4.83
2019-06-07,,,,,,,,,,,,,,,,,,,,4.9
2019-06-10,,,,,,,,,,,,,,,,,,,,4.78
2019-06-11,,,,,,,,,,,,,,,,,,,,4.89
2019-06-12,,,,,,,,,,,,,,,,,,,,4.97
2019-06-13,,,,,,,,,,,,,,,,,,,,4.99
2019-06-14,,,,,,,,,,,,,,,,,,,,4.98
2019-06-17,,,,,,,,,,,,,,,,,,,,4.85
2019-06-18,,,,,,,,,,,,,,,,,,,,4.86
