,MLCOU FP Equity_PX_LAST
1994-12-16,4.5735
1994-12-19,4.1237
1994-12-20,3.8112
1994-12-22,4.1923
1994-12-23,4.1009
1994-12-26,4.1009
1994-12-27,4.2305
1994-12-29,4.2686
1994-12-30,3.8417
1995-01-23,3.8417
1995-02-14,3.9637
1995-03-06,3.8112
1995-04-10,3.4301
1995-04-11,3.0871
1995-04-12,2.7822
1995-04-13,3.0566
1995-04-18,3.3615
1995-04-20,3.331
1995-04-21,3.0032
1995-04-24,2.706
1995-04-25,2.5307
1995-05-02,2.7441
1995-05-03,2.7441
1995-05-12,3.0185
1995-06-12,2.9423
1995-06-13,3.1862
1995-06-20,2.8737
1995-06-21,2.8737
1995-06-22,3.049
1995-06-26,3.3539
1995-06-27,3.6893
1995-06-28,3.8112
1995-07-17,4.1771
1995-07-18,4.421
1995-07-19,4.7259
1995-07-24,4.2533
1995-07-25,3.8341
1995-07-26,3.9637
1995-10-02,3.9637
1995-10-06,3.5673
1995-10-09,3.2167
1995-10-10,3.2167
1995-10-19,3.049
1995-11-03,3.0566
1995-11-06,3.049
1995-12-01,3.0566
1995-12-12,3.049
1995-12-18,3.049
1995-12-28,3.049
1996-01-29,3.0566
1996-02-05,3.0566
1996-02-29,3.0566
1996-03-01,3.0566
1996-03-12,3.3615
1996-04-01,3.049
1996-04-11,3.0414
1996-05-22,2.7441
1996-06-14,2.7441
1996-06-21,2.7441
1996-07-04,2.4697
1996-07-05,2.2258
1996-07-08,2.1343
1996-07-10,2.2867
1996-07-31,2.2867
1996-08-01,2.2867
1996-08-02,2.4392
1996-08-05,2.6069
1996-08-06,2.8508
1996-08-07,3.1252
1996-08-08,3.4377
1996-08-09,3.7807
1996-08-12,4.1542
1996-08-19,4.5658
1996-08-20,5.0156
1996-08-21,5.511
1996-08-27,5.9455
1996-08-28,5.9455
1996-08-29,5.9455
1996-09-12,5.6406
1996-09-13,5.3357
1996-09-16,5.0308
1996-09-17,4.7259
1996-09-24,4.421
1996-09-25,4.1771
1996-09-26,3.9637
1996-11-06,4.1923
1996-12-04,3.7731
1996-12-09,3.6588
1996-12-19,3.3463
1996-12-20,3.049
1996-12-23,2.7822
1996-12-24,3.0566
1996-12-26,3.3615
1996-12-27,3.6969
1996-12-30,3.331
1996-12-31,3.0032
1997-01-22,3.2014
1997-01-23,3.3844
1997-01-27,3.049
1997-01-28,2.7441
1997-01-29,2.5916
1997-02-11,2.4392
1997-02-13,2.6831
1997-02-14,2.9499
1997-02-18,3.2395
1997-02-19,3.3539
1997-03-03,3.8112
1997-03-10,4.0856
1997-04-07,4.0856
1997-04-21,3.6816
1997-04-22,3.3158
1997-04-23,2.988
1997-04-25,2.988
1997-07-23,2.4239
1997-08-05,2.4011
1997-08-06,2.6374
1997-08-07,2.8965
1997-08-12,2.8737
1997-08-13,2.5916
1997-08-14,2.3325
1997-08-18,2.1038
1997-08-19,2.1038
1997-09-01,2.2867
1997-09-18,2.302
1997-09-29,2.4544
1997-09-30,2.6145
1997-10-02,2.3553
1997-10-07,2.2715
1997-10-10,2.4925
1997-10-13,2.7365
1997-10-14,3.0032
1997-10-16,2.0504
1997-10-17,2.4925
1997-10-20,2.7365
1997-11-12,2.9728
1997-12-10,2.7441
1997-12-22,2.7441
1997-12-31,2.4697
1998-01-27,2.7212
1998-02-13,2.6983
1998-02-20,2.4544
1998-03-09,2.2867
1998-03-10,2.2105
1998-03-16,2.0581
1998-03-17,2.0581
1998-03-23,2.2639
1998-03-31,2.0581
1998-04-01,2.0581
1998-05-18,1.8523
1998-05-19,1.6693
1998-05-20,1.6693
1998-06-04,1.8294
1998-06-05,2.0123
1998-06-08,2.2105
1998-06-09,2.2105
1998-06-10,2.2105
1998-06-18,2.1343
1998-07-16,1.9209
1998-07-17,1.7303
1998-07-20,1.5626
1998-07-21,1.4102
1998-07-22,1.2729
1998-07-24,1.1586
1998-07-31,1.2729
1998-08-05,1.3949
1998-08-06,1.5321
1998-08-13,1.6846
1998-08-14,1.8523
1998-08-17,2.0352
1998-08-18,2.2334
1998-08-19,2.4544
1998-08-20,2.6983
1998-08-26,2.4316
1998-08-27,2.2867
1998-08-28,2.2867
1998-09-21,2.2562
1998-09-24,2.4392
1998-11-16,2.6831
1998-11-17,2.8965
1998-12-01,2.6221
1998-12-02,2.3782
1998-12-03,2.2867
1998-12-07,2.2867
1998-12-11,2.0581
1998-12-14,2.2639
1998-12-15,2.2867
1998-12-16,2.2867
1998-12-17,2.2867
1998-12-18,2.2867
1998-12-21,2.2867
1999-01-07,2.29
1999-02-25,2.07
1999-02-26,1.87
1999-03-01,1.69
1999-03-02,1.53
1999-06-10,1.38
1999-06-17,1.13
1999-06-18,1.02
1999-06-21,0.92
1999-06-22,0.92
1999-06-23,0.92
1999-06-24,1.51
1999-06-25,1.52
1999-06-30,1.67
1999-07-01,1.51
1999-07-07,1.51
1999-07-13,1.66
1999-07-15,1.82
1999-07-16,2.0
1999-07-28,2.2
1999-07-29,2.0
1999-07-30,1.8
1999-08-03,1.8
1999-08-31,1.8
1999-09-13,1.98
1999-09-14,1.8
1999-09-15,1.98
1999-09-16,1.8
1999-09-17,1.98
1999-09-20,2.17
1999-09-22,2.38
1999-09-23,2.61
1999-09-24,1.62
1999-09-27,2.86
1999-09-28,2.86
1999-09-29,3.14
1999-09-30,3.14
1999-10-01,1.8
1999-10-11,1.8
1999-10-12,1.8
1999-10-13,1.8
1999-10-14,1.8
1999-10-15,1.8
1999-10-18,1.8
1999-10-19,1.8
1999-10-20,1.8
1999-10-21,1.8
1999-10-22,1.8
1999-10-25,1.8
1999-10-26,1.8
1999-10-27,1.8
1999-10-28,1.8
1999-10-29,1.8
1999-11-02,1.8
1999-11-03,1.8
1999-11-04,1.8
1999-11-05,1.8
1999-11-08,1.8
1999-11-09,1.8
1999-11-10,1.8
1999-11-11,1.8
1999-11-12,1.8
1999-11-15,1.8
1999-11-16,1.8
1999-11-17,1.8
1999-11-18,1.8
1999-11-19,1.8
1999-11-22,1.8
1999-11-23,1.8
1999-11-29,1.8
1999-12-06,1.62
2000-01-10,1.5
2000-02-09,1.5
2000-02-17,1.4
2000-04-10,1.3
2000-05-22,1.43
2000-05-23,1.57
2000-05-24,1.72
2000-05-25,1.89
2000-05-26,1.89
2000-05-29,1.89
2000-05-30,2.07
2000-06-01,2.27
2000-06-02,2.49
2000-06-05,2.73
2000-06-06,3.0
2000-06-07,1.3
2000-06-08,1.17
2000-06-09,1.06
2000-06-14,1.16
2000-06-15,1.27
2000-06-16,1.27
2000-06-19,1.39
2000-06-20,1.52
2000-06-21,1.67
2000-06-22,1.83
2000-06-23,2.01
2000-06-26,2.21
2000-06-27,2.43
2000-06-28,2.67
2000-06-29,2.67
2000-07-03,2.67
2000-07-04,2.67
2000-07-05,2.67
2000-07-06,2.67
2000-07-07,2.67
2000-07-10,2.67
2000-07-11,2.67
2000-07-12,2.67
2000-07-13,2.67
2000-07-17,2.67
2000-07-18,2.67
2000-07-19,2.67
2000-07-20,2.67
2000-07-21,2.67
2000-07-24,2.67
2000-07-25,2.67
2000-07-26,2.67
2000-07-27,2.67
2000-07-28,2.67
2000-08-01,2.67
2000-08-02,2.67
2000-08-03,2.67
2000-08-04,2.67
2000-08-07,2.67
2000-08-08,2.67
2000-08-09,2.67
2000-08-10,2.67
2000-08-11,2.67
2000-08-14,2.67
2000-08-15,2.67
2000-08-16,2.67
2000-08-17,2.67
2000-08-18,2.67
2000-08-21,2.67
2000-08-22,2.67
2000-08-23,2.67
2000-08-24,2.67
2000-08-25,2.67
2000-08-28,2.67
2000-08-29,2.67
2000-08-30,2.67
2000-09-01,2.67
2000-09-04,2.67
2000-09-05,2.67
2000-09-06,2.67
2000-09-07,2.67
2000-09-08,2.67
2000-09-11,2.67
2000-09-12,2.67
2000-09-13,2.67
2000-09-14,2.67
2000-09-15,2.67
2000-09-18,2.67
2000-09-19,2.67
2000-09-20,2.67
2000-09-21,2.75
2000-10-17,2.75
2000-10-25,2.5
2000-10-26,2.45
2000-10-27,2.45
2000-10-30,2.45
2000-11-28,2.45
2000-12-11,2.69
2000-12-12,2.45
2000-12-19,2.45
2001-01-09,2.45
2001-01-10,2.45
2001-01-22,2.45
2001-01-30,2.69
2001-01-31,2.69
2001-02-01,2.45
2001-03-08,2.45
2001-04-04,2.45
2001-04-10,2.45
2001-05-16,2.21
2001-05-17,1.99
2001-05-18,1.8
2001-05-21,1.62
2001-05-22,1.46
2001-05-23,1.32
2001-05-24,1.19
2001-05-25,2.2
2001-05-30,1.98
2001-05-31,1.79
2001-06-01,2.0
2001-06-05,1.8
2001-06-06,1.98
2001-06-07,2.17
2001-06-08,2.17
2001-06-11,2.38
2001-06-12,2.61
2001-06-13,2.61
2001-06-14,2.85
2001-11-08,3.13
2002-10-30,2.4
2003-01-15,0.34
2003-02-20,0.34
2003-12-10,0.34
2003-12-23,0.34
2004-05-05,0.28
2004-05-19,0.26
2004-06-01,0.24
2004-06-08,0.22
2004-07-21,0.18
2004-08-11,0.17
2004-09-17,0.16
2004-09-20,0.15
2004-09-28,0.22
2004-10-06,0.36
2004-10-12,0.5
2004-10-13,0.51
2004-10-15,0.61
2004-10-26,1.05
2004-10-27,1.05
2004-10-29,1.05
2004-11-02,1.2
2004-11-04,1.32
2004-11-08,1.59
2004-11-10,1.91
2004-11-12,2.3
2004-11-16,2.78
2004-11-19,3.67
2004-11-22,4.03
2004-11-25,5.0
2004-12-06,4.25
2004-12-10,3.4
2004-12-14,4.11
2004-12-15,4.52
2004-12-16,4.97
2004-12-20,5.45
2004-12-24,5.45
2004-12-28,5.45
2004-12-29,5.45
2004-12-30,4.91
2005-01-05,5.94
2005-01-06,6.53
2005-01-13,9.53
2005-01-27,15.0
2005-01-28,15.0
2005-02-02,16.45
2005-02-03,16.45
2005-02-04,16.45
2005-02-07,15.0
2005-02-08,14.9
2005-02-10,13.41
2005-02-21,6.81
2005-03-08,8.0
2005-03-10,8.02
2005-03-11,8.05
2005-03-18,12.91
2005-03-21,13.5
2005-03-22,13.45
2005-03-23,12.85
2005-03-24,12.85
2005-03-30,10.5
2005-04-14,6.91
2005-04-20,6.91
2005-04-29,7.6
2005-05-16,8.0
2005-05-24,8.5
2005-05-31,8.5
2005-06-10,9.0
2005-06-16,9.0
2005-06-30,7.9
2005-07-19,4.16
2005-07-21,5.02
2005-08-01,8.85
2005-08-03,8.5
2005-08-04,8.85
2005-08-11,8.0
2005-08-12,8.0
2005-08-30,8.8
2005-09-02,9.3
2005-09-20,9.0
2005-09-27,8.85
2005-11-18,3.85
2005-12-13,4.0
2005-12-21,4.0
2005-12-22,4.0
2005-12-30,4.34
2006-01-04,4.0
2006-02-28,5.3
2006-03-08,5.31
2006-03-28,8.55
2006-03-30,8.0
2006-04-26,6.48
2006-05-04,7.7
2006-06-27,7.5
2006-07-07,6.11
2006-09-04,7.99
2006-09-07,7.98
2006-11-23,5.4
2006-11-30,5.5
2006-12-05,5.5
2007-01-25,4.95
2007-01-26,5.44
2007-01-29,5.44
2007-01-30,5.97
2007-02-01,6.56
2007-03-30,4.5
2007-10-02,4.49
2007-10-22,4.48
2007-12-17,3.19
2008-09-08,2.32
2008-10-28,0.93
2009-01-07,1.12
2009-03-06,1.34
2009-03-30,1.47
2009-03-31,1.61
2009-04-01,1.77
2009-04-03,2.13
2009-04-06,2.34
2009-04-16,4.12
2009-04-27,2.42
2009-04-30,2.62
2009-05-04,2.88
2009-07-23,0.69
2009-08-13,2.05
2009-08-19,2.71
2009-09-21,1.82
2009-10-16,1.83
2009-10-29,1.83
2010-01-28,1.84
2010-02-02,2.02
2010-04-12,2.22
2010-04-19,1.35
2010-04-21,1.34
2010-05-10,2.34
2010-05-24,2.36
2010-06-28,1.11
2010-07-01,1.13
2010-07-29,5.5
2010-08-02,4.95
2010-08-16,4.9
2010-10-07,4.62
2010-11-11,4.59
2010-11-29,2.0
2010-12-03,2.66
2010-12-20,4.5
2011-01-06,4.77
2011-01-10,4.3
2011-01-28,4.67
2011-03-08,4.93
2011-04-27,4.16
2011-09-08,1.64
2011-10-24,1.78
2011-10-26,1.76
2011-11-02,2.56
2011-11-04,3.08
2011-11-07,3.38
2011-11-08,3.7
2011-11-09,4.0
2011-11-24,4.3
2012-01-17,3.69
2012-01-25,3.69
2012-03-06,3.0
2012-03-26,2.7
2012-04-13,2.7
2012-04-23,2.97
2012-04-25,3.2
2012-04-27,3.87
2012-07-25,3.15
2012-07-31,3.15
2012-09-07,3.1
2012-09-21,3.1
2012-11-15,1.5
2012-12-20,1.5
2013-05-22,1.5
2013-06-07,1.65
2013-06-21,1.65
2013-07-10,1.7
2013-07-16,1.7
2013-07-17,1.87
2013-07-23,2.03
2013-08-12,2.57
2013-08-14,3.1
2013-08-20,3.55
2013-10-01,1.7
2013-10-08,2.05
2013-10-10,2.38
2013-10-17,3.15
2013-10-28,3.46
2013-11-05,4.14
2014-01-29,3.99
2014-02-25,2.66
2014-02-26,2.92
2014-03-07,1.95
2014-03-11,1.76
2014-03-20,3.09
2014-03-25,3.99
2014-04-16,3.99
2014-08-15,1.54
2014-10-13,1.03
2014-10-28,1.03
2014-11-04,1.35
2014-11-10,1.36
2014-11-20,1.29
2015-04-10,0.8
2015-04-13,0.8
2015-04-17,1.0
2015-05-06,1.1
2015-06-01,1.21
2015-06-02,1.21
2015-06-16,0.98
2015-06-19,0.89
2015-07-06,0.89
2015-12-29,1.02
2016-06-16,1.0
2016-10-20,1.1
2016-10-21,0.99
2016-12-13,1.31
2016-12-21,1.43
2017-02-16,1.43
2017-06-07,1.39
2017-06-12,1.39
2017-06-13,1.39
2017-06-20,1.67
2017-07-12,2.01
2017-09-12,2.12
2017-10-05,2.07
2017-10-10,2.07
2017-10-17,1.87
2017-12-14,2.05
2017-12-22,0.76
2017-12-27,0.75
2018-01-18,0.75
2018-02-13,0.75
2018-08-23,0.3
2019-07-15,0.3
2019-08-09,0.7
2019-11-11,1.45
2019-11-22,1.45
2019-11-25,1.45
2019-11-27,1.45
2019-12-16,1.45
2020-07-23,1.45
2020-08-21,1.45
2020-12-28,0.8
2020-12-30,0.74
2021-01-15,0.89
2021-01-21,0.89
2021-01-22,0.975
2021-02-22,1.05
2021-03-01,1.15
2021-03-02,1.26
2021-03-09,1.38
2021-03-26,1.24
2021-04-16,0.91
2021-04-27,1.18
2021-04-30,1.2
2021-05-26,0.575
2021-05-31,0.58
2021-06-04,0.58
2021-06-14,0.58
2021-06-18,0.695
2021-06-21,0.76
2021-07-26,0.8
2021-07-27,0.965
2021-07-28,0.785
2021-09-07,1.14
2021-09-10,1.25
2021-09-15,1.37
2021-10-26,0.81
2021-10-29,0.89
2021-11-03,0.89
2021-11-09,0.975
2021-12-08,1.07
2021-12-09,1.17
2021-12-28,1.4
2021-12-29,1.69
2021-12-30,2.02
2022-01-05,1.38
2022-01-13,1.38
2022-02-23,0.68
2022-03-02,1.28
2022-03-04,1.19
2022-03-07,1.2
2022-11-28,1.2
2022-11-29,1.2
2022-11-30,1.2
2022-12-01,1.2
2022-12-02,1.2
2022-12-05,1.2
2022-12-06,1.2
2022-12-07,0.8
2022-12-08,0.8
2022-12-09,0.8
2022-12-12,0.8
2022-12-13,0.8
2022-12-14,0.8
2022-12-15,0.8
2022-12-16,0.8
2022-12-19,0.8
2022-12-20,0.8
2022-12-21,0.8
2022-12-22,0.8
2022-12-23,0.8
2022-12-27,0.8
2022-12-28,0.8
2022-12-29,0.8
2022-12-30,0.8
2023-01-02,0.8
2023-01-03,0.8
2023-01-04,0.8
2023-01-05,0.8
2023-01-06,0.8
2023-01-09,0.8
2023-01-10,0.8
2023-01-11,0.8
2023-01-12,0.8
2023-01-13,0.8
2023-01-16,0.8
2023-01-17,0.8
2023-01-18,0.8
2023-01-19,0.8
2023-01-20,0.8
2023-01-23,0.8
2023-01-24,0.8
2023-01-25,0.8
2023-01-26,0.8
2023-01-27,0.8
2023-01-30,0.8
2023-01-31,0.8
2023-02-01,0.8
2023-02-02,0.8
2023-02-03,0.8
2023-02-06,0.8
2023-02-07,0.8
2023-02-08,0.8
2023-02-09,0.8
2023-02-10,0.8
2023-02-13,0.8
2023-02-14,0.8
2023-02-15,0.8
2023-02-16,0.8
2023-02-17,0.8
2023-02-20,0.8
2023-02-21,0.8
2023-02-22,0.8
2023-02-23,0.8
2023-02-24,0.8
2023-02-27,0.8
2023-02-28,0.8
2023-03-01,0.8
2023-03-02,0.8
2023-03-03,0.8
2023-03-06,0.8
2023-03-07,0.8
2023-03-08,0.8
2023-03-09,0.8
2023-03-10,1.0
2023-03-13,1.0
2023-03-14,1.01
2023-03-15,1.01
2023-03-16,1.01
2023-03-17,1.1
2023-03-20,1.2
2023-03-21,1.2
2023-03-22,1.2
2023-03-23,1.2
2023-03-24,1.2
2023-03-27,1.2
2023-03-28,1.2
2023-03-29,1.1
2023-03-30,1.1
2023-03-31,1.09
2023-04-03,1.0
2023-04-04,1.0
2023-04-05,1.2
2023-04-06,1.2
2023-04-11,1.2
2023-04-12,1.2
2023-04-13,1.2
2023-04-14,1.2
2023-04-17,1.08
2023-04-18,1.08
2023-04-19,1.08
2023-04-20,1.08
2023-04-21,1.08
2023-04-24,1.08
2023-04-25,1.08
2023-04-26,1.29
2023-04-27,1.29
2023-04-28,1.29
2023-05-02,1.29
2023-05-03,1.29
2023-05-04,1.1
2023-05-05,1.29
2023-05-08,1.29
2023-05-09,1.29
2023-05-10,1.29
2023-05-11,1.29
2023-05-12,1.29
2023-05-15,1.29
2023-05-16,1.29
2023-05-17,1.29
2023-05-18,1.29
2023-05-19,1.29
2023-05-22,1.29
2023-05-23,1.29
2023-05-24,1.29
2023-05-25,1.1
2023-05-26,1.1
2023-05-29,1.1
2023-05-30,1.1
2023-05-31,1.1
2023-06-01,1.1
2023-06-02,1.1
2023-06-05,1.1
2023-06-06,1.1
2023-06-07,1.09
2023-06-08,1.09
2023-06-09,1.1
2023-06-12,1.1
2023-06-13,1.1
2023-06-14,1.1
2023-06-15,1.1
2023-06-16,1.1
2023-06-19,1.1
2023-06-20,1.1
2023-06-21,1.1
2023-06-22,1.1
2023-06-23,1.1
2023-06-26,1.1
2023-06-27,1.1
2023-06-28,1.1
2023-06-29,1.1
2023-06-30,1.1
2023-07-03,1.1
2023-07-04,1.1
2023-07-05,1.1
2023-07-06,1.1
2023-07-07,1.1
2023-07-10,1.1
2023-07-11,1.1
2023-07-12,1.1
2023-07-13,1.1
2023-07-14,1.1
2023-07-17,1.1
2023-07-18,1.1
2023-07-19,1.0
2023-07-20,1.0
2023-07-21,1.0
2023-07-24,1.0
2023-07-25,1.0
2023-07-26,1.0
2023-07-27,1.0
2023-07-28,1.3
2023-07-31,1.32
2023-08-01,1.36
2023-08-02,1.5
2023-08-03,1.5
2023-08-04,1.8
2023-08-07,1.8
2023-08-08,2.0
2023-08-09,2.0
2023-08-10,2.12
2023-08-11,1.8
2023-08-14,1.9
2023-08-15,1.92
2023-08-16,2.1
2023-08-17,2.1
2023-08-18,2.36
2023-08-21,2.36
2023-08-22,2.6
2023-08-23,2.7
2023-08-24,2.7
2023-08-25,2.7
2023-08-28,2.9
2023-08-29,2.8
2023-08-30,2.8
2023-08-31,2.8
2023-09-01,2.92
2023-09-04,3.1
2023-09-05,2.9
2023-09-06,2.9
2023-09-07,2.9
2023-09-08,2.9
2023-09-11,2.9
2023-09-12,2.9
2023-09-13,3.0
2023-09-14,3.0
2023-09-15,3.0
2023-09-18,3.0
2023-09-19,3.0
2023-09-20,3.16
2023-09-21,3.16
2023-09-22,3.16
2023-09-25,3.1
2023-09-26,3.08
2023-09-27,3.08
2023-09-28,3.08
2023-09-29,3.08
2023-10-02,3.08
2023-10-03,3.08
2023-10-04,3.1
2023-10-05,2.8
2023-10-06,3.0
2023-10-09,3.14
2023-10-10,3.14
2023-10-11,3.14
2023-10-12,3.14
2023-10-13,3.7
2023-10-16,3.7
2023-10-17,3.7
2023-10-18,3.7
2023-10-19,3.7
2023-10-20,3.7
2023-10-23,3.7
2023-10-24,3.7
2023-10-25,4.0
2023-10-26,4.0
2023-10-27,4.0
2023-10-30,4.0
2023-10-31,4.0
2023-11-01,4.0
2023-11-02,3.9
2023-11-03,3.9
2023-11-06,3.9
2023-11-07,3.9
2023-11-08,3.9
2023-11-09,3.9
2023-11-10,3.9
2023-11-13,3.9
2023-11-14,3.9
2023-11-15,3.9
2023-11-16,3.9
2023-11-17,3.9
2023-11-20,3.9
2023-11-21,3.9
2023-11-22,3.9
2023-11-23,3.9
2023-11-24,3.9
2023-11-27,3.9
2023-11-28,3.8
2023-11-29,3.8
2023-11-30,3.5
2023-12-01,3.48
2023-12-04,3.5
2023-12-05,3.5
2023-12-06,3.5
2023-12-07,3.64
2023-12-08,3.68
2023-12-11,3.8
2023-12-12,3.8
2023-12-13,3.8
2023-12-14,3.88
2023-12-15,4.0
2023-12-18,4.0
2023-12-19,4.0
2023-12-20,3.3
2023-12-21,3.3
2023-12-22,3.78
2023-12-27,3.78
2023-12-28,3.2
2023-12-29,3.6
2024-01-02,3.6
2024-01-03,3.0
2024-01-04,3.0
2024-01-05,3.0
2024-01-08,3.0
2024-01-09,3.0
2024-01-10,3.4
2024-01-11,3.4
2024-01-12,3.8
2024-01-15,3.8
2024-01-16,3.8
2024-01-17,3.8
2024-01-18,3.8
2024-01-19,3.8
2024-01-22,3.8
2024-01-23,2.9
2024-01-24,3.5
2024-01-25,3.6
2024-01-26,3.6
2024-01-29,3.6
2024-01-30,3.5
2024-01-31,3.5
2024-02-01,3.5
2024-02-02,3.5
2024-02-05,3.5
2024-02-06,3.5
2024-02-07,3.5
2024-02-08,3.2
2024-02-09,3.4
2024-02-12,3.46
2024-02-13,3.46
2024-02-14,3.46
2024-02-15,3.46
2024-02-16,3.46
2024-02-19,3.46
2024-02-20,3.5
2024-02-21,3.48
2024-02-22,3.48
2024-02-23,3.5
2024-02-26,3.5
2024-02-27,3.5
2024-02-28,3.5
2024-02-29,3.2
2024-03-01,3.5
2024-03-04,3.5
2024-03-05,3.5
2024-03-06,3.5
2024-03-07,3.5
2024-03-08,3.5
2024-03-11,3.5
2024-03-12,3.5
2024-03-13,3.5
2024-03-14,3.5
2024-03-15,3.5
2024-03-18,3.5
2024-03-19,3.5
2024-03-20,3.5
2024-03-21,3.46
2024-03-22,3.46
2024-03-25,3.2
2024-03-26,3.48
2024-03-27,3.48
2024-03-28,3.48
2024-04-02,3.48
2024-04-03,3.48
2024-04-04,3.48
2024-04-05,3.48
2024-04-08,3.48
2024-04-09,3.48
2024-04-10,3.48
2024-04-11,3.48
2024-04-12,3.48
2024-04-15,3.4
2024-04-16,3.4
2024-04-17,3.4
2024-04-18,3.4
2024-04-19,3.4
2024-04-22,3.4
2024-04-23,3.4
2024-04-24,3.4
2024-04-25,3.4
2024-04-26,3.4
2024-04-29,3.4
2024-04-30,3.4
2024-05-02,3.54
2024-05-03,3.54
2024-05-06,3.54
2024-05-07,3.54
2024-05-08,3.5
2024-05-09,3.5
2024-05-10,3.5
2024-05-13,3.5
2024-05-14,3.5
2024-05-15,3.5
2024-05-16,3.5
2024-05-17,3.5
2024-05-20,3.5
2024-05-21,3.5
2024-05-22,3.5
2024-05-23,3.5
2024-05-24,3.5
2024-05-27,3.5
2024-05-28,3.5
2024-05-29,3.0
2024-05-30,3.0
2024-05-31,3.48
2024-06-03,3.48
2024-06-04,3.48
2024-06-05,3.48
2024-06-06,3.48
2024-06-07,3.48
2024-06-10,3.48
2024-06-11,3.48
2024-06-12,3.48
2024-06-13,3.48
2024-06-14,3.48
2024-06-17,3.48
2024-06-18,3.1
2024-06-19,3.1
2024-06-20,3.1
2024-06-21,3.1
2024-06-24,3.08
2024-06-25,3.08
2024-06-26,3.08
2024-06-27,3.08
2024-06-28,3.08
2024-07-01,3.08
2024-07-02,3.0
2024-07-03,3.0
2024-07-04,3.0
2024-07-05,3.0
2024-07-08,3.0
2024-07-09,3.0
2024-07-10,3.0
2024-07-11,3.0
2024-07-12,3.0
2024-07-15,3.2
2024-07-16,3.5
2024-07-17,3.5
2024-07-18,3.5
2024-07-19,3.5
2024-07-22,3.5
2024-07-23,3.5
2024-07-24,3.5
2024-07-25,3.5
2024-07-26,3.5
2024-07-29,3.5
2024-07-30,3.5
2024-07-31,2.4
2024-08-01,2.84
2024-08-02,3.06
2024-08-05,3.06
2024-08-06,3.4
2024-08-07,3.48
2024-08-08,3.48
2024-08-09,3.48
2024-08-12,2.84
2024-08-13,3.2
2024-08-14,3.2
2024-08-15,3.2
2024-08-16,3.2
