,RXL FP Equity_DX_SI_QTY,RXL FP Equity_DX_SHORT_INTEREST_VALUE,RXL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RXL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RXL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RXL FP Equity_DX_SI_MV,RXL FP Equity_DX_DSS,RXL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RXL FP Equity_DX_SUPPLY_SI_QTY,RXL FP Equity_DX_BROKER_SI_QTY,RXL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RXL FP Equity_DX_BROKER_SI_MV_NEW_x,RXL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,RXL FP Equity_DX_SUPPLY_SI_QTY_INC_x,RXL FP Equity_DX_BROKER_SI_MV_INC_x,RXL FP Equity_DX_SUPPLY_SI_MV_NEW,RXL FP Equity_DX_BROKER_SI_QTY_ADD,RXL FP Equity_DX_BROKER_SI_QTY_NEW,RXL FP Equity_DX_SUPPLY_SI_MV_DEC,RXL FP Equity_DX_BROKER_SI_QTY_INC,RXL FP Equity_DX_SUPPLY_SI_QTY_DEC,RXL FP Equity_DX_BROKER_SI_MV_NEW_y,RXL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,RXL FP Equity_DX_BROKER_SI_MV_INC_y,RXL FP Equity_DX_SUPPLY_SI_QTY_INC_y,RXL FP Equity_DX_BROKER_SI_MV_ADD,RXL FP Equity_DX_SUPPLY_SI_QTY_ADD,RXL FP Equity_DX_BROKER_SI_QTY_DEC,RXL FP Equity_DX_SUPPLY_SI_MV,RXL FP Equity_DX_BROKER_SI_MV_DEC,RXL FP Equity_DX_SUPPLY_SI_MV_RMV,RXL FP Equity_DX_BROKER_SI_MV_RMV,RXL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RXL FP Equity_DX_UTILIZATION_QUANTITY,RXL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RXL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RXL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,RXL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RXL FP Equity_DX_ACTIVE_UTILIZATION_MV,RXL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RXL FP Equity_DX_BROKER_SI_CON_RATIO,RXL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RXL FP Equity_DX_DEMAND_SUPPLY_RATIO,RXL FP Equity_PX_LAST
2007-05-30,66500.0,834721.74,0.1,0.07,0.03,1.09,0.0,834721.74,0.0,66500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1353087.0,16984227.69,,23.09,0.0,25.43,0.6207,74.57,0.0491,17.02
2007-05-31,66500.0,825893.9,0.1,0.08,0.03,1.08,0.0,825893.9,0.0,66500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1350114.0,16767682.96,,22.78,0.0,25.13,0.6237,74.87,0.0493,16.84
2007-06-01,138695.0,1723539.48,0.21,0.16,0.05,2.28,0.0,1723539.48,16564.0,138695.0,205838.05,,,,1.2,,,,,72195.0,,,,1.2,,,16564.0,,0.27,,,,1.23,1.23,1334083.0,16578425.48,,22.43,1.2,48.29,0.5006,51.71,0.1027,16.85
2007-06-04,138695.0,1723539.48,0.21,0.17,0.05,2.28,0.0,1723539.48,16584.0,138695.0,206086.58,,,20.0,,,,,,,,,,,20.0,,,,0.27,,,,1.23,1.23,1332104.0,16553832.77,,22.4,1.2,48.32,0.5006,51.68,0.1028,16.85
2007-06-05,138695.0,1767522.98,0.21,0.19,0.05,2.28,0.0,1767522.98,16578.0,138695.0,211269.3,,,,,,,,0.0,,5.0,,,,,,,,0.27,,,,1.05,1.05,1566995.0,19969715.37,,26.62,1.01,48.31,0.5006,51.69,0.0876,17.28
2007-06-06,154265.0,1926126.86,0.23,0.21,0.06,2.57,0.0,1731722.46,32380.0,138695.0,404291.24,,,15802.0,,,,,,,,,,,15802.0,,,,0.54,,,,2.07,2.07,1534794.0,19163179.91,,26.19,2.02,47.76,0.501,52.24,0.0984,16.93
2007-06-07,263819.0,3249249.55,0.39,0.38,0.1,4.43,0.0,3062979.22,31453.0,248695.0,387381.67,,,,1.88,,,,0.01,110000.0,927.0,,,1.88,,,,,0.53,,,,100.0,2.02,0.0,0.0,,0.0,100.0,28.49,0.5925,71.51,0.1693,16.7
2007-06-08,263657.0,3179198.09,0.39,0.43,0.1,4.41,0.0,2998785.05,31116.0,248695.0,375199.32,,,,,,,,0.01,,337.0,,,,,,,,0.52,,,,100.0,2.0,0.0,0.0,,0.0,100.0,28.28,0.5943,71.72,0.1698,16.35
2007-06-11,263427.0,3186138.57,0.39,0.45,0.1,4.39,0.0,3007955.65,30637.0,248695.0,370553.24,,,,,,,,0.01,,479.0,,,,,,,,0.51,,,,100.0,1.77,0.0,0.0,,0.0,100.0,27.88,0.5979,72.12,0.1524,16.4
2007-06-12,292951.0,3521625.06,0.44,0.53,0.11,4.89,0.0,3344288.19,30679.0,278199.0,368798.66,,,42.0,,,29504.0,,,,,,,,42.0,0.49,,,0.51,,,,100.0,1.77,0.0,0.0,,0.0,100.0,25.03,0.4882,64.37,0.1692,16.3
2007-06-13,281791.0,3387468.37,0.42,0.53,0.11,4.68,0.0,3210648.41,30590.0,267082.0,367728.77,,,,0.0,,,,0.0,59.0,89.0,,,0.0,,,,11176.0,0.51,0.2,,,100.0,1.77,0.0,0.0,,0.0,100.0,23.34,0.497,65.59,0.1627,16.3
2007-06-14,353959.0,4275898.46,0.53,0.68,0.14,5.85,0.0,4097292.58,30749.0,339174.0,371454.33,,,159.0,1.17,,,,,72092.0,,,,1.17,159.0,,,,0.51,,,,100.0,1.76,0.0,0.0,,0.0,100.0,27.19,0.4921,64.07,0.2023,16.38
2007-06-15,366414.0,4493914.8,0.54,0.72,0.14,6.07,0.0,4311969.71,30852.0,351579.0,378386.9,,,103.0,0.21,,,,,12405.0,,,,0.21,103.0,,,,0.51,,,,100.0,1.77,0.0,0.0,,0.0,100.0,27.03,0.4666,61.72,0.2105,16.63
2007-06-18,366989.0,4492847.33,0.55,0.72,0.14,6.11,0.0,4309308.4,31178.0,351997.0,381695.35,,,326.0,0.01,,,,,418.0,,,,0.01,326.0,,,,0.52,,,,100.0,2.01,0.0,0.0,,0.0,100.0,27.29,0.4638,61.36,0.2371,16.6
2007-06-19,366952.0,4519456.98,0.55,0.71,0.14,6.1,0.0,4334935.55,31157.0,351970.0,383736.08,,,,,,,,0.0,,21.0,,,,,,,27.0,0.52,0.0,,,100.0,2.01,0.0,0.0,,0.0,100.0,27.22,0.4643,61.43,0.2371,16.7
2007-06-20,367148.0,4589563.63,0.55,0.7,0.14,6.12,0.0,4401617.38,31268.0,352113.0,390868.19,,,111.0,0.0,,,,,143.0,,,,0.0,111.0,,,,0.52,,,,100.0,2.02,0.0,0.0,,0.0,100.0,27.36,0.463,61.26,0.2371,16.95
2007-06-21,372233.0,4633912.63,0.55,0.7,0.15,6.23,0.0,4444725.83,31605.0,357036.0,393449.29,,,336.0,0.08,,,,,4923.0,,,,0.08,336.0,,,,0.53,,,,100.0,2.32,0.0,0.0,,0.0,100.0,27.27,0.464,61.38,0.2736,16.88
2007-06-22,372110.0,4607682.69,0.55,0.69,0.15,6.22,0.0,4419715.09,31569.0,356930.0,390905.74,,,,,,,,0.0,,36.0,,,,,,,107.0,0.53,0.0,,,100.0,2.32,0.0,0.0,,0.0,100.0,27.19,0.4648,61.49,0.2736,16.79
2007-06-25,354128.0,4319726.97,0.53,0.65,0.14,5.9,0.0,4135302.27,31444.0,339009.0,383560.45,,,,,,4492.0,,0.0,,126.0,,,,,0.08,,22413.0,0.52,0.38,,,2.31,2.31,1329556.0,16218200.52,,22.09,2.32,28.53,0.4349,58.24,0.2602,16.54
2007-06-26,425646.0,5053996.75,0.63,0.79,0.17,7.05,0.0,4876033.6,31170.0,410658.0,370103.51,,,,1.18,,,,0.01,72000.0,274.0,,,1.18,,,,351.0,0.52,0.01,,,2.06,2.06,1480207.0,17575547.22,,24.11,2.1,23.37,0.4971,65.79,0.2816,16.1
2007-06-27,365101.0,4308176.93,0.54,0.7,0.14,5.94,0.0,4133077.34,30861.0,350262.0,364158.54,,,,,,,,0.01,,309.0,,,,,,,60396.0,0.5,1.05,,,2.05,2.05,1477163.0,17430463.26,,23.72,2.07,27.13,0.4498,60.27,0.2421,16.0
2007-06-28,400923.0,4760443.05,0.6,0.8,0.16,6.51,0.0,4584819.01,30760.0,386132.0,365235.29,,,,0.58,,,,0.0,36000.0,101.0,,,0.58,,,,130.0,0.5,0.0,,,1.85,1.85,1633983.0,19401438.7,,26.29,1.86,24.55,0.3822,54.83,0.2408,16.1
2007-06-29,401239.0,4737562.99,0.6,0.82,0.16,6.51,0.0,4561905.28,30939.0,386362.0,365307.11,,,180.0,0.0,,,,,230.0,,,,0.0,180.0,,,,0.5,,,,1.86,1.86,1634322.0,19296986.14,,26.17,1.88,24.62,0.3819,54.78,0.2409,16.01
2007-07-02,408427.0,4804361.28,0.61,0.82,0.16,6.62,0.0,4583756.39,34740.0,389673.0,408649.55,,,3800.0,0.06,,,,,3500.0,,,,0.06,3800.0,,,190.0,0.56,0.0,,,2.12,2.12,1603535.0,18862517.56,,25.59,2.15,24.31,0.3852,55.24,0.2493,15.95
2007-07-03,449357.0,5434954.16,0.67,0.92,0.18,7.27,0.0,5208391.4,34698.0,430625.0,419670.86,,,,0.65,,,,0.0,41000.0,42.0,,,0.65,,,,48.0,0.56,0.0,,,2.09,2.09,1626509.0,19672558.47,,26.29,2.09,22.03,0.4197,59.5,0.2705,16.4
2007-07-04,449518.0,5436901.45,0.67,0.94,0.18,7.32,0.0,5205416.04,35453.0,430379.0,428802.56,,,755.0,,,,,,,,,,,755.0,,,246.0,0.58,0.0,,,1.91,1.91,1821912.0,22035949.6,,29.59,1.91,22.51,0.4175,59.16,0.242,16.4
2007-07-05,450447.0,5444815.63,0.67,0.97,0.18,7.36,0.0,5214148.28,35348.0,431364.0,427271.89,,,,0.02,,,,0.0,985.0,105.0,,,0.02,,,,,0.58,,,,1.9,1.9,1821131.0,22013072.65,,29.75,1.9,22.4,0.4141,58.85,0.2426,16.39
2007-07-06,495580.0,5994019.42,0.74,1.06,0.19,8.09,0.0,5764215.21,35195.0,476580.0,425682.06,,35195.0,,0.82,0.58,,,,50208.0,,,35195.0,0.82,,,,4992.0,0.58,0.08,0.58,,1.89,1.89,1825337.0,22077374.84,35348.0,29.83,1.9,20.26,0.3572,52.24,0.2664,16.4
2007-07-09,490512.0,5939957.2,0.73,1.1,0.19,8.01,0.0,5709872.74,35195.0,471512.0,426201.18,,,,,,,,,,,,,,,,,5068.0,0.58,0.08,,,1.89,1.89,1825426.0,22105376.23,,29.95,1.89,20.49,0.3631,52.79,0.2636,16.42
2007-07-10,490576.0,5900934.38,0.73,1.08,0.19,8.01,0.0,5672391.29,35195.0,471576.0,423346.0,,,,0.0,,,,,65.0,,,,0.0,,,,,0.58,,,,1.89,1.89,1825736.0,21961017.92,,29.76,1.91,20.47,0.3631,52.79,0.2636,16.31
2007-07-11,490866.0,5864601.3,0.73,1.15,0.19,8.0,0.0,5637599.58,35195.0,471866.0,420490.81,,,,0.0,,,,,290.0,,,,0.0,,,,,0.57,,,,1.89,1.89,1824627.0,21799655.86,,29.58,1.9,20.36,0.3634,52.85,0.2639,16.2
2007-07-12,489843.0,5924630.64,0.73,1.18,0.19,7.97,0.0,5694826.43,35195.0,470843.0,425682.06,,,,,,,,,,,,,,,,,1024.0,0.57,0.02,,,1.89,1.89,1828846.0,22119816.04,,29.82,1.88,20.33,0.3648,53.06,0.2628,16.4
2007-07-13,490667.0,5999732.71,0.73,1.17,0.19,8.0,0.0,5767406.26,35195.0,471667.0,430354.18,,,,0.02,,,,,824.0,,,,0.02,,,,,0.58,,,,1.68,1.68,2062202.0,25216003.5,,33.89,1.67,20.5,0.3636,52.84,0.2339,16.58
2007-07-16,597066.0,7300748.59,0.89,1.41,0.23,9.8,0.0,7068422.14,35195.0,578066.0,430354.18,,,,0.02,,106000.0,,,400.0,,,,0.02,,1.76,,,0.58,,,,1.68,1.68,2064077.0,25238930.45,,34.07,1.68,18.52,0.2745,42.84,0.2844,16.58
2007-07-17,480019.0,6103180.52,0.71,1.12,0.19,7.89,0.0,5861605.85,35195.0,461019.0,447485.28,,,,0.01,,,,,277.0,,,,0.01,,,,117324.0,0.58,1.92,,,1.7,1.7,2038845.0,25922805.3,,34.39,1.67,23.19,0.2763,41.36,0.2314,17.24
2007-07-18,479493.0,6128318.95,0.71,1.06,0.19,7.93,0.0,5885483.16,35195.0,460493.0,449821.34,,,,,,,,,,,,,,,,,527.0,0.61,0.0,,,1.7,1.7,2040429.0,26078378.01,,34.91,1.71,23.11,0.2749,41.21,0.231,17.33
2007-07-19,478917.0,6120957.19,0.71,1.06,0.19,7.96,0.0,5878121.4,35195.0,459917.0,449821.34,,,,,,,,,,,,,,,,,576.0,0.61,0.0,,,1.7,1.7,2040471.0,26078914.81,,35.03,1.71,23.04,0.2737,41.09,0.2307,17.33
2007-07-20,495820.0,6333334.92,0.74,1.1,0.19,8.26,0.0,6090639.25,35195.0,476820.0,449561.78,,,,0.29,,,,,17000.0,,,,0.29,,,,96.0,0.61,0.0,,,1.7,1.7,2037645.0,26027768.6,,34.97,1.71,22.15,0.261,39.58,0.2392,17.32
2007-07-23,410334.0,5226252.25,0.61,0.93,0.16,6.83,0.0,4984257.21,35195.0,391334.0,448263.97,,,,0.33,,,,,20514.0,,,,0.33,,,,106000.0,0.61,1.76,,,1.7,1.7,2037785.0,25954413.82,,34.92,1.72,23.96,0.3612,52.42,0.1979,17.27
2007-07-24,410107.0,5111453.48,0.61,0.92,0.16,6.83,0.0,4874643.05,35195.0,391107.0,438660.17,,,,,,,,,,,,,,,,,228.0,0.61,0.0,,,1.7,1.7,2036801.0,25386090.87,,34.46,1.73,23.91,0.3614,52.46,0.1979,16.9
2007-07-25,408311.0,4968617.34,0.61,0.91,0.16,6.79,0.0,4737411.88,35195.0,389311.0,428277.68,,,,,,,,,,,,,,,,,1796.0,0.59,0.03,,,1.71,1.71,2028942.0,24689602.77,,33.75,1.73,23.52,0.3627,52.73,0.1978,16.5
2007-07-26,406598.0,4809834.44,0.6,0.89,0.16,6.73,0.0,4585074.72,35195.0,387598.0,416337.82,,,,,,,,,,,,,,,,,1713.0,0.58,0.04,,,1.71,1.71,2025218.0,23957233.66,,33.0,1.73,23.14,0.3653,53.14,0.1973,16.04
2007-07-27,404534.0,4779451.58,0.6,0.88,0.16,6.67,0.0,4554972.11,35195.0,385534.0,415818.69,,,,,,,,,,,,,,,,,2064.0,0.56,0.04,,,1.72,1.72,2006766.0,23709356.79,,32.46,1.71,22.68,0.3681,53.58,0.1981,16.02
2007-07-30,404724.0,4805575.01,0.6,0.93,0.16,6.65,0.0,4579974.54,35195.0,385724.0,417895.19,,,,0.0,,,,,190.0,,,,0.0,,,,,0.56,,,,1.74,1.74,1993201.0,23666688.71,,32.24,1.72,22.72,0.3697,53.74,0.1995,16.1
2007-07-31,406255.0,4841730.38,0.6,0.97,0.16,6.59,0.0,4615277.25,35195.0,387254.0,419452.56,,,,0.01,,,,,1531.0,,,,0.01,,,,,0.57,,,,1.74,1.74,1986935.0,23680209.62,,32.17,1.73,23.06,0.3745,54.28,0.2009,16.16
