,MLFXO FP Equity_PX_LAST
2014-01-15,6.0
2014-01-20,5.99
2014-01-23,6.0
2014-01-28,5.98
2014-02-03,6.0
2014-02-07,5.62
2014-02-10,5.98
2014-02-14,5.5
2014-02-17,5.9
2014-02-18,5.45
2014-02-21,5.5
2014-02-24,5.6
2014-02-25,5.75
2014-02-28,5.89
2014-03-04,7.0
2014-03-05,7.23
2014-03-06,7.9
2014-03-07,7.9
2014-03-11,7.9
2014-03-13,8.5
2014-03-14,8.18
2014-03-20,7.9
2014-03-28,8.08
2014-03-31,8.5
2014-04-01,7.65
2014-04-02,7.7
2014-04-03,7.45
2014-04-07,7.45
2014-04-09,7.2
2014-04-11,7.9
2014-04-14,8.38
2014-04-16,8.25
2014-04-22,8.25
2014-04-25,8.38
2014-04-28,8.38
2014-05-07,8.25
2014-05-08,8.25
2014-05-13,8.0
2014-05-16,8.0
2014-05-19,8.0
2014-05-26,7.2
2014-05-28,7.01
2014-06-02,7.2
2014-06-11,6.41
2014-06-16,6.45
2014-06-19,6.41
2014-06-20,5.77
2014-06-23,6.3
2014-06-24,6.5
2014-06-25,6.48
2014-06-30,6.0
2014-07-01,5.4
2014-07-02,5.4
2014-07-03,5.94
2014-07-04,6.15
2014-07-08,6.6
2014-07-09,6.8
2014-07-10,6.8
2014-07-17,6.0
2014-07-30,5.99
2014-08-04,6.0
2014-08-06,6.5
2014-08-07,7.0
2014-08-08,7.0
2014-08-12,5.7
2014-08-14,6.89
2014-08-20,8.19
2014-09-05,8.0
2014-09-25,6.5
2014-09-26,6.51
2014-10-02,6.3
2014-10-06,6.0
2014-10-07,6.0
2014-10-09,5.9
2014-10-13,5.8
2014-10-14,5.81
2014-10-20,5.9
2014-10-22,5.0
2014-10-27,5.0
2014-10-28,5.0
2014-10-29,5.5
2014-10-30,5.4
2014-10-31,5.4
2014-11-03,5.93
2014-11-04,5.4
2014-11-06,5.4
2014-11-07,5.9
2014-11-26,5.75
2014-11-27,5.9
2014-11-28,5.91
2014-12-03,5.89
2014-12-04,5.89
2014-12-08,5.89
2014-12-18,5.31
2014-12-22,5.6
2014-12-23,5.9
2015-01-12,5.85
2015-01-13,6.0
2015-01-15,6.0
2015-01-19,5.5
2015-01-23,8.0
2015-01-26,8.0
2015-01-27,8.0
2015-01-28,7.51
2015-01-30,6.9
2015-02-02,6.9
2015-02-04,6.9
2015-02-06,6.9
2015-03-06,6.9
2015-03-09,6.95
2015-03-10,6.95
2015-03-13,6.85
2015-03-16,6.81
2015-03-19,6.81
2015-03-23,6.8
2015-03-25,6.3
2015-03-26,6.81
2015-04-07,6.8
2015-04-08,6.12
2015-04-13,6.8
2015-04-14,6.8
2015-04-15,6.21
2015-04-20,6.62
2015-04-22,6.62
2015-04-28,6.8
2015-04-29,7.4
2015-04-30,7.4
2015-05-04,8.0
2015-05-12,8.0
2015-05-13,7.31
2015-05-14,8.0
2015-05-21,8.1
2015-05-25,8.0
2015-06-04,7.5
2015-06-08,7.5
2015-06-15,8.0
2015-06-18,8.7
2015-06-19,8.7
2015-06-23,8.7
2015-06-24,8.99
2015-07-09,8.1
2015-07-10,8.1
2015-07-13,8.1
2015-07-14,8.1
2015-07-17,8.1
2015-07-21,8.1
2015-07-22,8.88
2015-07-28,7.99
2015-07-29,8.0
2015-07-30,8.0
2015-08-06,7.2
2015-08-07,7.5
2015-08-10,7.5
2015-08-11,7.5
2015-08-18,7.5
2015-08-19,7.8
2015-08-21,7.3
2015-08-24,7.2
2015-09-18,6.5
2015-09-21,6.5
2015-09-22,7.1
2015-09-28,7.0
2015-10-01,7.7
2015-10-02,6.95
2015-10-06,8.2
2015-10-09,8.0
2015-10-12,8.0
2015-10-14,6.49
2015-10-15,7.13
2015-10-19,6.5
2015-10-30,7.85
2015-11-02,7.1
2015-11-06,7.8
2015-11-12,7.1
2015-11-13,7.0
2015-12-21,7.2
2015-12-24,7.0
2016-01-21,7.0
2016-01-26,6.3
2016-01-27,6.3
2016-02-05,6.0
2016-02-09,5.99
2016-02-17,5.94
2016-02-25,6.5
2016-03-02,6.0
2016-03-03,6.5
2016-03-09,6.5
2016-03-10,6.5
2016-03-14,6.5
2016-03-15,6.0
2016-03-16,6.5
2016-04-06,6.0
2016-04-07,6.5
2016-04-12,5.9
2016-04-13,6.49
2016-04-26,6.11
2016-04-27,6.5
2016-05-03,6.49
2016-05-09,6.4
2016-05-13,6.4
2016-06-02,6.5
2016-06-03,5.9
2016-06-08,5.9
2016-06-10,6.49
2016-06-16,6.0
2016-06-27,6.0
2016-07-11,5.5
2016-07-12,5.9
2016-07-13,5.9
2016-07-25,5.5
2016-07-26,5.8
2016-07-29,5.54
2016-08-04,5.24
2016-08-05,5.23
2016-08-10,5.23
2016-08-17,5.15
2016-08-18,4.7
2016-08-25,4.7
2016-09-02,4.7
2016-09-05,4.7
2016-09-09,4.7
2016-09-14,5.12
2016-09-15,5.12
2016-09-20,5.12
2016-09-23,5.49
2016-10-06,5.0
2016-10-07,4.99
2016-10-11,4.5
2016-10-17,4.5
2016-10-18,4.4
2016-10-20,4.2
2016-10-31,4.19
2016-11-17,4.92
2016-12-01,4.43
2016-12-02,4.87
2016-12-09,4.82
2016-12-13,4.5
2016-12-19,4.5
2016-12-23,4.5
2016-12-27,4.5
2016-12-29,4.5
2017-01-06,4.5
2017-01-20,4.05
2017-01-24,4.01
2017-01-25,4.01
2017-01-27,4.01
2017-01-30,4.01
2017-02-01,4.01
2017-02-02,4.0
2017-02-03,4.3
2017-02-06,4.39
2017-02-08,3.96
2017-02-10,4.7
2017-02-17,4.5
2017-02-22,4.5
2017-02-24,4.5
2017-03-03,4.0
2017-03-06,4.0
2017-03-07,3.99
2017-03-08,4.38
2017-03-09,4.38
2017-03-14,4.0
2017-03-15,4.0
2017-03-16,4.0
2017-03-23,4.0
2017-03-28,4.0
2017-04-04,3.61
2017-04-05,3.9
2017-04-07,4.0
2017-04-18,4.0
2017-04-21,3.99
2017-04-24,4.0
2017-04-25,4.0
2017-04-26,3.8
2017-04-27,4.0
2017-05-17,3.5
2017-05-19,4.0
2017-05-22,4.0
2017-06-05,3.99
2017-06-07,4.0
2017-06-09,4.0
2017-06-20,4.0
2017-06-21,4.0
2017-06-26,4.0
2017-07-10,3.98
2017-07-20,3.98
2017-07-21,3.98
2017-08-01,4.0
2017-08-02,3.98
2017-08-04,4.0
2017-08-08,3.97
2017-08-11,4.0
2017-08-17,4.0
2017-08-18,4.0
2017-09-04,4.2
2017-09-07,4.2
2017-09-13,4.21
2017-09-25,4.21
2017-09-29,4.21
2017-10-05,4.21
2017-11-01,3.79
2017-11-02,3.42
2017-11-03,4.2
2017-11-07,3.78
2017-11-08,4.15
2017-11-09,4.18
2017-11-13,4.15
2017-11-14,3.79
2017-11-15,4.15
2017-11-20,4.15
2017-11-22,4.15
2017-11-24,4.07
2017-12-04,4.01
2017-12-06,4.0
2017-12-11,4.01
2017-12-13,4.0
2017-12-21,4.0
2017-12-27,4.19
2018-01-02,4.18
2018-01-11,4.1
2018-01-17,4.1
2018-01-22,4.1
2018-01-26,4.1
2018-02-01,3.6
2018-02-02,4.0
2018-02-13,4.0
2018-02-22,2.9
2018-02-23,3.6
2018-02-26,3.6
2018-02-27,4.1
2018-03-05,4.1
2018-03-07,4.1
2018-03-12,4.1
2018-03-20,3.7
2018-03-21,4.1
2018-03-22,4.18
2018-03-27,4.48
2018-03-29,4.4
2018-04-03,4.5
2018-04-06,4.5
2018-04-18,4.5
2018-04-23,4.5
2018-04-24,4.5
2018-04-30,4.94
2018-05-02,4.94
2018-05-04,4.5
2018-05-07,4.5
2018-05-24,4.48
2018-05-29,4.5
2018-05-30,4.5
2018-05-31,4.5
2018-06-04,4.5
2018-06-18,4.5
2018-06-20,4.5
2018-06-27,8.0
2018-07-04,7.85
2018-07-13,4.68
2018-07-25,4.7
2022-11-28,4.7
2022-11-29,4.7
2022-11-30,4.7
2022-12-01,4.7
2022-12-02,4.7
2022-12-05,4.7
2022-12-06,4.7
2022-12-07,4.7
2022-12-08,4.7
2022-12-09,4.7
2022-12-12,4.7
2022-12-13,4.7
2022-12-14,4.7
2022-12-15,4.7
2022-12-16,4.7
2022-12-19,4.7
2022-12-20,4.7
2022-12-21,4.7
2022-12-22,4.7
2022-12-23,4.7
2022-12-27,4.7
2022-12-28,4.7
2022-12-29,4.7
2022-12-30,4.7
2023-01-02,4.7
2023-01-03,4.7
2023-01-04,4.7
2023-01-05,4.7
2023-01-06,4.7
2023-01-09,4.7
2023-01-10,4.7
2023-01-11,4.7
2023-01-12,4.7
2023-01-13,4.7
2023-01-16,4.7
2023-01-17,4.7
2023-01-18,4.7
2023-01-19,4.7
2023-01-20,4.7
2023-01-23,4.7
2023-01-24,4.7
2023-01-25,4.7
2023-01-26,4.7
2023-01-27,4.7
2023-01-30,4.7
2023-01-31,4.7
2023-02-01,4.7
2023-02-02,4.7
2023-02-03,4.7
2023-02-06,4.7
2023-02-07,4.7
2023-02-08,4.7
2023-02-09,4.7
2023-02-10,4.7
2023-02-13,4.7
2023-02-14,4.7
2023-02-15,4.7
2023-02-16,4.7
2023-02-17,4.7
2023-02-20,4.7
2023-02-21,4.7
2023-02-22,4.7
2023-02-23,4.7
2023-02-24,4.7
2023-02-27,4.7
2023-02-28,4.7
2023-03-01,4.7
2023-03-02,4.7
2023-03-03,4.7
2023-03-06,4.7
2023-03-07,4.7
2023-03-08,4.7
2023-03-09,4.7
2023-03-10,4.7
2023-03-13,4.7
2023-03-14,4.7
2023-03-15,4.7
2023-03-16,4.7
2023-03-17,4.7
2023-03-20,4.7
2023-03-21,4.7
2023-03-22,4.7
2023-03-23,4.7
2023-03-24,4.7
2023-03-27,4.7
2023-03-28,4.7
2023-03-29,4.7
2023-03-30,4.7
2023-03-31,4.7
2023-04-03,4.7
2023-04-04,4.7
2023-04-05,4.7
2023-04-06,4.7
2023-04-11,4.7
2023-04-12,4.7
2023-04-13,4.7
2023-04-14,4.7
2023-04-17,4.7
2023-04-18,4.7
2023-04-19,4.7
2023-04-20,4.7
2023-04-21,4.7
2023-04-24,4.7
2023-04-25,4.7
2023-04-26,4.7
2023-04-27,4.7
2023-04-28,4.7
2023-05-02,4.7
2023-05-03,4.7
2023-05-04,4.7
2023-05-05,4.7
2023-05-08,4.7
2023-05-09,4.7
2023-05-10,4.7
2023-05-11,4.7
2023-05-12,4.7
2023-05-15,4.7
2023-05-16,4.7
2023-05-17,4.7
2023-05-18,4.7
2023-05-19,4.7
2023-05-22,4.7
2023-05-23,4.7
2023-05-24,4.7
2023-05-25,4.7
2023-05-26,4.7
2023-05-29,4.7
2023-05-30,4.7
2023-05-31,4.7
2023-06-01,4.7
2023-06-02,4.7
2023-06-05,4.7
2023-06-06,4.7
2023-06-07,4.7
2023-06-08,4.7
2023-06-09,4.7
2023-06-12,4.7
2023-06-13,4.7
2023-06-14,4.7
2023-06-15,4.7
2023-06-16,4.7
2023-06-19,4.7
2023-06-20,4.7
2023-06-21,4.7
2023-06-22,4.7
2023-06-23,4.7
2023-06-26,4.7
2023-06-27,4.7
2023-06-28,4.7
2023-06-29,4.7
2023-06-30,4.7
2023-07-03,4.7
2023-07-04,4.7
2023-07-05,4.7
2023-07-06,4.7
2023-07-07,4.7
2023-07-10,4.7
2023-07-11,4.7
2023-07-12,4.7
2023-07-13,4.7
2023-07-14,4.7
2023-07-17,4.7
2023-07-18,4.7
2023-07-19,4.7
2023-07-20,4.7
2023-07-21,4.7
2023-07-24,4.7
2023-07-25,4.7
2023-07-26,4.7
2023-07-27,4.7
2023-07-28,4.7
2023-07-31,4.7
2023-08-01,4.7
2023-08-02,4.7
2023-08-03,4.7
2023-08-04,4.7
2023-08-07,4.7
2023-08-08,4.7
2023-08-09,4.7
2023-08-10,4.7
2023-08-11,4.7
2023-08-14,4.7
2023-08-15,4.7
2023-08-16,4.7
2023-08-17,4.7
2023-08-18,4.7
2023-08-21,4.7
2023-08-22,4.7
2023-08-23,4.7
2023-08-24,4.7
2023-08-25,4.7
2023-08-28,4.7
2023-08-29,4.7
2023-08-30,4.7
2023-08-31,4.7
2023-09-01,4.7
2023-09-04,4.7
2023-09-05,4.7
2023-09-06,4.7
2023-09-07,4.7
2023-09-08,4.7
2023-09-11,4.7
2023-09-12,4.7
2023-09-13,4.7
2023-09-14,4.7
2023-09-15,4.7
2023-09-18,4.7
2023-09-19,4.7
2023-09-20,4.7
2023-09-21,4.7
2023-09-22,4.7
2023-09-25,4.7
2023-09-26,4.7
2023-09-27,4.7
2023-09-28,4.7
2023-09-29,4.7
2023-10-02,4.7
2023-10-03,4.7
2023-10-04,4.7
2023-10-05,4.7
2023-10-06,4.7
2023-10-09,4.7
2023-10-10,4.7
2023-10-11,4.7
2023-10-12,4.7
2023-10-13,4.7
2023-10-16,4.7
2023-10-17,4.7
2023-10-18,4.7
2023-10-19,4.7
2023-10-20,4.7
2023-10-23,4.7
2023-10-24,4.7
2023-10-25,4.7
2023-10-26,4.7
2023-10-27,4.7
2023-10-30,4.7
2023-10-31,4.7
2023-11-01,4.7
2023-11-02,4.7
2023-11-03,4.7
2023-11-06,4.7
2023-11-07,4.7
2023-11-08,4.7
2023-11-09,4.7
2023-11-10,4.7
2023-11-13,4.7
2023-11-14,4.7
2023-11-15,4.7
2023-11-16,4.7
2023-11-17,4.7
2023-11-20,4.7
2023-11-21,4.7
2023-11-22,4.7
2023-11-23,4.7
2023-11-24,4.7
2023-11-27,4.7
2023-11-28,4.7
2023-11-29,4.7
2023-11-30,4.7
2023-12-01,4.7
2023-12-04,4.7
2023-12-05,4.7
2023-12-06,4.7
2023-12-07,4.7
2023-12-08,4.7
2023-12-11,4.7
2023-12-12,4.7
2023-12-13,4.7
2023-12-14,4.7
2023-12-15,4.7
2023-12-18,4.7
2023-12-19,4.7
2023-12-20,4.7
2023-12-21,4.7
2023-12-22,4.7
2023-12-27,4.7
2023-12-28,3.86
2023-12-29,3.86
2024-01-02,3.86
2024-01-03,3.86
2024-01-04,3.1
2024-01-05,3.1
2024-01-08,3.1
2024-01-09,3.1
2024-01-10,3.1
2024-01-11,3.1
2024-01-12,2.82
2024-01-15,2.82
2024-01-16,2.52
2024-01-17,2.52
2024-01-18,2.52
2024-01-19,2.52
2024-01-22,2.52
2024-01-23,2.52
2024-01-24,2.52
2024-01-25,2.52
2024-01-26,2.52
2024-01-29,2.52
2024-01-30,2.52
2024-01-31,2.52
2024-02-01,2.52
2024-02-02,2.52
2024-02-05,2.52
2024-02-06,2.52
2024-02-07,2.52
2024-02-08,2.52
2024-02-09,2.52
2024-02-12,2.52
2024-02-13,2.52
2024-02-14,0.7
2024-02-15,0.7
2024-02-16,0.545
2024-02-19,0.55
2024-02-20,0.55
2024-02-21,0.55
2024-02-22,0.55
2024-02-23,0.498
2024-02-26,0.5
2024-02-27,0.5
2024-02-28,0.5
2024-02-29,0.5
2024-03-01,0.54
2024-03-04,0.54
2024-03-05,0.54
2024-03-06,0.53
2024-03-07,0.53
2024-03-08,0.5
2024-03-11,0.5
2024-03-12,0.5
2024-03-13,0.5
2024-03-14,0.5
2024-03-15,0.5
2024-03-18,0.5
2024-03-19,0.5
2024-03-20,0.5
2024-03-21,0.5
2024-03-22,0.492
2024-03-25,0.5
2024-03-26,0.5
2024-03-27,0.496
2024-03-28,0.492
2024-04-02,0.496
2024-04-03,0.496
2024-04-04,0.496
2024-04-05,0.496
2024-04-08,0.492
2024-04-09,0.496
2024-04-10,0.492
2024-04-11,0.492
2024-04-12,0.492
2024-04-15,0.496
2024-04-16,0.494
2024-04-17,0.494
2024-04-18,0.494
2024-04-19,0.494
2024-04-22,0.494
2024-04-23,0.494
2024-04-24,0.472
2024-04-25,0.47
2024-04-26,0.472
2024-04-29,0.472
2024-04-30,0.47
2024-05-02,0.472
2024-05-03,0.472
2024-05-06,0.472
2024-05-07,0.5
2024-05-08,0.5
2024-05-09,0.5
2024-05-10,0.5
2024-05-13,0.5
2024-05-14,0.45
2024-05-15,0.45
2024-05-16,0.45
2024-05-17,0.448
2024-05-20,0.448
2024-05-21,0.448
2024-05-22,0.448
2024-05-23,0.448
2024-05-24,0.448
2024-05-27,0.46
2024-05-28,0.46
2024-05-29,0.48
2024-05-30,0.48
2024-05-31,0.54
2024-06-03,0.492
2024-06-04,0.5
2024-06-05,0.5
2024-06-06,0.6
2024-06-07,0.61
2024-06-10,0.6
2024-06-11,0.6
2024-06-12,0.6
2024-06-13,0.6
2024-06-14,0.6
2024-06-17,0.6
2024-06-18,0.6
2024-06-19,0.6
2024-06-20,0.6
2024-06-21,0.6
2024-06-24,0.6
2024-06-25,0.605
2024-06-26,0.605
2024-06-27,0.605
2024-06-28,0.605
2024-07-01,0.63
2024-07-02,0.61
2024-07-03,0.61
2024-07-04,0.61
2024-07-05,0.61
2024-07-08,0.6
2024-07-09,0.6
2024-07-10,0.6
2024-07-11,0.6
2024-07-12,0.6
2024-07-15,0.6
2024-07-16,0.6
2024-07-17,0.6
2024-07-18,0.6
2024-07-19,0.6
2024-07-22,0.6
2024-07-23,0.6
2024-07-24,0.6
2024-07-25,0.6
2024-07-26,0.6
2024-07-29,0.6
2024-07-30,0.6
2024-07-31,0.6
2024-08-01,0.605
2024-08-02,0.605
2024-08-05,0.605
2024-08-06,0.605
2024-08-07,0.605
2024-08-08,0.605
2024-08-09,0.605
2024-08-12,0.605
2024-08-13,0.605
2024-08-14,0.605
2024-08-15,0.605
2024-08-16,0.605
2024-08-19,0.605
2024-08-20,0.605
2024-08-21,0.605
2024-08-22,0.605
2024-08-23,0.605
2024-08-26,0.605
2024-08-27,0.605
2024-08-28,0.605
2024-08-29,0.605
2024-08-30,0.605
2024-09-02,0.605
2024-09-03,0.605
2024-09-04,0.605
2024-09-05,0.605
2024-09-06,0.605
2024-09-09,0.605
2024-09-10,0.605
2024-09-11,0.605
2024-09-12,0.605
2024-09-13,0.605
2024-09-16,0.605
2024-09-17,0.605
2024-09-18,0.605
2024-09-19,0.605
2024-09-20,0.605
2024-09-23,0.605
2024-09-24,0.605
2024-09-25,0.605
2024-09-26,0.605
2024-09-27,0.605
2024-09-30,0.605
2024-10-01,0.605
2024-10-02,0.605
2024-10-03,0.605
2024-10-04,0.605
2024-10-07,0.91
2024-10-08,0.76
2024-10-09,0.91
2024-10-10,0.91
2024-10-11,0.91
2024-10-14,0.69
2024-10-15,0.69
2024-10-16,0.69
2024-10-17,0.69
2024-10-18,0.69
2024-10-21,0.61
2024-10-22,0.61
2024-10-23,0.61
2024-10-24,0.61
2024-10-25,0.625
2024-10-28,0.625
2024-10-29,0.625
2024-10-30,0.625
2024-10-31,0.625
2024-11-01,0.625
2024-11-04,0.625
2024-11-05,0.625
2024-11-06,0.625
2024-11-07,0.625
2024-11-08,0.625
2024-11-11,0.625
2024-11-12,0.625
2024-11-13,0.625
2024-11-14,0.625
2024-11-15,0.625
2024-11-18,0.625
2024-11-19,0.625
2024-11-20,0.625
2024-11-21,0.625
2024-11-22,0.625
2024-11-25,0.625
2024-11-26,0.625
2024-11-27,0.625
2024-11-28,0.625
2024-11-29,0.625
2024-12-02,0.63
2024-12-03,0.625
2024-12-04,0.625
2024-12-05,0.625
2024-12-06,0.625
2024-12-09,0.625
2024-12-10,0.625
2024-12-11,0.625
2024-12-12,0.625
2024-12-13,0.625
2024-12-16,0.625
2024-12-17,0.625
2024-12-18,0.625
2024-12-19,0.625
2024-12-20,0.625
2024-12-23,0.625
2024-12-24,0.625
2024-12-27,0.625
2024-12-30,0.625
2024-12-31,0.625
2025-01-02,0.625
2025-01-03,0.895
2025-01-06,0.93
2025-01-07,0.93
2025-01-08,0.93
2025-01-09,0.95
2025-01-10,0.95
2025-01-13,0.95
2025-01-14,0.95
2025-01-15,0.86
2025-01-16,0.805
2025-01-17,0.73
2025-01-20,0.68
2025-01-21,0.68
2025-01-22,0.68
2025-01-23,0.68
2025-01-24,0.655
2025-01-27,0.63
2025-01-28,0.63
2025-01-29,0.63
2025-01-30,0.63
2025-01-31,0.63
2025-02-03,0.63
2025-02-04,0.63
2025-02-05,0.63
2025-02-06,0.63
2025-02-07,0.63
2025-02-10,0.63
2025-02-11,0.63
2025-02-12,0.63
2025-02-13,0.63
2025-02-14,0.63
2025-02-17,0.72
2025-02-18,0.69
2025-02-19,0.69
2025-02-20,0.705
2025-02-21,0.705
2025-02-24,0.7
2025-02-25,0.75
2025-02-26,0.77
2025-02-27,0.85
2025-02-28,0.9
2025-03-03,0.92
2025-03-04,0.95
2025-03-05,0.95
2025-03-06,1.04
2025-03-07,1.04
2025-03-10,1.04
2025-03-11,1.1
2025-03-12,1.1
2025-03-13,1.1
2025-03-14,1.15
2025-03-17,1.15
2025-03-18,1.15
2025-03-19,1.15
2025-03-20,1.15
2025-03-21,1.15
2025-03-24,1.15
2025-03-25,1.15
2025-03-26,1.15
2025-03-27,1.15
2025-03-28,1.15
2025-03-31,1.27
2025-04-01,1.39
2025-04-02,1.5
2025-04-03,1.5
2025-04-04,1.5
2025-04-07,1.65
2025-04-08,1.73
2025-04-09,1.79
2025-04-10,1.95
2025-04-11,1.8
2025-04-14,1.71
2025-04-15,1.64
2025-04-16,1.64
2025-04-17,1.64
2025-04-22,1.77
2025-04-23,1.89
2025-04-24,1.89
2025-04-25,2.26
2025-04-28,2.42
2025-04-29,2.42
2025-04-30,2.64
2025-05-02,2.64
2025-05-05,2.64
2025-05-06,2.64
2025-05-07,2.64
2025-05-08,3.9
2025-05-09,3.9
2025-05-12,3.74
2025-05-13,3.0
2025-05-14,3.0
2025-05-15,3.0
2025-05-16,3.0
2025-05-19,2.98
2025-05-20,2.7
2025-05-21,2.7
2025-05-22,2.5
2025-05-23,2.4
2025-05-26,2.5
2025-05-27,2.5
2025-05-28,2.5
2025-05-29,2.5
2025-05-30,2.46
2025-06-02,2.42
2025-06-03,2.42
2025-06-04,2.42
2025-06-05,2.42
2025-06-06,2.44
2025-06-09,2.44
2025-06-10,3.0
2025-06-11,3.2
2025-06-12,3.2
2025-06-13,3.2
2025-06-16,3.0
2025-06-17,3.0
2025-06-18,3.0
2025-06-19,3.0
2025-06-20,3.0
2025-06-23,3.0
2025-06-24,3.9
2025-06-25,4.2
2025-06-26,4.0
2025-06-27,3.9
2025-06-30,4.2
2025-07-01,4.16
2025-07-02,4.16
2025-07-03,4.64
2025-07-04,4.68
2025-07-07,4.68
2025-07-08,5.2
2025-07-09,5.2
2025-07-10,5.2
2025-07-11,5.2
2025-07-14,5.2
2025-07-15,5.5
2025-07-16,5.6
2025-07-17,5.3
2025-07-18,5.1
2025-07-21,5.05
2025-07-22,5.1
2025-07-23,5.0
2025-07-24,5.0
2025-07-25,5.0
2025-07-28,5.0
2025-07-29,5.0
2025-07-30,4.6
2025-07-31,4.6
2025-08-01,4.6
2025-08-04,4.54
2025-08-05,4.2
2025-08-06,4.2
2025-08-07,4.2
2025-08-08,4.48
2025-08-11,4.54
2025-08-12,4.54
2025-08-13,4.98
2025-08-14,4.98
2025-08-15,4.54
2025-08-18,4.54
2025-08-19,5.0
2025-08-20,5.0
2025-08-21,5.0
2025-08-22,5.0
2025-08-25,5.0
2025-08-26,4.52
2025-08-27,4.12
2025-08-28,4.94
2025-08-29,4.94
