,ALLUX FP Equity_DX_SI_QTY,ALLUX FP Equity_DX_SHORT_INTEREST_VALUE,ALLUX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALLUX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALLUX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALLUX FP Equity_DX_SI_MV,ALLUX FP Equity_DX_DSS,ALLUX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALLUX FP Equity_DX_SUPPLY_SI_QTY,ALLUX FP Equity_DX_BROKER_SI_QTY,ALLUX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALLUX FP Equity_DX_BROKER_SI_QTY_ADD,ALLUX FP Equity_DX_SUPPLY_SI_MV_DEC,ALLUX FP Equity_DX_SUPPLY_SI_QTY_DEC,ALLUX FP Equity_DX_BROKER_SI_MV_ADD,ALLUX FP Equity_DX_SUPPLY_SI_QTY_ADD,ALLUX FP Equity_DX_BROKER_SI_QTY_DEC,ALLUX FP Equity_DX_SUPPLY_SI_MV,ALLUX FP Equity_DX_BROKER_SI_MV_DEC,ALLUX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALLUX FP Equity_DX_UTILIZATION_QUANTITY,ALLUX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALLUX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALLUX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALLUX FP Equity_DX_ACTIVE_UTILIZATION_MV,ALLUX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALLUX FP Equity_DX_BROKER_SI_CON_RATIO,ALLUX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALLUX FP Equity_DX_DEMAND_SUPPLY_RATIO,ALLUX FP Equity_PX_LAST
1990-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.33
1990-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.48
1990-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.48
1990-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.33
1990-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.94
1990-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.18
1990-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.33
1990-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.33
1990-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.81
1990-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.81
1990-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.81
1990-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2
1990-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.65
1990-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.65
1990-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.04
1990-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.89
1990-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.28
1990-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.28
1990-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.13
1990-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.28
1990-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.13
1990-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.13
1990-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.52
1990-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.23
1990-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.64
1990-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.79
1990-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94
1990-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.71
1990-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.23
1990-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99
1990-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.23
1990-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94
1990-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47
1990-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.76
1990-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.69
1990-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94
1990-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.18
1990-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.18
1990-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94
1990-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94
1990-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47
1990-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47
1990-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.93
1990-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47
1990-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47
1990-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47
1990-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47
1990-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.23
1990-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99
1990-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.54
1990-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.54
1990-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.52
1990-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99
1990-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.71
1990-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.06
1990-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.57
1990-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.67
1990-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99
1990-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99
1990-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99
1990-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.52
1990-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99
1990-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99
1990-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99
1990-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.15
1990-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.15
1990-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99
1990-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.15
1990-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.99
1990-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47
1990-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1990-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1990-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1990-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1990-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1990-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94
1990-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96
1990-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.52
1990-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9
1990-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1990-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1990-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47
1990-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47
1990-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.47
1990-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94
1990-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94
1990-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94
1990-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94
1990-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94
1990-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94
1990-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2
1990-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1990-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.42
1990-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9
1990-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.37
1990-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.37
1990-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.85
1990-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.26
1990-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.26
1990-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.8
1990-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.8
1990-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.8
1990-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.36
1990-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.94
1990-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.98
1990-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.85
1990-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.13
1990-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.13
1990-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6
1990-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6
1990-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6
1990-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.36
1990-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.13
1990-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.13
1990-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.36
1990-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6
1990-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.36
1990-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.21
1990-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.21
1990-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.21
1990-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.75
1990-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.08
1990-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55
1990-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.08
1990-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.32
1990-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55
1990-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55
1990-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.27
1990-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03
1990-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03
1990-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.08
1990-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55
1990-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.42
1990-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.42
1990-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.42
1990-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.88
1990-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.94
1990-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.08
1990-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.77
1990-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.08
1990-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.77
1990-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.79
1990-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.79
1990-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.84
1990-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.82
1990-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.13
1990-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.36
1990-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.36
1990-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.36
1990-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.36
1990-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.36
1990-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6
1990-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.69
1990-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.97
1990-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55
1990-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.23
1990-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5
1990-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.95
1990-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.15
1990-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.46
1990-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.98
1990-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.98
1990-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.98
1990-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2
1990-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2
1990-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03
1990-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55
1990-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55
1990-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55
1990-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03
1990-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03
1990-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03
1990-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03
1990-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.81
1990-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03
1990-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.74
1990-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2
1990-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2
1990-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2
1990-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03
1990-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03
1990-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2
1990-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.35
1990-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03
1990-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.12
1991-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.35
1991-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.74
1991-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.28
1991-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.28
1991-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.72
1991-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.72
1991-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.11
1991-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.72
1991-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5
1991-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.74
1991-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.27
1991-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55
1991-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55
1991-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55
1991-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03
1991-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5
1991-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.89
1991-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.94
1991-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.94
1991-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96
1991-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.94
1991-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.94
1991-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.71
1991-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.71
1991-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6
1991-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.75
1991-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5
1991-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5
1991-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22
1991-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22
