,PARRO FP Equity_DX_SI_QTY,PARRO FP Equity_DX_SHORT_INTEREST_VALUE,PARRO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PARRO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PARRO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PARRO FP Equity_DX_SI_MV,PARRO FP Equity_DX_DSS,PARRO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PARRO FP Equity_DX_SUPPLY_SI_QTY,PARRO FP Equity_DX_BROKER_SI_QTY,PARRO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PARRO FP Equity_DX_BROKER_SI_MV_NEW_x,PARRO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,PARRO FP Equity_DX_SUPPLY_SI_QTY_INC_x,PARRO FP Equity_DX_BROKER_SI_MV_INC_x,PARRO FP Equity_DX_SUPPLY_SI_MV_NEW,PARRO FP Equity_DX_BROKER_SI_QTY_ADD,PARRO FP Equity_DX_BROKER_SI_QTY_NEW,PARRO FP Equity_DX_SUPPLY_SI_MV_DEC,PARRO FP Equity_DX_BROKER_SI_QTY_INC,PARRO FP Equity_DX_SUPPLY_SI_QTY_DEC,PARRO FP Equity_DX_BROKER_SI_MV_NEW_y,PARRO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,PARRO FP Equity_DX_BROKER_SI_MV_INC_y,PARRO FP Equity_DX_SUPPLY_SI_QTY_INC_y,PARRO FP Equity_DX_BROKER_SI_MV_ADD,PARRO FP Equity_DX_SUPPLY_SI_QTY_ADD,PARRO FP Equity_DX_BROKER_SI_QTY_DEC,PARRO FP Equity_DX_SUPPLY_SI_MV,PARRO FP Equity_DX_BROKER_SI_MV_DEC,PARRO FP Equity_DX_SUPPLY_SI_MV_RMV,PARRO FP Equity_DX_BROKER_SI_MV_RMV,PARRO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PARRO FP Equity_DX_UTILIZATION_QUANTITY,PARRO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PARRO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PARRO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PARRO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PARRO FP Equity_DX_ACTIVE_UTILIZATION_MV,PARRO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PARRO FP Equity_DX_BROKER_SI_CON_RATIO,PARRO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PARRO FP Equity_DX_DEMAND_SUPPLY_RATIO,PARRO FP Equity_PX_LAST
2009-01-09,138027.0,728782.56,1.96,6.82,1.03,0.84,1.0,675982.56,48856.0,128027.0,257959.68,,,,,,,,,,,,,,,,,,0.26,,,,14.96,10.1,277804.0,1466805.12,,1.47,14.93,25.67,0.3074,46.32,0.2853,5.28
2009-01-12,138027.0,730162.83,1.96,7.16,1.03,0.85,1.0,677262.83,48856.0,128027.0,258448.24,,,,,,,,,,,,,,,,,,0.26,,,,12.97,8.96,327804.0,1734083.16,,1.73,12.97,25.19,0.3049,46.15,0.253,5.29
2009-01-13,138027.0,741204.99,1.96,7.58,1.03,0.86,1.0,687504.99,48856.0,128027.0,262356.72,,,,,,,,,,,,,,,,,,0.26,,,,12.97,8.96,327804.0,1760307.48,,1.76,12.94,25.36,0.3018,45.66,0.253,5.37
2009-01-14,138027.0,731543.1,1.96,7.84,1.03,0.86,1.0,678543.1,48856.0,128027.0,258936.8,,,,,,,,,,,,,,,,,,0.26,,,,8.96,8.96,496280.0,2630284.0,,2.64,8.96,24.98,0.3032,46.06,0.2532,5.3
2009-01-15,121815.0,665109.9,1.73,6.39,0.91,0.77,0.0,610509.9,32644.0,111815.0,178236.24,,,,,,,,0.08,,16212.0,,,,,,,16212.0,0.18,0.08,,,6.07,6.07,505322.0,2759058.12,,2.73,6.05,17.0,0.3231,50.87,0.2264,5.46
2009-01-16,121815.0,683382.15,1.73,6.48,0.91,0.78,0.0,627282.15,32644.0,111815.0,183132.84,,,,,,,,,,,,,,,,,,0.18,,,,6.07,6.07,505322.0,2834856.42,,2.74,6.06,17.39,0.3207,50.54,0.2264,5.61
2009-01-19,121815.0,683382.15,1.73,6.61,0.91,0.78,0.0,627282.15,32644.0,111815.0,183132.84,,,,,,,,,,,,,,,,,,0.18,,,,6.03,6.03,508986.0,2855411.46,,2.86,6.03,17.41,0.318,50.22,0.2249,5.61
2009-01-20,121815.0,616383.9,1.73,6.57,0.91,0.77,0.0,565783.9,32644.0,111815.0,165178.64,,,,,,,,,,,,,,,,,,0.17,,,,6.06,6.06,505711.0,2558897.66,,2.63,6.12,15.87,0.3213,50.84,0.2263,5.06
2009-01-21,105787.0,498256.77,1.51,5.75,0.79,0.67,0.0,451156.77,16616.0,95787.0,78261.36,,,,,,,,0.08,,16028.0,,,,,,,16028.0,0.08,0.08,,,3.09,3.09,521739.0,2457390.69,,2.48,3.19,15.28,0.3879,58.34,0.1965,4.71
2009-01-22,105787.0,515182.69,1.51,5.43,0.79,0.67,0.0,466482.69,16616.0,95787.0,80919.92,,,,,,,,,,,,,,,,,,0.08,,,,3.09,3.09,521739.0,2540868.93,,2.52,3.05,15.44,0.3936,58.91,0.1965,4.87
2009-01-23,105787.0,506719.73,1.51,5.57,0.79,0.66,0.0,458819.73,16616.0,95787.0,79590.64,,,,,,,,,,,,,,,,,,0.08,,,,3.09,3.09,521350.0,2497266.5,,2.48,3.13,15.6,0.3951,59.08,0.1966,4.79
2009-01-26,105787.0,524703.52,1.51,5.73,0.79,0.66,0.0,475103.52,16616.0,95787.0,82415.36,,,,,,,,,,,,,,,,,,0.08,,,,3.09,3.09,521350.0,2585896.0,,2.56,3.05,14.87,0.3973,59.38,0.1966,4.96
2009-01-27,105787.0,534224.35,1.51,5.73,0.79,0.66,0.0,483724.35,16616.0,95787.0,83910.8,,,,,,,,,,,,,,,,,,0.08,,,,3.09,3.09,521350.0,2632817.5,,2.62,3.07,15.16,0.3984,59.54,0.1966,5.05
2009-01-28,105651.0,570515.4,1.5,5.78,0.79,0.66,0.0,516515.4,16616.0,95651.0,89726.4,,,,,,,,,,,,,,,,,136.0,0.09,0.0,,,3.04,3.04,530368.0,2863987.2,,2.83,2.95,15.07,0.3936,59.09,0.1932,5.4
2009-01-29,105651.0,555724.26,1.5,5.71,0.79,0.67,0.0,503124.26,16616.0,95651.0,87400.16,,,,,,,,,,,,,,,,,,0.09,,,,3.26,3.26,493559.0,2596120.34,,2.63,3.29,15.01,0.3904,58.79,0.2071,5.26
2009-01-30,105651.0,532481.04,1.5,5.71,0.79,0.66,0.0,482081.04,16616.0,95651.0,83744.64,,,,,,,,,,,,,,,,,,0.09,,,,3.26,3.26,493559.0,2487537.36,,2.51,3.32,14.86,0.3923,58.95,0.2071,5.04
2009-02-02,105651.0,528255.0,1.5,5.83,0.79,0.66,0.0,478255.0,16616.0,95651.0,83080.0,,,,,,,,,,,,,,,,,,0.08,,,,3.26,3.26,493170.0,2465850.0,,2.46,3.28,14.77,0.3974,59.44,0.2072,5.0
2009-02-03,105651.0,545159.16,1.5,6.13,0.79,0.66,0.0,493559.16,16616.0,95651.0,85738.56,,,,,,,,,,,,,,,,,,0.08,,,,3.25,3.25,494498.0,2551609.68,,2.53,3.21,14.79,0.3985,59.57,0.2067,5.16
2009-02-04,105651.0,548328.69,1.5,6.42,0.79,0.67,0.0,496428.69,16616.0,95651.0,86237.04,,,,,,,,,,,,,,,,,,0.09,,,,3.11,3.11,517697.0,2686847.43,,2.69,3.1,15.8,0.3889,58.5,0.1977,5.19
2009-02-05,105651.0,544102.65,1.5,6.44,0.79,0.67,0.0,492602.65,16616.0,95651.0,85572.4,,,,,,,,,,,,,,,,,,0.09,,,,3.11,3.11,517697.0,2666139.55,,2.67,3.12,15.6,0.3887,58.49,0.1977,5.15
2009-02-06,105651.0,553611.24,1.5,6.43,0.79,0.67,0.0,501211.24,16616.0,95651.0,87067.84,,,,,,,,,,,,,,,,,,0.09,,,,3.08,3.08,523149.0,2741300.76,,2.72,3.06,15.54,0.389,58.52,0.1957,5.24
2009-02-09,105651.0,556780.77,1.5,6.5,0.79,0.67,0.0,504080.77,16616.0,95651.0,87566.32,,,,,,,,,,,,,,,,,,0.09,,,,3.05,3.05,528765.0,2786591.55,,2.79,3.03,15.65,0.3868,58.31,0.1937,5.27
2009-02-10,105651.0,551498.22,1.5,6.49,0.79,0.67,0.0,499298.22,16616.0,95651.0,86735.52,,,,,,,,,,,,,,,,,,0.09,,,,3.11,3.11,518086.0,2704408.92,,2.73,3.11,15.72,0.3856,58.17,0.1976,5.22
2009-02-11,105651.0,547272.18,1.5,6.54,0.79,0.68,0.0,495472.18,16616.0,95651.0,86070.88,,,,,,,,,,,,,,,,,,0.09,,,,3.15,3.15,511677.0,2650486.86,,2.65,3.16,15.8,0.3842,57.99,0.2,5.18
2009-02-12,105651.0,545159.16,1.5,6.58,0.79,0.67,0.0,493559.16,16616.0,95651.0,85738.56,,,,,,,,,,,,,,,,,,0.09,,,,3.15,3.15,511677.0,2640253.32,,2.63,3.16,15.83,0.3853,58.09,0.2,5.16
2009-02-13,105651.0,544102.65,1.5,6.61,0.79,0.67,0.0,492602.65,16616.0,95651.0,85572.4,,,,,,,,,,,,,,,,,,0.09,,,,3.15,3.15,511677.0,2635136.55,,2.64,3.15,15.72,0.3866,58.24,0.2,5.15
2009-02-16,105651.0,544102.65,1.5,6.59,0.79,0.67,0.0,492602.65,16616.0,95651.0,85572.4,,,,,,,,,,,,,,,,,,0.09,,,,3.15,3.15,511677.0,2635136.55,,2.64,3.15,15.85,0.3861,58.17,0.2,5.15
2009-02-17,105651.0,546215.67,1.5,6.75,0.79,0.67,0.0,494515.67,16616.0,95651.0,85904.72,,,,,,,,,,,,,,,,,,0.09,,,,3.04,3.04,530126.0,2740751.42,,2.74,3.04,15.48,0.3885,58.48,0.1932,5.17
2009-02-18,105651.0,540933.12,1.5,6.77,0.79,0.7,0.0,489733.12,16616.0,95651.0,85073.92,,,,,,,,,,,,,,,,,,0.09,,,,3.11,3.11,517697.0,2650608.64,,2.65,3.13,14.57,0.4098,60.67,0.1977,5.12
2009-02-19,84912.0,427956.48,1.21,6.53,0.64,0.55,0.0,377556.48,16616.0,74912.0,83744.64,,,,,,,,,,,,,,,,,20739.0,0.08,0.15,,,3.1,3.1,519006.0,2615790.24,,2.63,3.12,18.49,0.3191,50.22,0.1585,5.04
2009-02-20,84912.0,412672.32,1.21,6.96,0.64,0.55,0.0,364072.32,16616.0,74912.0,80753.76,,,,,,,,,,,,,,,,,15739.0,0.08,0.08,,,3.1,3.1,519438.0,2524468.68,,2.5,3.2,18.71,0.3211,50.39,0.1584,4.86
2009-02-23,69173.0,321654.45,0.98,5.87,0.52,0.47,0.0,275154.45,16616.0,59173.0,77264.4,,,,,,,,,,,,,,,,,15739.0,0.08,0.08,,,3.1,3.1,519990.0,2417953.5,,2.44,3.28,22.1,0.4103,58.89,0.1289,4.65
2009-02-24,69173.0,314737.15,0.98,6.01,0.52,0.47,0.0,269237.15,16616.0,59173.0,75602.8,,,,,,,,,,,,,,,,,,0.08,,,,3.1,3.1,519990.0,2365954.5,,2.36,3.32,21.99,0.4139,59.27,0.1289,4.55
2009-02-25,69173.0,311278.5,0.98,6.07,0.52,0.45,0.0,266278.5,16616.0,59173.0,74772.0,,,,,,,,,,,,,,,,,,0.08,,,,3.1,3.1,520245.0,2341102.5,,2.34,3.12,20.77,0.4303,61.14,0.1288,4.5
2009-02-26,69173.0,302286.01,0.98,6.86,0.52,0.45,0.0,258586.01,16616.0,59173.0,72611.92,,,,,,,,,,,,,,,,,,0.07,,,,3.09,3.09,521240.0,2277818.8,,2.29,3.13,20.68,0.4339,61.5,0.1286,4.37
2009-02-27,52073.0,223913.9,0.74,4.78,0.39,0.29,0.0,180913.9,16616.0,42073.0,71448.8,,,,,,,,,,,,,,,,,17100.0,0.07,0.16,,,3.09,3.09,520878.0,2239775.4,,2.25,3.11,32.34,0.2987,40.5,0.0969,4.3
2009-03-02,52073.0,213499.3,0.74,4.92,0.39,0.29,0.0,172499.3,16616.0,42073.0,68125.6,,,,,,,,,,,,,,,,,,0.07,,,,3.08,3.08,522008.0,2140232.8,,2.16,3.16,32.48,0.3014,40.88,0.0967,4.1
2009-03-03,52873.0,214135.65,0.76,5.12,0.4,0.29,0.0,170395.65,17416.0,42073.0,70534.8,,,800.0,,,,,,,,,,,800.0,,,,0.07,,,,3.22,3.22,522900.0,2117745.0,,2.12,3.24,32.14,0.3004,40.88,0.0979,4.05
2009-03-04,52073.0,212978.57,0.74,5.49,0.39,0.28,0.0,172078.57,16616.0,42073.0,67959.44,,,,,,,,0.0,,800.0,,,,,,,,0.07,,,,3.03,3.03,532195.0,2176677.55,,2.16,3.02,30.95,0.3047,42.43,0.0949,4.09
2009-03-05,37073.0,147550.54,0.53,4.52,0.28,0.19,0.0,107750.54,16616.0,27073.0,66131.68,,,,,,,,,,,,,,,,,15000.0,0.07,0.08,,,3.08,3.08,523268.0,2082606.64,,2.09,3.12,16.87,0.421,60.24,0.0687,3.98
2009-03-06,37073.0,141618.86,0.53,4.58,0.28,0.19,0.0,103418.86,16616.0,27073.0,63473.12,,,,,,,,,,,,,,,,,,0.07,,,,3.08,3.08,523268.0,1998883.76,,2.01,3.14,16.63,0.4282,61.02,0.0687,3.82
2009-03-09,37073.0,140877.4,0.53,4.79,0.28,0.19,0.0,102877.4,16616.0,27073.0,63140.8,,,,,,,,,,,,,,,,,,0.06,,,,3.08,3.08,523268.0,1988418.4,,1.99,3.08,16.13,0.4345,61.68,0.0687,3.8
2009-03-10,37073.0,139765.21,0.53,4.99,0.28,0.19,0.0,102065.21,16616.0,27073.0,62642.32,,,,,,,,,,,,,,,,,,0.06,,,,3.08,3.08,523268.0,1972720.36,,1.98,3.08,16.09,0.4359,61.82,0.0687,3.77
2009-03-11,37073.0,140135.94,0.53,5.1,0.28,0.19,0.0,102335.94,16616.0,27073.0,62808.48,,,,,,,,,,,,,,,,,,0.06,,,,3.08,3.08,523268.0,1977953.04,,1.97,3.08,16.11,0.4369,61.92,0.0687,3.78
2009-03-12,37073.0,143101.78,0.53,5.23,0.28,0.19,0.0,104501.78,16616.0,27073.0,64137.76,,,,,,,,,,,,,,,,,,0.06,,,,3.08,3.08,523268.0,2019814.48,,2.0,3.06,16.3,0.4354,61.75,0.0687,3.86
2009-03-13,37073.0,151628.57,0.53,5.13,0.28,0.19,0.0,110728.57,16616.0,27073.0,67959.44,,,,,,,,,,,,,,,,,,0.07,,,,3.08,3.08,523268.0,2140166.12,,2.12,3.0,17.15,0.4266,60.78,0.0687,4.09
2009-03-16,37073.0,152370.03,0.53,5.29,0.28,0.2,0.0,111270.03,16616.0,27073.0,68291.76,,,,,,,,,,,,,,,,,,0.07,,,,3.08,3.08,523268.0,2150631.48,,2.15,3.05,17.09,0.4179,59.87,0.0687,4.11
2009-03-17,37073.0,154965.14,0.53,5.79,0.28,0.2,0.0,113165.14,16616.0,27073.0,69454.88,,,,,,,,,,,,,,,,,,0.07,,,,3.08,3.08,523268.0,2187260.24,,2.15,3.06,17.15,0.4167,59.73,0.0687,4.18
2009-03-18,37073.0,152370.03,0.53,5.86,0.28,0.19,0.0,111270.03,16616.0,27073.0,68291.76,,,,,,,,,,,,,,,,,,0.07,,,,3.07,3.07,524740.0,2156681.4,,2.11,3.14,17.17,0.4186,59.97,0.0685,4.11
2009-03-19,37073.0,151257.84,0.53,4.8,0.28,0.19,0.0,110457.84,16616.0,27073.0,67793.28,,,,,,,,,,,,,,,,,,0.07,,,,3.05,3.05,528404.0,2155888.32,,2.17,3.05,16.91,0.4189,59.97,0.068,4.08
2009-03-20,37073.0,151257.84,0.53,4.85,0.28,0.19,0.0,110457.84,16616.0,27073.0,67793.28,,,,,,,,,,,,,,,,,,0.07,,,,3.07,3.07,524740.0,2140939.2,,2.14,3.07,16.88,0.4192,60.03,0.0685,4.08
2009-03-23,37081.0,150178.05,0.53,4.97,0.28,0.19,0.0,109645.65,16624.0,27073.0,67327.2,,,8.0,,,,,,,,,,,8.0,,,,0.07,,,,3.07,3.07,524732.0,2125164.6,,2.12,3.09,16.82,0.4203,60.15,0.0685,4.05
2009-03-24,37073.0,151628.57,0.53,4.64,0.28,0.19,0.0,110728.57,16616.0,27073.0,67959.44,,,,,,,,0.0,,8.0,,,,,,,,0.07,,,,3.07,3.07,524740.0,2146186.6,,2.15,3.05,17.03,0.4196,60.05,0.0685,4.09
2009-03-25,37073.0,150516.38,0.53,4.34,0.28,0.19,0.0,109916.38,16616.0,27073.0,67460.96,,,,,,,,,,,,,,,,,,0.07,,,,3.07,3.07,524740.0,2130444.4,,2.13,3.08,16.84,0.42,60.11,0.0685,4.06
2009-03-26,37073.0,150516.38,0.53,4.33,0.28,0.19,0.0,109916.38,16616.0,27073.0,67460.96,,,,,,,,,,,,,,,,,,0.07,,,,3.07,3.07,524475.0,2129368.5,,2.13,3.07,16.95,0.4198,60.08,0.0685,4.06
2009-03-27,37073.0,147921.27,0.53,4.36,0.28,0.19,0.0,108021.27,16616.0,27073.0,66297.84,,,,,,,,,,,,,,,,,,0.07,,,,3.08,3.08,522887.0,2086319.13,,2.09,3.11,16.77,0.4215,60.3,0.0687,3.99
2009-03-30,37073.0,145696.89,0.53,4.39,0.28,0.19,0.0,106396.89,16616.0,27073.0,65300.88,,,,,,,,,,,,,,,,,,0.07,,,,3.0,3.0,536536.0,2108586.48,,2.11,3.03,16.59,0.4253,60.7,0.067,3.93
2009-03-31,37073.0,149033.46,0.53,4.41,0.28,0.19,0.0,108833.46,16616.0,27073.0,66796.32,,,,,,,,,,,,,,,,,,0.07,,,,3.0,3.0,536502.0,2156738.04,,2.16,2.96,16.97,0.4248,60.61,0.067,4.02
2009-04-01,37073.0,148292.0,0.53,4.44,0.28,0.19,0.0,108292.0,16616.0,27073.0,66464.0,,,,,,,,,,,,,,,,,,0.07,,,,3.0,3.0,536502.0,2146008.0,,2.15,3.01,16.71,0.4228,60.42,0.067,4.0
2009-04-02,37073.0,166828.5,0.53,4.35,0.28,0.2,0.0,121828.5,16616.0,27073.0,74772.0,,,,,,,,,,,,,,,,,,0.07,,,,3.0,3.0,536502.0,2414259.0,,2.37,2.84,18.35,0.4142,59.33,0.067,4.5
2009-04-03,38811.0,174649.5,0.55,3.83,0.29,0.21,0.0,129649.5,16616.0,28811.0,74772.0,,,,,,1738.0,,,,,,,,,0.01,,,0.07,,,,100.0,2.7,0.0,0.0,,0.0,100.0,17.19,0.3712,55.55,0.063,4.5
2009-04-06,37073.0,174613.83,0.53,3.59,0.28,0.2,0.0,127513.83,16616.0,27073.0,78261.36,,,,,,,,,,,,,,,,,1738.0,0.08,0.01,,,2.69,2.69,600809.0,2829810.39,,2.81,2.63,18.7,0.3944,57.1,0.06,4.71
2009-04-07,37073.0,179062.59,0.53,3.55,0.28,0.21,0.0,130762.59,16616.0,27073.0,80255.28,,,,,,,,,,,,,,,,,,0.08,,,,2.66,2.66,608576.0,2939422.08,,2.93,2.63,18.76,0.3873,56.26,0.0593,4.83
2009-04-08,37073.0,177950.4,0.53,3.59,0.28,0.21,0.0,129950.4,16616.0,27073.0,79756.8,,,,,,,,,,,,,,,,,,0.08,,,,2.65,2.65,610369.0,2929771.2,,2.93,2.66,18.52,0.385,56.0,0.0591,4.8
2009-04-09,37073.0,178321.13,0.53,3.77,0.28,0.21,0.0,130221.13,16616.0,27073.0,79922.96,,,,,,,,,,,,,,,,,,0.08,,,,2.65,2.65,610369.0,2935874.89,,2.94,2.65,18.75,0.3846,55.95,0.0591,4.81
2009-04-10,37073.0,178321.13,0.53,4.27,0.28,0.21,0.0,130221.13,16616.0,27073.0,79922.96,,,,,,,,,,,,,,,,,,0.08,,,,2.65,2.65,610369.0,2935874.89,,2.94,2.65,18.71,0.3846,55.95,0.0591,
2009-04-13,37073.0,178321.13,0.53,4.27,0.28,0.21,0.0,130221.13,16616.0,27073.0,79922.96,,,,,,,,,,,,,,,,,,0.08,,,,2.65,2.65,610369.0,2935874.89,,2.93,2.65,18.51,0.3858,56.1,0.0591,
2009-04-14,37073.0,179433.32,0.53,4.27,0.28,0.21,0.0,131033.32,16616.0,27073.0,80421.44,,,,,,,,,,,,,,,,,,0.08,,,,2.65,2.65,610369.0,2954185.96,,2.95,2.65,18.71,0.3846,55.94,0.0591,4.84
2009-04-15,37073.0,180916.24,0.53,4.22,0.28,0.21,0.0,132116.24,16616.0,27073.0,81086.08,,,,,,,,0.03,,5616.0,,,,,,5616.0,,0.08,,,,2.65,2.65,610369.0,2978600.72,,2.96,2.65,18.74,0.3836,55.82,0.0591,4.88
2009-04-16,37073.0,181286.97,0.53,4.18,0.28,0.21,0.0,132386.97,16616.0,27073.0,81252.24,,,,,,,,,,,,,,,,,,0.08,,,,2.65,2.65,610369.0,2984704.41,,2.99,2.65,18.82,0.382,55.62,0.0591,4.89
2009-04-17,37073.0,184994.27,0.53,4.19,0.28,0.21,0.0,135094.27,16616.0,27073.0,82913.84,,,,,,,,0.0,,837.0,,,,,,837.0,,0.08,,,,2.65,2.65,610369.0,3045741.31,,3.04,2.62,19.11,0.3802,55.37,0.0591,4.99
2009-04-20,37073.0,186847.92,0.53,3.92,0.28,0.21,0.0,136447.92,16616.0,27073.0,83744.64,,,,,,,,,,,,,,,,,,0.08,,,,2.65,2.65,610369.0,3076259.76,,3.07,2.64,19.2,0.3769,54.96,0.0591,5.04
2009-04-21,38073.0,186938.43,0.54,3.93,0.29,0.22,0.0,137838.43,16616.0,28073.0,81584.56,,,,0.01,,,,,1000.0,,,,0.01,,,,,0.08,,,,100.0,2.65,0.0,0.0,,0.0,100.0,18.59,0.3863,56.19,0.0607,4.91
2009-04-22,38073.0,186557.7,0.54,3.94,0.29,0.22,0.0,137557.7,16616.0,28073.0,81418.4,,,,,,,,,,,,,,,,,,0.08,,,,100.0,2.65,0.0,0.0,,0.0,100.0,18.29,0.3899,56.62,0.0607,4.9
2009-04-23,38073.0,191887.92,0.54,3.93,0.29,0.22,0.0,141487.92,16616.0,28073.0,83744.64,,,,,,,,,,,,,,,,,,0.08,,,,100.0,2.65,0.0,0.0,,0.0,100.0,18.68,0.3884,56.4,0.0607,5.04
2009-04-24,39073.0,195365.0,0.56,3.98,0.29,0.22,0.0,145365.0,16616.0,29073.0,83080.0,,,,,,1000.0,,,,,,,,,0.01,,,0.08,,,,100.0,2.65,0.0,0.0,,0.0,100.0,18.12,0.3685,54.76,0.0623,5.0
2009-04-27,39073.0,194583.54,0.56,4.03,0.29,0.22,0.0,144783.54,16616.0,29073.0,82747.68,,,,,,,,,,,,,,,,,,0.08,,,,100.0,2.65,0.0,0.0,,0.0,100.0,18.21,0.3686,54.78,0.0623,4.98
2009-04-28,39073.0,193411.35,0.56,4.15,0.29,0.22,0.0,143911.35,16616.0,29073.0,82249.2,,,,,,,,,,,,,,,,,,0.08,,,,100.0,2.65,0.0,0.0,,0.0,100.0,18.02,0.3712,55.12,0.0623,4.95
2009-04-29,39073.0,195365.0,0.56,4.47,0.29,0.22,0.0,145365.0,16616.0,29073.0,83080.0,,,,,,,,,,,,,,,,,,0.08,,,,100.0,2.65,0.0,0.0,,0.0,100.0,18.2,0.3708,55.03,0.0623,5.0
2009-04-30,39073.0,195365.0,0.56,4.39,0.29,0.22,0.0,145365.0,16616.0,29073.0,83080.0,,,,,,,,,,,,,,,,,,0.08,,,,100.0,2.65,0.0,0.0,,0.0,100.0,18.17,0.3697,54.91,0.0623,5.0
2009-05-01,39073.0,195365.0,0.56,4.24,0.29,0.22,0.0,145365.0,16616.0,29073.0,83080.0,,,,,,,,,,,,,,,,,,0.08,,,,100.0,2.65,0.0,0.0,,0.0,100.0,18.06,0.3712,55.1,0.0623,
2009-05-04,39073.0,222325.37,0.56,4.24,0.29,0.23,0.0,165425.37,16616.0,29073.0,94545.04,,,,,,,,,,,,,,,,,,0.09,,,,100.0,2.65,0.0,0.0,,0.0,100.0,19.96,0.3616,53.65,0.0623,5.69
2009-05-05,39073.0,215682.96,0.56,4.65,0.29,0.24,0.0,160482.96,16616.0,29073.0,91720.32,,,,,,,,,,,,,,,,,,0.09,,,,100.0,2.71,0.0,0.0,,0.0,100.0,19.37,0.3464,51.86,0.0637,5.52
2009-05-06,39073.0,216073.69,0.56,4.21,0.29,0.23,0.0,160773.69,16616.0,29073.0,91886.48,,,,,,,,,,,,,,,,,,0.09,,,,100.0,2.68,0.0,0.0,,0.0,100.0,19.18,0.3502,52.35,0.0631,5.53
2009-05-07,39073.0,232093.62,0.56,4.05,0.29,0.24,0.0,172693.62,16616.0,29073.0,98699.04,,,,,,,,,,,,,,,,,,0.09,,,,100.0,2.68,0.0,0.0,,0.0,100.0,20.27,0.3461,51.63,0.0631,5.94
2009-05-08,39073.0,256709.61,0.56,4.16,0.29,0.25,0.0,191009.61,16616.0,29073.0,109167.12,,,,,,,,,,,,,,,,,,0.1,,,,100.0,2.68,0.0,0.0,,0.0,100.0,21.27,0.3333,49.7,0.0631,6.57
2009-05-11,39073.0,277418.3,0.56,4.08,0.29,0.26,0.0,206418.3,16616.0,29073.0,117973.6,,,,,,,,,,,,,,,,,,0.11,,,,100.0,2.68,0.0,0.0,,0.0,100.0,22.27,0.3194,47.36,0.0631,7.1
2009-05-12,39073.0,275464.65,0.56,3.72,0.29,0.26,0.0,204964.65,16616.0,29073.0,117142.8,,,,,,,,,,,,,,,,,,0.12,,,,100.0,2.68,0.0,0.0,,0.0,100.0,21.55,0.3108,46.26,0.0631,7.05
2009-05-13,39073.0,261789.1,0.56,3.57,0.29,0.26,0.0,194789.1,16616.0,29073.0,111327.2,,,,,,,,,,,,,,,,,,0.12,,,,100.0,2.67,0.0,0.0,,0.0,100.0,21.64,0.313,46.75,0.0627,6.7
2009-05-14,39073.0,260226.18,0.56,3.43,0.29,0.26,0.0,193626.18,16616.0,29073.0,110662.56,,,,,,,,,,,,,,,,,,0.11,,,,100.0,2.87,0.0,0.0,,0.0,100.0,20.96,0.3189,47.66,0.0675,6.66
2009-05-15,39073.0,260226.18,0.56,3.37,0.29,0.26,0.0,193626.18,16616.0,29073.0,110662.56,,,,,,,,,,,,,,,,,,0.11,,,,100.0,2.87,0.0,0.0,,0.0,100.0,21.06,0.3191,47.67,0.0675,6.66
2009-05-18,39073.0,255537.42,0.56,3.34,0.29,0.25,0.0,190137.42,16616.0,29073.0,108668.64,,,,,,,,,,,,,,,,,,0.11,,,,100.0,2.87,0.0,0.0,,0.0,100.0,20.95,0.3202,47.91,0.0675,6.54
2009-05-19,39073.0,263742.75,0.56,3.06,0.29,0.25,0.0,196242.75,16616.0,29073.0,112158.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,2.85,0.0,0.0,,0.0,100.0,21.36,0.3207,47.85,0.0671,6.75
2009-05-20,39073.0,261789.1,0.56,3.55,0.29,0.26,0.0,194789.1,16616.0,29073.0,111327.2,,,,,,,,,,,,,,,,,,0.11,,,,100.0,2.87,0.0,0.0,,0.0,100.0,21.05,0.318,47.5,0.0674,6.7
2009-05-21,39073.0,261789.1,0.56,3.48,0.29,0.26,0.0,194789.1,16616.0,29073.0,111327.2,,,,,,,,,,,,,,,,,,0.11,,,,100.0,2.87,0.0,0.0,,0.0,100.0,20.98,0.3191,47.7,0.0674,6.7
2009-05-22,39073.0,260616.91,0.56,3.46,0.29,0.25,0.0,193916.91,16616.0,29073.0,110828.72,,,,,,,,,,,,,,,,,,0.11,,,,100.0,2.87,0.0,0.0,,0.0,100.0,21.19,0.3219,48.17,0.0674,6.67
