,GET FP Equity_DX_SI_QTY,GET FP Equity_DX_SHORT_INTEREST_VALUE,GET FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GET FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GET FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GET FP Equity_DX_SI_MV,GET FP Equity_DX_DSS,GET FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GET FP Equity_DX_SUPPLY_SI_QTY,GET FP Equity_DX_BROKER_SI_QTY,GET FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GET FP Equity_DX_BROKER_SI_MV_NEW_x,GET FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GET FP Equity_DX_SUPPLY_SI_QTY_INC_x,GET FP Equity_DX_BROKER_SI_MV_INC_x,GET FP Equity_DX_SUPPLY_SI_MV_NEW,GET FP Equity_DX_BROKER_SI_QTY_ADD,GET FP Equity_DX_BROKER_SI_QTY_NEW,GET FP Equity_DX_SUPPLY_SI_MV_DEC,GET FP Equity_DX_BROKER_SI_QTY_INC,GET FP Equity_DX_SUPPLY_SI_QTY_DEC,GET FP Equity_DX_BROKER_SI_MV_NEW_y,GET FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GET FP Equity_DX_BROKER_SI_MV_INC_y,GET FP Equity_DX_SUPPLY_SI_QTY_INC_y,GET FP Equity_DX_BROKER_SI_MV_ADD,GET FP Equity_DX_SUPPLY_SI_QTY_ADD,GET FP Equity_DX_BROKER_SI_QTY_DEC,GET FP Equity_DX_SUPPLY_SI_MV,GET FP Equity_DX_BROKER_SI_MV_DEC,GET FP Equity_DX_SUPPLY_SI_MV_RMV,GET FP Equity_DX_BROKER_SI_MV_RMV,GET FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GET FP Equity_DX_UTILIZATION_QUANTITY,GET FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GET FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GET FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GET FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GET FP Equity_DX_ACTIVE_UTILIZATION_MV,GET FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GET FP Equity_DX_BROKER_SI_CON_RATIO,GET FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GET FP Equity_DX_DEMAND_SUPPLY_RATIO,GET FP Equity_PX_LAST
2007-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
2007-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
2007-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
2007-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2007-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
2007-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
2007-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
2007-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
2007-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
2007-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2007-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2007-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2007-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2007-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2007-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2007-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2007-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2007-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2007-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2007-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2007-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2007-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2007-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2007-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2007-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2007-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2007-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2007-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2007-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2007-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2007-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2007-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2007-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2007-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2007-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2007-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2007-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2007-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2007-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2007-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
2007-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2007-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
2007-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
2007-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
2007-11-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,90000.0,1107789.22,,0.03,0.0,,0.0,,0.0,14.0
2007-11-13,305729.0,3776587.48,0.51,0.03,0.51,3.99,,3776587.48,0.0,305729.0,0.0,,,,,,305729.0,,,,,,,,,3.99,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,14.05
2007-11-14,305729.0,3951305.05,0.51,0.03,0.51,4.01,,3951305.05,0.0,305729.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,14.7
2007-11-15,370729.0,4872864.57,0.62,0.04,0.62,5.17,,4872864.57,0.0,370729.0,0.0,,,,,,65000.0,,,,,,,,,0.95,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,18.41,0.6996,81.59,0.0,14.95
2007-11-16,370729.0,4693595.3,0.62,0.04,0.62,5.23,,4693595.3,0.0,370729.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,18.35,0.7003,81.65,0.0,14.4
2007-11-19,383523.0,4653257.53,0.64,0.04,0.64,5.4,,4653257.53,0.0,383523.0,0.0,,,,,,12794.0,,,,,,,,,0.18,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,17.74,0.6555,78.92,0.0,13.8
2007-11-20,76745.0,923044.79,0.13,0.01,0.13,1.13,,923044.79,0.0,76745.0,0.0,,,,,,,,,,,,,,,,,306777.0,0.0,4.27,,,0.0,0.0,0.0,0.0,,0.0,0.0,15.3,0.7408,84.7,0.0,13.68
2007-11-21,77438.0,893253.14,0.13,0.01,0.13,1.06,,893253.14,0.0,77438.0,0.0,,,,0.0,,,,,693.0,,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,16.06,0.7304,83.94,0.0,13.12
2007-11-22,77785.0,936921.08,0.13,0.01,0.13,1.04,,936921.08,0.0,77785.0,0.0,,,,0.0,,,,,347.0,,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,16.44,0.7253,83.56,0.0,13.7
2007-11-23,77384.0,934132.11,0.13,0.01,0.13,1.07,,934132.11,0.0,77384.0,0.0,,,,,,,,,,,,,,,,,401.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,16.0,0.7312,84.0,0.0,13.73
2007-11-26,77454.0,935658.08,0.13,0.01,0.13,1.07,,935658.08,0.0,77454.0,0.0,,,,0.0,,,,,70.0,,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,16.08,0.7301,83.92,0.0,13.74
2007-11-27,77397.0,966271.26,0.13,0.01,0.13,1.07,,966271.26,0.0,77397.0,0.0,,,,,,,,,,,,,,,,,57.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,16.02,0.731,83.98,0.0,14.2
2007-11-28,78550.0,1018649.55,0.13,0.01,0.13,1.12,,1018649.55,0.0,78550.0,0.0,,,,0.01,,1054.0,,,99.0,,,,0.01,,0.01,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,15.91,0.7109,82.79,0.0,14.75
2007-11-29,148859.0,1913414.49,0.25,0.03,0.25,2.14,0.0,1913414.49,0.0,148859.0,0.0,,,,0.01,,70000.0,,,309.0,,,,0.01,,1.02,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,42.95,0.4199,47.75,9.8621,14.62
2007-11-30,173639.0,2198347.57,0.29,0.03,0.29,2.52,0.0,2198347.57,0.0,173639.0,0.0,,,,0.35,,,,,25000.0,,,,0.35,,,,220.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,37.77,0.4434,54.36,11.5038,14.4
2007-12-03,180033.0,2279298.47,0.3,0.03,0.3,2.6,0.0,2197005.56,6500.0,173533.0,82292.91,,,,,,,,,,,,,,,,6500.0,106.0,0.09,0.0,,,100.0,43.06,0.0,0.0,,0.0,100.0,36.0,0.4152,52.87,11.9275,14.4
2007-12-04,180084.0,2287860.63,0.3,0.03,0.3,2.59,0.0,2205281.97,6500.0,173584.0,82578.65,,,,0.0,,,,,51.0,,,,0.0,,,,,0.09,,,,100.0,43.06,0.0,0.0,,0.0,100.0,35.85,0.4157,53.01,11.9308,14.45
2007-12-05,180054.0,2266900.1,0.3,0.04,0.3,2.6,0.0,2185064.36,6500.0,173554.0,81835.73,,,,,,,,,,,,,,,,,30.0,0.09,0.0,,,100.0,43.06,0.0,0.0,,0.0,100.0,36.35,0.4135,52.45,11.9288,14.32
2007-12-06,183819.0,2291676.01,0.31,0.04,0.31,2.62,0.0,2163889.01,10250.0,173569.0,127787.0,,,,0.0,,,,,15.0,,,,0.0,,,3750.0,,0.15,,,,100.0,51.01,0.0,0.0,,0.0,100.0,35.58,0.3966,51.35,9.148,14.18
2007-12-07,214288.0,2654577.65,0.36,0.05,0.36,3.04,0.0,2608123.04,10250.0,210538.0,126975.94,,,,,,37000.0,,,,,,,,,0.53,,32.0,0.14,0.0,,,100.0,67.88,0.0,0.0,,0.0,100.0,30.31,0.3215,44.23,14.1913,14.09
2007-12-10,294314.0,3622643.07,0.49,0.07,0.49,4.14,0.0,3576485.18,10250.0,290564.0,126164.88,,,,0.0,,80000.0,,,26.0,,,,0.0,,1.13,,,0.14,,,,100.0,67.82,0.0,0.0,,0.0,100.0,27.21,0.2443,32.13,19.4729,14.0
2007-12-11,331954.0,3945855.59,0.56,0.08,0.56,4.65,0.0,3453910.38,65386.0,290568.0,777227.31,,,,0.0,,,,,4.0,,,,0.0,,,55136.0,,0.89,,,,100.0,93.09,0.0,0.0,,0.0,100.0,24.1,0.2004,28.68,4.7259,13.52
2007-12-12,351887.0,4142575.08,0.59,0.1,0.59,4.78,0.0,3655360.12,65386.0,310501.0,769753.97,,,,0.25,,,,,20000.0,,,,0.25,,,,67.0,0.88,0.01,,,100.0,93.09,0.0,0.0,,0.0,100.0,26.58,0.206,28.55,5.0099,13.39
2007-12-13,344950.0,3909269.9,0.58,0.2,0.58,4.62,0.0,3440248.17,65386.0,303564.0,741010.35,,,,0.0,,,,,63.0,,,,0.0,,,,7000.0,0.85,0.1,,,100.0,93.09,0.0,0.0,,0.0,100.0,26.51,0.2108,29.61,4.9113,12.89
2007-12-14,344940.0,3848502.47,0.58,0.23,0.58,4.48,0.0,3386758.04,65386.0,303554.0,729512.91,,,,,,,,0.04,,2843.0,,,,,,2843.0,10.0,0.84,0.01,,,100.0,90.2,0.0,0.0,,0.0,100.0,26.93,0.2108,29.13,4.7586,12.69
2007-12-17,344940.0,3639245.84,0.58,0.29,0.58,4.34,0.0,3202608.08,65386.0,303554.0,689846.72,,,,,,,,,,,,,,,,,,0.8,,,,100.0,90.2,0.0,0.0,,0.0,100.0,26.28,0.211,29.57,4.7587,12.0
2007-12-18,388940.0,4165014.21,0.65,0.47,0.65,4.72,0.0,3721826.88,65386.0,347554.0,700194.42,,,,0.51,,,,,44000.0,,,,0.51,,,,,0.79,,,,100.0,90.21,0.0,0.0,,0.0,100.0,24.02,0.1954,25.65,5.3657,12.18
2007-12-19,383940.0,3962945.01,0.64,0.66,0.64,4.67,0.0,3535767.74,65386.0,342554.0,674900.04,,,,,,,,,,,,,,,,,5000.0,0.77,0.08,,,100.0,90.2,0.0,0.0,,0.0,100.0,22.62,0.1954,26.35,5.2966,11.74
2007-12-20,446692.0,4496765.6,0.75,1.91,0.75,5.39,0.0,4080140.41,65386.0,405306.0,658228.75,,,,0.8,,,,,62752.0,,,,0.8,,,,,0.75,,,,100.0,90.2,0.0,0.0,,0.0,100.0,22.01,0.2133,31.53,6.1625,11.45
2007-12-21,466692.0,4657070.44,0.78,3.94,0.78,5.3,0.0,4244083.89,65386.0,425306.0,652480.02,,,,,,20000.0,,,,,,,,,0.0,,,0.74,,,,100.0,90.21,0.0,0.0,,0.0,100.0,21.79,0.2136,31.79,6.4384,11.35
2007-12-24,466692.0,4644761.0,0.78,3.68,0.78,5.6,0.0,4232866.05,65386.0,425306.0,650755.41,,,,,,,,,,,,,,,,,,0.74,,,,100.0,65.43,0.0,0.0,,0.0,100.0,20.5,0.2281,35.85,4.67,11.32
2007-12-25,466692.0,4644761.0,0.78,3.82,0.78,5.61,0.0,4232866.05,65386.0,425306.0,650755.41,,,,,,,,,,,,,,,,,,0.74,,,,100.0,65.43,0.0,0.0,,0.0,100.0,20.5,0.228,35.84,4.67,
2007-12-26,466692.0,4644761.0,0.78,3.82,0.78,5.5,0.0,4232866.05,65386.0,425306.0,650755.41,,,,,,,,,,,,,,,,,,0.74,,,,100.0,65.43,0.0,0.0,,0.0,100.0,20.76,0.2239,34.83,4.6699,
2007-12-27,466692.0,4997631.54,0.78,3.82,0.78,5.59,0.0,4554444.21,65386.0,425306.0,700194.42,,,,,,,,,,,,,,,,,,0.78,,,,100.0,65.43,0.0,0.0,,0.0,100.0,20.43,0.2216,34.27,4.6698,12.18
2007-12-28,462942.0,4985965.41,0.77,3.6,0.77,5.73,0.0,4580619.18,61636.0,425306.0,663830.38,,,,,,,,0.04,,3750.0,,,,,,,,0.75,,,,100.0,59.94,0.0,0.0,,0.0,100.0,21.44,0.2239,34.33,4.5017,12.25
2007-12-31,462942.0,4884211.01,0.77,3.63,0.77,5.74,0.0,4487137.15,61636.0,425306.0,650282.82,,,,,,,,,,,,,,,,,,0.74,,,,100.0,59.94,0.0,0.0,,0.0,100.0,21.5,0.2238,34.24,4.5017,12.0
2008-01-01,462942.0,4884211.01,0.77,4.01,0.77,5.74,0.0,4487137.15,61636.0,425306.0,650282.82,,,,,,,,,,,,,,,,,,0.74,,,,100.0,59.94,0.0,0.0,,0.0,100.0,21.51,0.2238,34.23,4.5017,
2008-01-02,462942.0,4660351.34,0.77,4.01,0.77,5.61,0.0,4286510.11,61636.0,425806.0,620478.19,,,,,,500.0,,,,,,,,,0.01,,,0.71,,,,100.0,54.44,0.0,0.0,,0.0,100.0,21.59,0.2265,34.9,4.0891,11.45
2008-01-03,462942.0,4493474.13,0.77,4.01,0.77,5.44,0.0,4133019.35,61636.0,425806.0,598260.2,,,,,,,,,,,,,,,,,,0.68,,,,100.0,54.44,0.0,0.0,,0.0,100.0,21.26,0.2285,35.42,4.0891,11.04
2008-01-04,462942.0,4517895.19,0.77,4.01,0.77,5.37,0.0,4155481.42,61636.0,425806.0,601511.61,,,,,,,,,,,,,,,,,,0.68,,,,100.0,55.53,0.0,0.0,,0.0,100.0,20.76,0.2277,35.4,4.171,11.1
2008-01-07,462942.0,4273684.63,0.77,4.09,0.77,5.32,0.0,3930860.8,61636.0,425806.0,568997.47,,,,,,,,,,,,,,,,,,0.65,,,,100.0,56.68,0.0,0.0,,0.0,100.0,21.11,0.2305,35.91,4.2573,10.5
2008-01-08,467942.0,4311614.25,0.78,4.2,0.78,5.2,0.0,3969443.41,66636.0,430806.0,613983.63,,,,0.0,,,,,5000.0,,,,0.0,,,5000.0,,0.7,,,,100.0,60.04,0.0,0.0,,0.0,100.0,21.47,0.2314,35.97,4.216,10.48
2008-01-09,467942.0,4262244.62,0.78,4.08,0.78,5.18,0.0,3923991.77,66636.0,430806.0,606953.28,,,,,,,,,,,,,,,,,,0.69,,,,100.0,60.04,0.0,0.0,,0.0,100.0,21.52,0.2313,35.9,4.216,10.36
2008-01-10,482942.0,4246015.4,0.81,4.22,0.81,5.27,0.0,3919516.51,76636.0,445806.0,673782.02,,,10000.0,0.13,,,,,15000.0,,,,0.13,10000.0,,,,0.77,,,,100.0,69.05,0.0,0.0,,0.0,100.0,22.89,0.2347,35.99,4.3512,10.0
2008-01-11,1384686.0,12527178.47,2.32,12.09,2.32,15.45,1.0,6489373.85,1000136.0,717300.0,9048175.67,,,,,,271494.0,,,,,,,,,3.9,923500.0,,10.02,,,,100.0,90.05,0.0,0.0,,0.0,100.0,20.55,0.2701,43.97,1.2468,10.29
2008-01-14,2084084.0,18927886.79,3.49,17.56,3.49,22.83,1.0,12854568.71,1001462.0,1415372.0,9095391.24,,,,,,698072.0,,,,,,,,,7.18,1326.0,,10.28,,,,100.0,89.07,0.0,0.0,,0.0,100.0,24.64,0.2776,43.9,1.8536,10.33
2008-01-15,2164084.0,19901801.37,3.62,18.58,3.62,23.78,1.0,13752052.38,994962.0,1495372.0,9150077.4,,,,1.03,,,,0.07,100000.0,6500.0,,,1.03,,,,20000.0,10.3,0.21,,,100.0,89.4,0.0,0.0,,0.0,100.0,23.39,0.2666,41.8,1.9444,10.46
