,ALTRO FP Equity_PX_LAST
2016-01-06,7.99
2016-01-07,7.92
2016-01-08,7.74
2016-01-11,7.47
2016-01-12,7.51
2016-01-13,7.55
2016-01-14,7.36
2016-01-15,7.27
2016-01-18,7.0
2016-01-19,7.0
2016-01-20,6.68
2016-01-21,6.46
2016-01-22,6.32
2016-01-25,6.3
2016-01-26,6.06
2016-01-27,6.13
2016-01-28,6.36
2016-01-29,6.22
2016-02-01,6.23
2016-02-02,6.28
2016-02-03,6.1
2016-02-04,6.15
2016-02-05,6.14
2016-02-08,6.0
2016-02-09,5.88
2016-02-10,5.56
2016-02-11,5.4
2016-02-12,5.43
2016-02-15,5.62
2016-02-16,5.94
2016-02-17,5.76
2016-02-18,5.88
2016-02-19,5.99
2016-02-22,6.1
2016-02-23,6.55
2016-02-24,6.6
2016-02-25,6.76
2016-02-26,6.9
2016-02-29,6.6
2016-03-01,6.6
2016-03-02,6.6
2016-03-03,6.35
2016-03-04,6.55
2016-03-07,6.51
2016-03-08,6.35
2016-03-09,6.21
2016-03-10,5.9
2016-03-11,5.96
2016-03-14,5.89
2016-03-15,5.45
2016-03-16,5.54
2016-03-17,5.42
2016-03-18,5.4
2016-03-21,5.38
2016-03-22,5.38
2016-03-23,5.33
2016-03-24,5.33
2016-03-29,5.62
2016-03-30,6.32
2016-03-31,6.38
2016-04-01,6.45
2016-04-04,6.84
2016-04-05,6.88
2016-04-06,7.15
2016-04-07,7.07
2016-04-08,7.15
2016-04-11,7.11
2016-04-12,6.96
2016-04-13,6.8
2016-04-14,6.8
2016-04-15,6.8
2016-04-18,6.92
2016-04-19,6.86
2016-04-20,6.85
2016-04-21,6.93
2016-04-22,6.93
2016-04-25,6.97
2016-04-26,8.11
2016-04-27,8.15
2016-04-28,9.0
2016-04-29,8.91
2016-05-02,8.65
2016-05-03,8.44
2016-05-04,8.2
2016-05-05,8.2
2016-05-06,8.4
2016-05-09,8.5
2016-05-10,8.68
2016-05-11,9.25
2016-05-12,9.05
2016-05-13,9.1
2016-05-16,9.1
2016-05-17,8.56
2016-05-18,8.53
2016-05-19,7.94
2016-05-20,7.94
2016-05-23,7.81
2016-05-24,7.96
2016-05-25,8.0
2016-05-26,8.2
2016-05-27,8.2
2016-05-30,8.4
2016-05-31,8.3
2016-06-01,8.26
2016-06-02,8.15
2016-06-03,8.08
2016-06-06,8.07
2016-06-07,8.07
2016-06-08,7.84
2016-06-09,8.24
2016-06-10,8.18
2016-06-13,8.06
2016-06-14,8.0
2016-06-15,7.93
2016-06-16,7.45
2016-06-17,7.13
2016-06-20,7.85
2016-06-21,8.0
2016-06-22,8.07
2016-06-23,8.1
2016-06-24,7.5
2016-06-27,7.38
2016-06-28,7.4
2016-06-29,7.48
2016-06-30,7.6
2016-07-01,7.59
2016-07-04,7.59
2016-07-05,7.55
2016-07-06,7.4
2016-07-07,7.4
2016-08-03,12.8
2016-08-04,12.8
2016-08-05,12.75
2016-08-08,12.75
2016-08-09,12.75
2016-08-10,12.75
2016-08-11,12.89
2016-08-12,12.85
2016-08-15,12.9
2016-08-16,12.85
2016-08-17,12.86
2016-08-18,12.9
2016-08-19,12.88
2016-08-22,12.97
2016-08-23,12.98
2016-08-24,12.99
2016-08-25,13.07
2016-08-26,12.99
2016-08-29,13.06
2016-08-30,13.06
2016-08-31,13.05
2016-09-01,13.04
2016-09-02,12.99
2016-09-05,13.0
2016-09-06,13.04
2016-09-07,13.02
2016-09-08,13.0
2016-09-09,13.01
2016-09-12,12.88
2016-09-13,12.92
2016-09-14,12.9
2016-09-15,12.9
2016-09-16,13.05
2016-09-19,13.06
2016-09-20,13.05
2016-09-21,13.05
2016-09-22,13.06
2016-09-23,13.1
2016-09-26,13.07
2016-09-27,13.11
2016-09-28,13.1
2016-09-29,13.1
2016-09-30,13.07
2016-10-03,13.12
2016-10-04,13.15
2016-10-05,13.1
2016-10-06,13.15
2016-10-07,13.1
2016-10-10,13.11
2016-10-11,13.1
2016-10-12,13.1
2016-10-13,13.1
2016-10-14,13.1
2016-10-17,13.1
2016-10-18,13.12
2016-10-19,13.1
2016-10-20,13.1
2016-10-21,13.1
2016-10-24,13.1
2016-10-25,13.1
2016-10-26,13.1
2016-10-27,12.92
2016-10-28,13.06
2016-10-31,13.1
2016-11-01,13.1
2016-11-03,13.1
2016-11-04,13.15
2016-11-07,13.02
2016-11-08,13.12
2016-11-09,13.1
2016-11-10,13.12
2016-11-11,13.13
2016-11-14,13.17
2016-11-15,13.15
2016-11-16,13.15
2016-11-17,13.15
2016-11-18,13.15
2016-11-21,13.15
2016-11-22,13.13
2016-11-23,13.13
2016-11-24,13.15
2016-11-25,13.13
2016-11-28,13.12
2016-11-29,13.15
2016-11-30,13.12
2016-12-01,13.12
2016-12-07,13.12
2016-12-08,13.14
2016-12-09,13.15
2016-12-12,13.02
2016-12-14,12.38
2016-12-19,13.1
2016-12-20,12.51
2016-12-21,13.06
2016-12-22,13.0
2016-12-27,13.2
2016-12-28,13.2
2016-12-29,13.5
2017-01-02,13.2
2017-01-03,13.31
2017-01-04,13.2
2017-01-05,13.2
2017-01-06,13.2
2017-01-09,13.2
2017-01-10,13.2
2017-01-12,13.2
2017-01-13,13.2
2017-01-16,13.2
2017-01-17,12.82
2017-01-20,14.0
2017-01-26,13.98
2017-01-27,13.7
2017-01-30,13.22
2017-01-31,13.26
2017-02-01,13.25
2017-02-02,13.25
2017-02-03,13.97
2017-02-06,13.27
2017-02-08,13.79
2017-02-13,13.5
2017-02-16,12.54
2017-02-17,13.2
2017-02-24,13.2
2017-02-27,13.2
2017-03-01,13.2
2017-03-08,12.93
2017-03-13,13.21
2017-03-14,13.2
2017-03-16,13.0
2017-03-17,13.2
2017-03-24,13.1
2017-03-27,13.1
2017-03-30,13.2
2017-03-31,13.2
2017-04-13,13.2
2017-04-18,12.75
2017-04-19,13.2
2017-04-24,13.5
2017-04-25,13.42
2017-04-26,13.21
2017-04-28,13.23
2017-05-03,13.62
2017-05-15,13.36
2017-05-16,13.36
2017-05-22,13.52
2017-06-07,13.86
2017-06-13,13.86
2017-06-14,13.24
2017-06-15,13.85
2017-06-16,13.31
2017-06-21,13.35
2017-06-29,13.35
2017-07-06,13.85
2017-07-10,13.22
2017-07-11,13.95
2017-07-17,14.96
2017-07-21,14.8
2017-07-24,14.76
2017-08-01,13.4
2017-08-08,13.38
2017-08-21,13.36
2017-08-25,13.37
2017-08-31,13.36
2017-09-26,13.42
2017-10-06,13.4
2017-10-19,13.2
2017-10-30,13.2
2017-11-01,13.99
2017-11-02,13.2
2017-11-06,13.2
2017-11-20,13.14
2017-11-24,12.02
2017-11-29,13.01
2017-12-11,13.15
2017-12-13,13.0
2017-12-14,13.01
2018-01-02,13.1
2018-01-03,13.1
2018-01-04,13.1
2018-01-05,13.5
2018-01-08,13.5
2018-01-09,13.5
2018-01-10,14.0
2018-01-15,13.2
2018-01-25,13.2
2018-01-26,13.1
2018-01-29,13.8
2018-02-06,14.6
2018-02-09,13.0
2018-02-19,13.0
2018-02-20,13.0
2018-02-23,13.0
2018-03-01,13.3
2018-03-20,13.0
2018-03-28,13.0
2018-04-05,13.0
2018-04-11,13.0
2018-04-13,13.0
2018-04-18,13.0
2018-04-30,13.1
2018-05-17,13.0
2018-05-18,13.9
2018-05-28,13.0
2018-06-12,13.0
2018-06-27,13.8
2018-06-28,13.6
2018-07-03,14.1
2018-07-04,14.1
2018-07-06,14.1
2018-07-09,14.5
2018-07-19,14.1
2018-07-23,14.1
2018-07-25,14.1
2018-07-26,14.1
2018-08-02,14.3
2018-08-06,14.3
2018-08-13,14.3
2018-08-23,12.0
2018-08-27,12.0
2018-09-03,13.0
2018-09-13,13.0
2018-09-14,14.4
2018-09-17,14.4
2018-09-20,14.4
2018-09-26,14.4
2018-09-27,14.4
2018-09-28,14.4
2018-10-01,14.6
2018-10-03,14.8
2018-10-10,14.8
2018-10-22,14.8
2018-10-26,12.0
2018-10-30,11.0
2018-10-31,13.2
2018-11-01,13.7
2018-11-08,13.8
2018-11-12,14.0
2018-11-29,15.4
2018-11-30,15.0
2018-12-03,14.6
2018-12-07,11.1
2018-12-27,11.1
2019-01-10,11.0
2019-01-14,11.0
2019-01-24,11.0
2019-03-14,10.2
2019-04-08,14.0
2019-04-15,12.0
2019-05-29,13.8
2019-06-20,13.7
2019-08-13,13.0
2019-08-19,9.5
2019-08-23,9.0
2019-08-29,9.25
2019-09-16,9.0
2019-09-26,9.0
2019-10-08,8.5
2019-10-16,6.8
2019-10-23,6.0
2019-11-25,5.1
2019-12-02,5.1
2019-12-05,7.1
2019-12-06,6.8
2019-12-13,6.05
2020-01-02,5.4
2020-01-09,3.5
2020-01-16,4.68
2020-01-17,6.1
2020-01-22,6.1
2020-01-24,6.1
2020-01-27,6.1
2020-02-06,5.8
2020-02-07,5.8
2020-02-21,6.4
2020-03-16,6.45
2020-03-25,6.45
2020-03-26,6.45
2020-03-27,6.0
2020-04-23,7.2
2020-04-30,7.1
2020-05-04,7.1
2020-05-18,6.7
2020-05-19,6.7
2020-05-20,6.8
2020-05-25,6.8
2020-06-04,7.8
2020-06-22,7.8
2020-06-23,9.95
2020-06-24,10.0
2020-06-26,6.5
2020-06-30,9.9
2020-07-01,9.6
2020-07-06,6.8
2020-07-07,6.85
2020-07-09,6.9
2020-07-10,7.5
2020-07-13,10.0
2020-07-20,8.0
2020-07-27,7.6
2020-07-28,6.8
2020-07-29,6.9
2020-07-31,7.95
2020-08-04,7.75
2020-09-04,4.1
2020-09-07,4.92
2020-09-11,5.0
2020-09-14,5.4
2020-09-15,5.4
2020-09-23,5.5
2020-10-08,5.6
2020-10-09,7.9
2020-10-12,8.0
2020-10-13,9.0
2020-10-14,8.0
2020-10-15,7.95
2020-11-02,9.3
2020-11-09,8.5
2020-11-26,2.24
2020-12-03,9.3
2020-12-04,7.2
2020-12-10,4.52
2020-12-14,5.4
2020-12-15,8.4
2020-12-17,6.75
2020-12-18,7.4
2020-12-21,8.3
2020-12-22,6.85
2020-12-24,6.85
2020-12-29,6.8
2020-12-30,7.8
2021-01-04,6.3
2021-01-05,7.25
2021-01-11,7.1
2021-01-13,6.5
2021-01-14,6.5
2021-01-15,6.55
2021-01-18,6.6
2021-01-20,6.7
2021-01-25,6.5
2021-01-26,6.3
2021-01-27,6.5
2021-02-01,6.6
2021-02-02,6.3
2021-02-03,6.35
2021-02-05,6.4
2021-02-08,7.65
2021-02-09,7.65
2021-02-11,7.6
2021-02-15,7.8
2021-02-16,8.7
2021-02-17,6.5
2021-02-18,7.9
2021-02-19,6.75
2021-02-22,7.6
2021-02-23,6.55
2021-02-25,6.75
2021-03-03,6.7
2021-03-04,6.7
2021-03-08,6.7
2021-03-10,6.7
2021-03-12,7.45
2021-03-15,6.75
2021-03-17,7.5
2021-03-18,7.5
2021-03-25,6.75
2021-03-26,6.7
2021-03-29,7.6
2021-03-30,7.0
2021-04-08,7.0
2021-04-12,7.5
2021-04-13,7.0
2021-04-14,6.5
2021-04-15,7.05
2021-04-16,7.45
2021-04-19,7.0
2021-04-23,7.0
2021-04-27,6.55
2021-04-30,6.5
2021-05-06,6.5
2021-05-11,6.0
2021-05-13,6.0
2021-05-14,6.0
2021-05-17,6.0
2021-05-18,6.3
2021-05-26,4.3
2021-05-27,5.8
2021-05-28,5.0
2021-05-31,5.7
2021-06-04,5.7
2021-06-07,5.7
2021-06-08,5.4
2021-06-09,5.0
2021-06-10,4.52
2021-06-11,5.9
2021-06-14,5.2
2021-06-15,6.5
2021-06-16,6.5
2021-06-18,6.5
2021-06-23,6.35
2021-06-25,5.35
2021-06-28,6.6
2021-06-29,6.6
2021-07-01,6.65
2021-07-02,6.65
2021-07-05,5.65
2021-07-13,6.65
2021-07-14,6.6
2021-07-15,5.7
2021-07-19,5.8
2021-07-27,5.75
2021-08-03,5.75
2021-08-09,5.3
2021-08-11,5.3
2021-08-12,5.35
2021-08-23,6.0
2021-08-24,5.45
2021-08-26,5.9
2021-08-30,5.95
2021-09-01,5.9
2021-09-03,5.4
2021-09-06,5.4
2021-09-07,6.0
2021-09-09,5.4
2021-09-13,6.4
2021-09-14,6.3
2021-09-15,6.4
2021-09-22,5.4
2021-09-23,5.35
2021-09-24,5.85
2021-09-28,5.35
2021-09-30,5.55
2021-10-04,5.3
2021-10-05,5.3
2021-10-07,5.3
2021-10-11,5.3
2021-10-13,5.3
2021-10-15,5.0
2021-10-18,5.35
2021-10-19,5.9
2021-10-20,5.7
2021-10-21,4.86
2021-10-22,4.92
2021-10-29,5.0
2021-11-03,5.1
2021-11-04,5.5
2021-11-05,5.5
2021-11-08,6.65
2021-11-09,5.45
2021-11-10,5.4
2021-11-11,5.8
2021-11-12,5.8
2021-11-15,5.4
2021-11-16,6.0
2021-11-17,5.3
2021-11-18,5.3
2021-11-19,5.45
2021-11-22,6.0
2021-11-23,6.0
2021-11-24,5.3
2021-11-25,5.35
2021-11-26,5.35
2021-11-30,5.35
2021-12-01,4.98
2021-12-02,4.98
2021-12-03,5.0
2021-12-08,5.0
2021-12-09,6.0
2021-12-10,6.0
2021-12-13,5.3
2021-12-14,5.4
2021-12-16,5.3
2021-12-17,5.3
2021-12-20,5.0
2021-12-21,5.0
2021-12-22,5.0
2021-12-23,5.3
2021-12-27,6.15
2021-12-28,6.15
2021-12-29,6.15
2021-12-30,6.15
2021-12-31,5.1
2022-01-06,5.3
2022-01-10,5.5
2022-01-11,5.5
2022-01-13,6.1
2022-01-14,6.1
2022-01-17,5.5
2022-01-24,5.2
2022-01-25,5.4
2022-01-27,5.25
2022-01-28,5.25
2022-01-31,5.25
2022-02-02,5.2
2022-02-03,5.2
2022-02-04,5.25
2022-02-07,6.0
2022-02-08,5.25
2022-02-09,5.35
2022-02-14,5.35
2022-02-15,5.35
2022-02-16,5.4
2022-02-17,5.4
2022-02-18,5.4
2022-02-21,5.4
2022-02-22,5.4
2022-02-23,5.4
2022-02-24,5.4
2022-02-25,5.4
2022-02-28,5.35
2022-03-01,5.35
2022-03-02,5.4
2022-03-03,5.35
2022-03-04,5.35
2022-03-07,5.35
2022-03-08,5.35
2022-03-09,5.35
2022-03-11,5.55
2022-03-14,5.5
2022-03-15,5.35
2022-03-16,5.35
2022-03-17,5.35
2022-03-18,5.35
2022-03-21,5.35
2022-03-23,5.35
2022-03-30,5.35
2022-04-07,4.6
2022-04-08,5.0
2022-04-11,5.75
2022-04-12,5.0
2022-04-27,5.0
2022-05-02,5.25
2022-05-13,5.0
2022-05-20,5.3
2022-05-25,5.3
2022-06-02,5.3
2022-06-07,5.5
2022-06-14,5.05
2022-06-24,5.15
2022-07-07,5.15
2022-07-18,5.05
2022-07-28,5.3
2022-08-03,5.2
2022-08-04,6.0
2022-08-15,6.0
2022-08-16,5.9
2022-09-02,5.05
2022-10-06,5.5
2022-10-20,5.05
2022-10-24,5.95
2022-10-25,5.0
2022-11-14,5.05
2022-11-18,5.9
2022-11-21,5.2
2022-11-28,5.2
2022-11-29,5.2
2022-11-30,5.05
2022-12-01,5.05
2022-12-02,5.05
2022-12-05,5.05
2022-12-06,5.05
2022-12-07,5.05
2022-12-08,5.05
2022-12-09,5.05
2022-12-12,5.05
2022-12-13,5.05
2022-12-14,5.05
2022-12-15,5.05
2022-12-16,5.05
2022-12-19,5.05
2022-12-20,5.05
2022-12-21,5.05
2022-12-22,5.05
2022-12-23,5.6
2022-12-27,4.5
2022-12-28,4.5
2022-12-29,4.5
2022-12-30,4.5
2023-01-02,4.5
2023-01-03,4.5
2023-01-04,4.5
2023-01-05,4.5
2023-01-06,4.5
2023-01-09,4.5
2023-01-10,4.5
2023-01-11,4.5
2023-01-12,5.0
2023-01-13,5.0
2023-01-16,5.0
2023-01-17,5.0
2023-01-18,4.76
2023-01-19,4.76
2023-01-20,4.76
2023-01-23,4.78
2023-01-24,4.78
2023-01-25,4.78
2023-01-26,5.6
2023-01-27,5.6
2023-01-30,4.96
2023-01-31,4.96
2023-02-01,4.1
2023-02-02,4.1
2023-02-03,4.1
2023-02-06,4.1
2023-02-07,4.1
2023-02-08,4.12
2023-02-09,4.12
2023-02-10,4.12
2023-02-13,4.12
2023-02-14,4.12
2023-02-15,4.4
2023-02-16,4.4
2023-02-17,4.4
2023-02-20,4.98
2023-02-21,4.98
2023-02-22,4.98
2023-02-23,4.98
2023-02-24,4.98
2023-02-27,4.98
2023-02-28,4.98
2023-03-01,4.98
2023-03-02,4.98
2023-03-03,4.5
2023-03-06,5.1
2023-03-07,5.1
2023-03-08,5.1
2023-03-09,5.05
2023-03-10,5.05
2023-03-13,5.05
2023-03-14,5.05
2023-03-15,4.22
2023-03-16,4.88
2023-03-17,4.88
2023-03-20,4.88
2023-03-21,4.3
2023-03-22,4.3
2023-03-23,4.3
2023-03-24,4.3
2023-03-27,4.3
2023-03-28,4.88
2023-03-29,4.88
2023-03-30,4.88
2023-03-31,4.88
2023-04-03,4.8
2023-04-04,4.8
2023-04-05,4.8
2023-04-06,4.8
2023-04-11,4.04
2023-04-12,4.02
2023-04-13,4.02
2023-04-14,4.1
2023-04-17,4.2
2023-04-18,4.2
2023-04-19,4.2
2023-04-20,4.2
2023-04-21,4.2
2023-04-24,4.2
2023-04-25,4.2
2023-04-26,4.2
2023-04-27,4.2
2023-04-28,4.2
2023-05-02,4.02
2023-05-03,4.02
2023-05-04,4.02
2023-05-05,4.02
2023-05-08,4.02
2023-05-09,4.02
2023-05-10,4.02
2023-05-11,4.02
2023-05-12,4.02
2023-05-15,4.58
2023-05-16,4.58
2023-05-17,4.58
2023-05-18,4.58
2023-05-19,4.58
2023-05-22,4.58
2023-05-23,4.58
2023-05-24,4.58
2023-05-25,4.58
2023-05-26,4.58
2023-05-29,4.7
2023-05-30,4.7
2023-05-31,4.7
2023-06-01,4.7
2023-06-02,4.7
2023-06-05,4.5
2023-06-06,4.5
2023-06-07,4.2
2023-06-08,4.2
2023-06-09,4.2
2023-06-12,4.2
2023-06-13,4.2
2023-06-14,4.94
2023-06-15,4.94
2023-06-16,4.1
2023-06-19,4.1
2023-06-20,4.1
2023-06-21,4.1
2023-06-22,4.3
2023-06-23,4.3
2023-06-26,4.3
2023-06-27,4.3
2023-06-28,4.3
2023-06-29,4.2
2023-06-30,4.2
2023-07-03,4.2
2023-07-04,4.2
2023-07-05,4.2
2023-07-06,4.02
2023-07-07,4.02
2023-07-10,4.04
2023-07-11,4.04
2023-07-12,4.04
2023-07-13,4.48
2023-07-14,4.48
2023-07-17,4.48
2023-07-18,4.0
2023-07-19,4.0
2023-07-20,4.0
2023-07-21,4.0
2023-07-24,4.0
2023-07-25,4.0
2023-07-26,4.0
2023-07-27,4.0
2023-07-28,4.0
2023-07-31,4.0
2023-08-01,4.0
2023-08-02,4.0
2023-08-03,4.0
2023-08-04,4.5
2023-08-07,4.5
2023-08-08,4.5
2023-08-09,4.5
2023-08-10,4.5
2023-08-11,4.5
2023-08-14,4.5
2023-08-15,4.5
2023-08-16,4.26
2023-08-17,4.26
2023-08-18,4.26
2023-08-21,4.26
2023-08-22,4.26
2023-08-23,4.26
2023-08-24,4.26
2023-08-25,4.26
2023-08-28,4.26
2023-08-29,4.26
2023-08-30,4.26
2023-08-31,4.28
2023-09-01,4.28
2023-09-04,3.98
2023-09-05,3.98
2023-09-06,3.98
2023-09-07,3.98
2023-09-08,3.98
2023-09-11,4.38
2023-09-12,3.76
2023-09-13,3.76
2023-09-14,4.38
2023-09-15,4.38
2023-09-18,4.38
2023-09-19,4.38
2023-09-20,4.38
2023-09-21,4.38
2023-09-22,4.38
2023-09-25,4.38
2023-09-26,4.38
2023-09-27,4.38
2023-09-28,4.38
2023-09-29,4.38
2023-10-02,4.3
2023-10-03,3.2
2023-10-04,3.2
2023-10-05,3.2
2023-10-06,3.2
2023-10-09,3.2
2023-10-10,3.2
2023-10-11,3.2
2023-10-12,3.2
2023-10-13,3.9
2023-10-16,4.48
2023-10-17,4.48
2023-10-18,3.5
2023-10-19,3.5
2023-10-20,3.5
2023-10-23,3.5
2023-10-24,3.5
2023-10-25,3.5
2023-10-26,3.5
2023-10-27,3.5
2023-10-30,3.5
2023-10-31,3.24
2023-11-01,3.24
2023-11-02,3.24
2023-11-03,3.24
2023-11-06,3.24
2023-11-07,3.24
2023-11-08,3.24
2023-11-09,3.24
2023-11-10,3.24
2023-11-13,3.24
2023-11-14,3.24
2023-11-15,3.24
2023-11-16,3.2
2023-11-17,3.2
2023-11-20,3.2
2023-11-21,3.2
2023-11-22,3.2
2023-11-23,3.2
2023-11-24,3.2
2023-11-27,3.2
2023-11-28,3.2
2023-11-29,3.2
2023-11-30,3.2
2023-12-01,3.2
2023-12-04,3.2
2023-12-05,3.2
2023-12-06,3.2
2023-12-07,3.2
2023-12-08,3.2
2023-12-11,3.2
2023-12-12,3.2
2023-12-13,3.2
2023-12-14,3.2
2023-12-15,4.46
2023-12-18,4.38
2023-12-19,4.38
2023-12-20,4.38
2023-12-21,4.38
2023-12-22,4.38
2023-12-27,4.38
2023-12-28,4.38
2023-12-29,4.4
2024-01-02,4.4
2024-01-03,4.4
2024-01-04,4.4
2024-01-05,4.4
2024-01-08,4.4
2024-01-09,4.4
2024-01-10,4.4
2024-01-11,4.4
2024-01-12,4.4
2024-01-15,4.4
2024-01-16,4.4
2024-01-17,4.4
2024-01-18,4.4
2024-01-19,4.4
2024-01-22,4.4
2024-01-23,4.4
2024-01-24,4.4
2024-01-25,4.4
2024-01-26,4.4
2024-01-29,4.4
2024-01-30,4.4
2024-01-31,4.4
2024-02-01,4.4
2024-02-02,4.4
2024-02-05,3.8
2024-02-06,3.8
2024-02-07,3.8
2024-02-08,3.8
2024-02-09,3.8
2024-02-12,3.8
2024-02-13,3.8
2024-02-14,3.8
2024-02-15,3.8
2024-02-16,3.8
2024-02-19,3.8
2024-02-20,3.8
2024-02-21,3.8
2024-02-22,3.8
2024-02-23,3.8
2024-02-26,3.8
2024-02-27,3.8
2024-02-28,3.22
2024-02-29,3.22
2024-03-01,3.22
2024-03-04,3.22
2024-03-05,4.4
2024-03-06,3.34
2024-03-07,3.34
2024-03-08,4.4
2024-03-11,3.62
2024-03-12,3.62
2024-03-13,3.62
2024-03-14,3.62
2024-03-15,3.62
2024-03-18,4.0
2024-03-19,4.0
2024-03-20,4.0
2024-03-21,4.0
2024-03-22,3.62
2024-03-25,3.62
2024-03-26,3.62
2024-03-27,3.62
2024-03-28,3.62
2024-04-02,3.62
2024-04-03,3.36
2024-04-04,3.36
2024-04-05,3.36
2024-04-08,4.0
2024-04-09,4.0
2024-04-10,4.0
2024-04-11,4.0
2024-04-12,3.5
2024-04-15,3.5
2024-04-16,3.5
2024-04-17,3.5
2024-04-18,4.0
2024-04-19,3.5
2024-04-22,3.5
