,FIPP FP Equity_DX_SI_QTY,FIPP FP Equity_DX_SHORT_INTEREST_VALUE,FIPP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,FIPP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FIPP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FIPP FP Equity_DX_SI_MV,FIPP FP Equity_DX_DSS,FIPP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FIPP FP Equity_DX_SUPPLY_SI_QTY,FIPP FP Equity_DX_BROKER_SI_QTY,FIPP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FIPP FP Equity_DX_SUPPLY_SI_QTY_INC_x,FIPP FP Equity_DX_BROKER_SI_MV_INC_x,FIPP FP Equity_DX_BROKER_SI_QTY_ADD,FIPP FP Equity_DX_SUPPLY_SI_MV_DEC,FIPP FP Equity_DX_BROKER_SI_QTY_INC,FIPP FP Equity_DX_SUPPLY_SI_QTY_DEC,FIPP FP Equity_DX_BROKER_SI_MV_INC_y,FIPP FP Equity_DX_SUPPLY_SI_QTY_INC_y,FIPP FP Equity_DX_BROKER_SI_MV_ADD,FIPP FP Equity_DX_SUPPLY_SI_QTY_ADD,FIPP FP Equity_DX_BROKER_SI_QTY_DEC,FIPP FP Equity_DX_SUPPLY_SI_MV,FIPP FP Equity_DX_BROKER_SI_MV_DEC,FIPP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FIPP FP Equity_DX_UTILIZATION_QUANTITY,FIPP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FIPP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FIPP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FIPP FP Equity_DX_ACTIVE_UTILIZATION_MV,FIPP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,FIPP FP Equity_DX_BROKER_SI_CON_RATIO,FIPP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,FIPP FP Equity_DX_DEMAND_SUPPLY_RATIO,FIPP FP Equity_PX_LAST
1992-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6348
1992-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6972
1992-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8511
1992-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0889
1992-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4029
1992-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.098
1992-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7931
1992-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9455
1992-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.098
1992-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9455
1992-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.098
1993-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.098
1993-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.098
1993-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.098
1993-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.098
1993-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.098
1993-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7154
1993-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0508
1993-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7078
1993-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7078
1993-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0431
1993-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3938
1993-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6225
1993-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7749
1993-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7825
1993-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7825
1993-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5753
1993-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4518
1993-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4123
1993-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4275
1993-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6714
1993-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6714
1993-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6714
1993-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6714
1993-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3665
1993-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3665
1993-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3589
1993-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.266
1993-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7095
1993-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7995
1993-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1959
1993-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.446
1993-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7876
1993-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7876
1993-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.312
1993-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7694
1993-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1382
1993-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1778
1993-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1778
1993-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4827
1993-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2068
1993-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4827
1993-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3302
1993-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7876
1993-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7876
1993-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7876
1993-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7876
1993-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7876
1993-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7876
1993-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7876
1993-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2449
1993-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2449
1993-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5498
1993-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1353
1993-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2267
1993-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9951
1993-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9313
1993-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0808
1993-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4437
1993-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0506
1993-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4531
1993-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5871
1993-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0107
1993-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6782
1993-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4953
1993-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5625
1993-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6296
1993-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7149
1993-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7454
1993-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0198
1993-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0198
1993-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0198
1993-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8674
1993-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8674
1993-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0107
1993-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1541
1993-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7149
1993-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1051
1993-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1051
1993-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8674
1993-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1541
1993-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3737
1993-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7516
1993-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7516
1993-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1541
1993-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7152
1993-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5355
1993-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5203
1993-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4898
1993-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4898
1993-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9653
1993-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1178
1993-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4898
1993-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1849
1993-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2644
1993-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3863
1993-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7859
1993-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5362
1993-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6676
1993-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2592
1993-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2592
1993-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8872
1993-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2592
1993-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2592
1993-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7347
1993-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2592
1993-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2592
1993-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8508
1993-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0214
1993-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.918
1993-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3572
1993-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3572
1993-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3082
1993-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3082
1993-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7837
1993-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7347
1993-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7347
1993-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7347
1993-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2832
1993-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2738
1993-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.085
1993-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6367
1993-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7798
1993-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4386
1993-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5878
1993-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5878
1993-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0205
1993-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4898
1994-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6423
1994-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7675
1994-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2128
1994-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35
1994-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35
1994-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2099
1994-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1123
1994-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1641
1994-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1123
1994-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6367
1994-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.652
1994-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1612
1994-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.652
1994-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.652
1994-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.652
1994-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9598
1994-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35
1994-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7217
1994-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5388
1994-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9689
1994-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1123
1994-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35
1994-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35
1994-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35
1994-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35
1994-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1275
1994-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1123
1994-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35
1994-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2157
1994-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.301
1994-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.301
1994-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0633
1994-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1123
1994-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2465
1994-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6857
1994-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6367
1994-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6367
1994-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7798
1994-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8255
1994-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1123
1994-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1123
1994-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2066
1994-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6731
1994-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0633
1994-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8803
1994-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6912
1994-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.929
1994-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.929
1994-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5021
1994-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6241
1994-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5021
1994-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5479
1994-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8713
1994-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1638
1994-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4716
1994-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3192
1994-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1577
1994-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1577
1994-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5388
1994-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0633
1994-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.048
1994-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.048
1994-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5388
1994-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5388
1994-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5388
1994-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5388
1994-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5388
1994-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6912
1994-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.048
1994-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0633
1994-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0633
1994-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0633
1994-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0633
1994-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9108
1994-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5388
1994-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5388
1994-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5388
1994-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5388
1994-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0633
1994-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5388
