,ALPLA FP Equity_DX_SI_QTY,ALPLA FP Equity_DX_SHORT_INTEREST_VALUE,ALPLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPLA FP Equity_DX_SI_MV,ALPLA FP Equity_DX_DSS,ALPLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPLA FP Equity_DX_SUPPLY_SI_QTY,ALPLA FP Equity_DX_BROKER_SI_QTY,ALPLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPLA FP Equity_DX_BROKER_SI_QTY_ADD,ALPLA FP Equity_DX_SUPPLY_SI_MV_DEC,ALPLA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPLA FP Equity_DX_BROKER_SI_MV_ADD,ALPLA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPLA FP Equity_DX_BROKER_SI_QTY_DEC,ALPLA FP Equity_DX_SUPPLY_SI_MV,ALPLA FP Equity_DX_BROKER_SI_MV_DEC,ALPLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPLA FP Equity_DX_UTILIZATION_QUANTITY,ALPLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPLA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPLA FP Equity_DX_BROKER_SI_CON_RATIO,ALPLA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPLA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPLA FP Equity_PX_LAST
2005-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2005-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2005-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85
2005-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2005-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2005-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2005-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2005-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2005-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17
2005-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2005-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2005-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2005-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2006-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2006-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2006-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15
2006-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16
2006-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15
2006-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2006-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2006-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2006-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95
2006-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96
2006-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61
2006-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2006-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2006-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01
2006-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39
2006-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39
2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39
2006-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2006-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
2006-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
2006-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2006-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2006-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2006-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2006-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2006-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2006-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2006-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2006-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.59
2006-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2006-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2006-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2006-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2006-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2006-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2006-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2006-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11
2006-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2006-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2006-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2006-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2006-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2006-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2006-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
2006-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
2006-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11
2006-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2006-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06
2006-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2006-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2006-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2006-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.21
2006-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05
2006-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05
2006-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2006-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2006-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2006-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2006-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2006-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2006-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2006-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81
2006-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96
2006-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95
2006-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95
2006-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95
2006-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95
2006-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85
2006-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2006-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61
2006-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2006-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2006-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76
2006-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2006-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78
2006-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2006-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2006-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2006-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2006-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2006-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2006-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2006-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2006-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71
2006-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51
2006-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2006-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55
2006-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63
2006-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63
2006-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2006-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2006-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2006-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2006-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2006-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2006-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2006-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72
2006-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71
2006-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2006-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52
2006-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97
2006-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2006-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09
2006-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2006-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2006-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55
2006-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2006-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49
2006-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2006-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2006-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2006-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25
2006-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2006-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2006-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2006-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2006-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92
2006-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2006-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2006-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2006-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2006-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2006-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2006-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2006-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2006-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2006-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2006-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48
2006-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14
2006-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2006-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2006-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2006-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2006-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2006-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2006-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53
2006-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2006-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2006-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2006-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55
2006-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2006-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
2006-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2006-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2006-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2006-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2006-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2006-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2006-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2006-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2006-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55
2006-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2006-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2006-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32
2006-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35
2006-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58
2006-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2006-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53
2006-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2006-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33
2006-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35
2006-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36
2006-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
2006-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
2006-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58
2006-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57
2006-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2006-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59
2006-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
2006-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39
2006-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33
2006-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
2006-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35
2006-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33
2006-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49
2006-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
2006-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
2006-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2006-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2006-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2006-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18
2006-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11
2006-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11
2006-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11
