,ALNSC FP Equity_DX_SI_QTY,ALNSC FP Equity_DX_SHORT_INTEREST_VALUE,ALNSC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALNSC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALNSC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALNSC FP Equity_DX_SI_MV,ALNSC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALNSC FP Equity_DX_SUPPLY_SI_QTY,ALNSC FP Equity_DX_BROKER_SI_QTY,ALNSC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALNSC FP Equity_DX_SUPPLY_SI_MV,ALNSC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALNSC FP Equity_DX_UTILIZATION_QUANTITY,ALNSC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALNSC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALNSC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALNSC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALNSC FP Equity_DX_BROKER_SI_CON_RATIO,ALNSC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALNSC FP Equity_PX_LAST
1990-08-21,,,,,,,,,,,,,,,,,,,,210.9894
1990-08-22,,,,,,,,,,,,,,,,,,,,210.3796
1990-08-23,,,,,,,,,,,,,,,,,,,,211.7517
1990-08-24,,,,,,,,,,,,,,,,,,,,212.6664
1990-08-27,,,,,,,,,,,,,,,,,,,,219.3741
1990-08-28,,,,,,,,,,,,,,,,,,,,226.3868
1990-08-29,,,,,,,,,,,,,,,,,,,,230.198
1990-08-30,,,,,,,,,,,,,,,,,,,,228.6735
1990-08-31,,,,,,,,,,,,,,,,,,,,228.6735
1990-09-03,,,,,,,,,,,,,,,,,,,,230.198
1990-09-04,,,,,,,,,,,,,,,,,,,,229.4358
1990-09-05,,,,,,,,,,,,,,,,,,,,236.296
1990-09-06,,,,,,,,,,,,,,,,,,,,229.4358
1990-09-07,,,,,,,,,,,,,,,,,,,,228.6735
1990-09-10,,,,,,,,,,,,,,,,,,,,229.4358
1990-09-11,,,,,,,,,,,,,,,,,,,,228.6735
1990-09-12,,,,,,,,,,,,,,,,,,,,228.6735
1990-09-13,,,,,,,,,,,,,,,,,,,,228.6735
1990-09-14,,,,,,,,,,,,,,,,,,,,204.8915
1990-09-17,,,,,,,,,,,,,,,,,,,,198.7935
1990-09-18,,,,,,,,,,,,,,,,,,,,196.6592
1990-09-19,,,,,,,,,,,,,,,,,,,,196.5068
1990-09-20,,,,,,,,,,,,,,,,,,,,190.5613
1990-09-21,,,,,,,,,,,,,,,,,,,,184.9207
1990-09-24,,,,,,,,,,,,,,,,,,,,182.9388
1990-09-25,,,,,,,,,,,,,,,,,,,,175.6213
1990-09-26,,,,,,,,,,,,,,,,,,,,170.7429
1990-09-27,,,,,,,,,,,,,,,,,,,,170.7429
1990-09-28,,,,,,,,,,,,,,,,,,,,163.8827
1990-10-01,,,,,,,,,,,,,,,,,,,,163.8827
1990-10-02,,,,,,,,,,,,,,,,,,,,170.438
1990-10-03,,,,,,,,,,,,,,,,,,,,167.6939
1990-10-04,,,,,,,,,,,,,,,,,,,,163.8827
1990-10-05,,,,,,,,,,,,,,,,,,,,157.3274
1990-10-08,,,,,,,,,,,,,,,,,,,,158.547
1990-10-09,,,,,,,,,,,,,,,,,,,,152.449
1990-10-11,,,,,,,,,,,,,,,,,,,,152.449
1990-10-12,,,,,,,,,,,,,,,,,,,,146.3511
1990-10-16,,,,,,,,,,,,,,,,,,,,152.449
1990-10-17,,,,,,,,,,,,,,,,,,,,152.449
1990-10-18,,,,,,,,,,,,,,,,,,,,150.0098
1990-10-19,,,,,,,,,,,,,,,,,,,,144.8266
1990-10-22,,,,,,,,,,,,,,,,,,,,140.558
1990-10-23,,,,,,,,,,,,,,,,,,,,136.2894
1990-10-24,,,,,,,,,,,,,,,,,,,,141.6251
1990-10-25,,,,,,,,,,,,,,,,,,,,141.7776
1990-10-26,,,,,,,,,,,,,,,,,,,,136.4419
1990-10-29,,,,,,,,,,,,,,,,,,,,136.4419
1990-10-30,,,,,,,,,,,,,,,,,,,,136.4419
1990-10-31,,,,,,,,,,,,,,,,,,,,135.5272
1990-11-02,,,,,,,,,,,,,,,,,,,,130.1915
1990-11-05,,,,,,,,,,,,,,,,,,,,125.0082
1990-11-06,,,,,,,,,,,,,,,,,,,,126.5327
1990-11-07,,,,,,,,,,,,,,,,,,,,126.5327
1990-11-08,,,,,,,,,,,,,,,,,,,,125.0082
1990-11-09,,,,,,,,,,,,,,,,,,,,125.0082
1990-11-12,,,,,,,,,,,,,,,,,,,,121.3494
1990-11-13,,,,,,,,,,,,,,,,,,,,120.4347
1990-11-14,,,,,,,,,,,,,,,,,,,,115.5564
1990-11-15,,,,,,,,,,,,,,,,,,,,118.9102
1990-11-16,,,,,,,,,,,,,,,,,,,,115.7088
1990-11-19,,,,,,,,,,,,,,,,,,,,118.9102
1990-11-20,,,,,,,,,,,,,,,,,,,,121.9592
1990-11-21,,,,,,,,,,,,,,,,,,,,118.9102
1990-11-22,,,,,,,,,,,,,,,,,,,,118.9102
1990-11-23,,,,,,,,,,,,,,,,,,,,117.3857
1990-11-26,,,,,,,,,,,,,,,,,,,,115.8613
1990-11-27,,,,,,,,,,,,,,,,,,,,115.8613
1990-11-28,,,,,,,,,,,,,,,,,,,,117.3857
1990-11-29,,,,,,,,,,,,,,,,,,,,117.3857
1990-11-30,,,,,,,,,,,,,,,,,,,,117.3857
1990-12-03,,,,,,,,,,,,,,,,,,,,119.6725
1990-12-04,,,,,,,,,,,,,,,,,,,,123.4837
1990-12-05,,,,,,,,,,,,,,,,,,,,127.9047
1990-12-06,,,,,,,,,,,,,,,,,,,,133.088
1990-12-07,,,,,,,,,,,,,,,,,,,,134.9174
1990-12-10,,,,,,,,,,,,,,,,,,,,134.1551
1990-12-11,,,,,,,,,,,,,,,,,,,,137.2041
1990-12-12,,,,,,,,,,,,,,,,,,,,134.1551
1990-12-13,,,,,,,,,,,,,,,,,,,,131.1062
1990-12-14,,,,,,,,,,,,,,,,,,,,131.1062
1990-12-17,,,,,,,,,,,,,,,,,,,,132.6306
1990-12-18,,,,,,,,,,,,,,,,,,,,130.9537
1990-12-19,,,,,,,,,,,,,,,,,,,,129.2768
1990-12-20,,,,,,,,,,,,,,,,,,,,128.8194
1990-12-27,,,,,,,,,,,,,,,,,,,,119.6725
1990-12-28,,,,,,,,,,,,,,,,,,,,115.8613
1991-01-02,,,,,,,,,,,,,,,,,,,,114.3368
1991-01-03,,,,,,,,,,,,,,,,,,,,118.9102
1991-01-04,,,,,,,,,,,,,,,,,,,,123.6362
1991-01-07,,,,,,,,,,,,,,,,,,,,128.667
1991-01-08,,,,,,,,,,,,,,,,,,,,133.6978
1991-01-09,,,,,,,,,,,,,,,,,,,,128.8194
1991-01-15,,,,,,,,,,,,,,,,,,,,117.5382
1991-01-16,,,,,,,,,,,,,,,,,,,,112.8123
1991-01-17,,,,,,,,,,,,,,,,,,,,117.0808
1991-01-18,,,,,,,,,,,,,,,,,,,,120.5872
1991-01-21,,,,,,,,,,,,,,,,,,,,117.3857
1991-01-22,,,,,,,,,,,,,,,,,,,,114.3368
1991-01-23,,,,,,,,,,,,,,,,,,,,109.7633
1991-01-24,,,,,,,,,,,,,,,,,,,,112.6598
1991-01-25,,,,,,,,,,,,,,,,,,,,107.0192
1991-01-28,,,,,,,,,,,,,,,,,,,,107.0192
1991-01-29,,,,,,,,,,,,,,,,,,,,103.6653
1991-01-30,,,,,,,,,,,,,,,,,,,,107.3241
1991-01-31,,,,,,,,,,,,,,,,,,,,111.2878
1991-02-04,,,,,,,,,,,,,,,,,,,,106.5619
1991-02-05,,,,,,,,,,,,,,,,,,,,106.5619
1991-02-06,,,,,,,,,,,,,,,,,,,,106.7143
1991-02-07,,,,,,,,,,,,,,,,,,,,102.4457
1991-02-08,,,,,,,,,,,,,,,,,,,,101.9884
1991-02-12,,,,,,,,,,,,,,,,,,,,101.9884
1991-02-13,,,,,,,,,,,,,,,,,,,,102.1408
1991-02-14,,,,,,,,,,,,,,,,,,,,102.1408
1991-02-15,,,,,,,,,,,,,,,,,,,,102.1408
1991-02-18,,,,,,,,,,,,,,,,,,,,102.1408
1991-02-19,,,,,,,,,,,,,,,,,,,,102.1408
1991-02-20,,,,,,,,,,,,,,,,,,,,102.1408
1991-02-21,,,,,,,,,,,,,,,,,,,,103.9702
1991-02-22,,,,,,,,,,,,,,,,,,,,105.1898
1991-02-25,,,,,,,,,,,,,,,,,,,,106.7143
1991-02-26,,,,,,,,,,,,,,,,,,,,110.678
1991-02-27,,,,,,,,,,,,,,,,,,,,112.3549
1991-02-28,,,,,,,,,,,,,,,,,,,,114.3368
1991-03-01,,,,,,,,,,,,,,,,,,,,114.3368
1991-03-11,,,,,,,,,,,,,,,,,,,,144.8266
1991-03-14,,,,,,,,,,,,,,,,,,,,155.0407
1991-03-15,,,,,,,,,,,,,,,,,,,,152.449
1991-03-18,,,,,,,,,,,,,,,,,,,,152.1441
1991-03-19,,,,,,,,,,,,,,,,,,,,150.9245
1991-03-20,,,,,,,,,,,,,,,,,,,,147.8755
1991-03-21,,,,,,,,,,,,,,,,,,,,147.8755
1991-03-22,,,,,,,,,,,,,,,,,,,,144.8266
1991-03-25,,,,,,,,,,,,,,,,,,,,147.8755
1991-03-26,,,,,,,,,,,,,,,,,,,,144.8266
1991-03-27,,,,,,,,,,,,,,,,,,,,144.6741
1991-03-28,,,,,,,,,,,,,,,,,,,,143.3021
1991-04-02,,,,,,,,,,,,,,,,,,,,143.9119
1991-04-03,,,,,,,,,,,,,,,,,,,,143.9119
1991-04-04,,,,,,,,,,,,,,,,,,,,141.7776
1991-04-05,,,,,,,,,,,,,,,,,,,,141.93
1991-04-09,,,,,,,,,,,,,,,,,,,,137.2041
1991-04-10,,,,,,,,,,,,,,,,,,,,141.7776
1991-04-11,,,,,,,,,,,,,,,,,,,,143.3021
1991-04-12,,,,,,,,,,,,,,,,,,,,140.2531
1991-04-15,,,,,,,,,,,,,,,,,,,,134.6125
1991-04-17,,,,,,,,,,,,,,,,,,,,137.2041
1991-04-18,,,,,,,,,,,,,,,,,,,,139.4909
1991-04-19,,,,,,,,,,,,,,,,,,,,137.2041
1991-04-23,,,,,,,,,,,,,,,,,,,,137.2041
1991-04-30,,,,,,,,,,,,,,,,,,,,116.471
1991-05-06,,,,,,,,,,,,,,,,,,,,105.1898
1991-05-07,,,,,,,,,,,,,,,,,,,,106.7143
1991-05-10,,,,,,,,,,,,,,,,,,,,106.7143
1991-05-13,,,,,,,,,,,,,,,,,,,,106.4094
1991-05-14,,,,,,,,,,,,,,,,,,,,106.7143
1991-05-15,,,,,,,,,,,,,,,,,,,,106.7143
1991-05-16,,,,,,,,,,,,,,,,,,,,106.7143
1991-05-17,,,,,,,,,,,,,,,,,,,,105.9521
1991-05-21,,,,,,,,,,,,,,,,,,,,105.9521
1991-05-22,,,,,,,,,,,,,,,,,,,,106.7143
1991-05-23,,,,,,,,,,,,,,,,,,,,105.1898
1991-05-24,,,,,,,,,,,,,,,,,,,,102.1408
1991-05-27,,,,,,,,,,,,,,,,,,,,102.1408
1991-05-28,,,,,,,,,,,,,,,,,,,,104.58
1991-05-29,,,,,,,,,,,,,,,,,,,,100.7688
1991-05-30,,,,,,,,,,,,,,,,,,,,99.2443
1991-05-31,,,,,,,,,,,,,,,,,,,,102.1408
1991-06-03,,,,,,,,,,,,,,,,,,,,102.1408
1991-06-04,,,,,,,,,,,,,,,,,,,,98.9394
1991-06-05,,,,,,,,,,,,,,,,,,,,100.4639
1991-06-06,,,,,,,,,,,,,,,,,,,,100.4639
1991-06-07,,,,,,,,,,,,,,,,,,,,101.8359
1991-06-10,,,,,,,,,,,,,,,,,,,,101.6835
1991-06-11,,,,,,,,,,,,,,,,,,,,102.1408
1991-06-12,,,,,,,,,,,,,,,,,,,,102.1408
1991-06-13,,,,,,,,,,,,,,,,,,,,100.6164
1991-06-14,,,,,,,,,,,,,,,,,,,,100.6164
1991-06-17,,,,,,,,,,,,,,,,,,,,99.0919
1991-06-18,,,,,,,,,,,,,,,,,,,,100.6164
1991-06-19,,,,,,,,,,,,,,,,,,,,102.1408
1991-06-20,,,,,,,,,,,,,,,,,,,,100.4639
1991-06-21,,,,,,,,,,,,,,,,,,,,95.4331
1991-06-24,,,,,,,,,,,,,,,,,,,,97.11
1991-06-25,,,,,,,,,,,,,,,,,,,,96.8051
1991-06-26,,,,,,,,,,,,,,,,,,,,96.0429
1991-06-27,,,,,,,,,,,,,,,,,,,,92.2317
1991-06-28,,,,,,,,,,,,,,,,,,,,91.4694
1991-07-01,,,,,,,,,,,,,,,,,,,,88.268
1991-07-02,,,,,,,,,,,,,,,,,,,,87.9631
1991-07-03,,,,,,,,,,,,,,,,,,,,85.3714
1991-07-04,,,,,,,,,,,,,,,,,,,,84.6092
1991-07-05,,,,,,,,,,,,,,,,,,,,83.847
1991-07-08,,,,,,,,,,,,,,,,,,,,86.8959
1991-07-09,,,,,,,,,,,,,,,,,,,,87.6582
1991-07-10,,,,,,,,,,,,,,,,,,,,87.3533
1991-07-11,,,,,,,,,,,,,,,,,,,,87.3533
1991-07-12,,,,,,,,,,,,,,,,,,,,88.7253
1991-07-15,,,,,,,,,,,,,,,,,,,,86.2861
1991-07-16,,,,,,,,,,,,,,,,,,,,86.2861
1991-07-17,,,,,,,,,,,,,,,,,,,,86.2861
1991-07-18,,,,,,,,,,,,,,,,,,,,86.4386
1991-07-19,,,,,,,,,,,,,,,,,,,,85.3714
1991-07-23,,,,,,,,,,,,,,,,,,,,91.4694
1991-07-24,,,,,,,,,,,,,,,,,,,,94.2135
1991-07-25,,,,,,,,,,,,,,,,,,,,96.0429
1991-07-26,,,,,,,,,,,,,,,,,,,,98.1772
1991-07-29,,,,,,,,,,,,,,,,,,,,98.3296
1991-08-01,,,,,,,,,,,,,,,,,,,,110.5255
1991-08-02,,,,,,,,,,,,,,,,,,,,110.678
1991-08-05,,,,,,,,,,,,,,,,,,,,110.8304
1991-08-07,,,,,,,,,,,,,,,,,,,,109.7633
1991-08-08,,,,,,,,,,,,,,,,,,,,111.2878
1991-08-09,,,,,,,,,,,,,,,,,,,,109.7633
1991-08-12,,,,,,,,,,,,,,,,,,,,109.7633
1991-08-13,,,,,,,,,,,,,,,,,,,,109.7633
1991-08-14,,,,,,,,,,,,,,,,,,,,105.9521
1991-08-21,,,,,,,,,,,,,,,,,,,,97.5674
1991-08-22,,,,,,,,,,,,,,,,,,,,97.5674
1991-08-23,,,,,,,,,,,,,,,,,,,,96.5002
1991-08-26,,,,,,,,,,,,,,,,,,,,96.5002
1991-08-27,,,,,,,,,,,,,,,,,,,,96.6527
1991-08-28,,,,,,,,,,,,,,,,,,,,100.4639
1991-08-29,,,,,,,,,,,,,,,,,,,,102.1408
1991-09-04,,,,,,,,,,,,,,,,,,,,111.2878
1991-09-05,,,,,,,,,,,,,,,,,,,,107.9339
1991-09-06,,,,,,,,,,,,,,,,,,,,104.7325
1991-09-09,,,,,,,,,,,,,,,,,,,,104.7325
1991-09-10,,,,,,,,,,,,,,,,,,,,104.7325
1991-09-11,,,,,,,,,,,,,,,,,,,,100.6164
1991-09-12,,,,,,,,,,,,,,,,,,,,102.1408
1991-09-16,,,,,,,,,,,,,,,,,,,,99.2443
1991-09-17,,,,,,,,,,,,,,,,,,,,99.0919
1991-09-18,,,,,,,,,,,,,,,,,,,,99.0919
1991-09-19,,,,,,,,,,,,,,,,,,,,99.0919
1991-09-20,,,,,,,,,,,,,,,,,,,,95.2806
1991-09-23,,,,,,,,,,,,,,,,,,,,95.2806
1991-09-24,,,,,,,,,,,,,,,,,,,,99.0919
1991-09-25,,,,,,,,,,,,,,,,,,,,100.9212
1991-09-26,,,,,,,,,,,,,,,,,,,,99.0919
1991-09-27,,,,,,,,,,,,,,,,,,,,99.0919
1991-09-30,,,,,,,,,,,,,,,,,,,,95.4331
1991-10-02,,,,,,,,,,,,,,,,,,,,99.0919
1991-10-03,,,,,,,,,,,,,,,,,,,,96.1953
1991-10-04,,,,,,,,,,,,,,,,,,,,96.0429
1991-10-07,,,,,,,,,,,,,,,,,,,,95.4331
1991-10-08,,,,,,,,,,,,,,,,,,,,95.2806
1991-10-09,,,,,,,,,,,,,,,,,,,,91.4694
1991-10-10,,,,,,,,,,,,,,,,,,,,91.6219
1991-10-11,,,,,,,,,,,,,,,,,,,,94.2135
1991-10-14,,,,,,,,,,,,,,,,,,,,91.4694
1991-10-15,,,,,,,,,,,,,,,,,,,,88.1155
1991-10-16,,,,,,,,,,,,,,,,,,,,86.1337
1991-10-17,,,,,,,,,,,,,,,,,,,,84.1519
1991-10-18,,,,,,,,,,,,,,,,,,,,83.847
1991-10-21,,,,,,,,,,,,,,,,,,,,83.3896
1991-10-22,,,,,,,,,,,,,,,,,,,,83.3896
1991-10-23,,,,,,,,,,,,,,,,,,,,83.3896
1991-10-24,,,,,,,,,,,,,,,,,,,,81.5602
1991-10-25,,,,,,,,,,,,,,,,,,,,80.798
1991-10-28,,,,,,,,,,,,,,,,,,,,80.798
1991-10-29,,,,,,,,,,,,,,,,,,,,80.798
1991-10-30,,,,,,,,,,,,,,,,,,,,83.9994
1991-10-31,,,,,,,,,,,,,,,,,,,,84.1519
1991-11-07,,,,,,,,,,,,,,,,,,,,96.0429
1991-11-08,,,,,,,,,,,,,,,,,,,,92.2317
1991-11-14,,,,,,,,,,,,,,,,,,,,82.3225
1991-11-15,,,,,,,,,,,,,,,,,,,,83.0847
1991-11-18,,,,,,,,,,,,,,,,,,,,85.5239
1991-11-19,,,,,,,,,,,,,,,,,,,,86.2861
1991-11-20,,,,,,,,,,,,,,,,,,,,86.1337
1991-11-21,,,,,,,,,,,,,,,,,,,,85.3714
1991-11-22,,,,,,,,,,,,,,,,,,,,84.6092
1991-11-25,,,,,,,,,,,,,,,,,,,,84.6092
1991-11-26,,,,,,,,,,,,,,,,,,,,85.3714
1991-11-27,,,,,,,,,,,,,,,,,,,,85.3714
1991-11-28,,,,,,,,,,,,,,,,,,,,85.3714
1991-11-29,,,,,,,,,,,,,,,,,,,,84.6092
1991-12-02,,,,,,,,,,,,,,,,,,,,81.5602
1991-12-03,,,,,,,,,,,,,,,,,,,,80.798
1991-12-04,,,,,,,,,,,,,,,,,,,,80.6455
1991-12-05,,,,,,,,,,,,,,,,,,,,76.9868
1991-12-06,,,,,,,,,,,,,,,,,,,,76.9868
1991-12-09,,,,,,,,,,,,,,,,,,,,75.4623
1991-12-10,,,,,,,,,,,,,,,,,,,,71.8035
1991-12-11,,,,,,,,,,,,,,,,,,,,64.8671
1991-12-12,,,,,,,,,,,,,,,,,,,,67.8398
1991-12-13,,,,,,,,,,,,,,,,,,,,65.5531
1991-12-16,,,,,,,,,,,,,,,,,,,,68.6021
1991-12-17,,,,,,,,,,,,,,,,,,,,62.5041
1991-12-18,,,,,,,,,,,,,,,,,,,,68.6021
1991-12-19,,,,,,,,,,,,,,,,,,,,61.9705
1991-12-20,,,,,,,,,,,,,,,,,,,,61.1321
1991-12-23,,,,,,,,,,,,,,,,,,,,63.2663
1991-12-24,,,,,,,,,,,,,,,,,,,,64.0286
1991-12-26,,,,,,,,,,,,,,,,,,,,61.7419
1991-12-27,,,,,,,,,,,,,,,,,,,,62.0468
1991-12-30,,,,,,,,,,,,,,,,,,,,62.5041
1991-12-31,,,,,,,,,,,,,,,,,,,,62.3516
1992-01-02,,,,,,,,,,,,,,,,,,,,61.2845
1992-01-03,,,,,,,,,,,,,,,,,,,,61.7419
1992-01-06,,,,,,,,,,,,,,,,,,,,62.5041
1992-01-07,,,,,,,,,,,,,,,,,,,,68.6021
1992-01-08,,,,,,,,,,,,,,,,,,,,68.6021
1992-01-09,,,,,,,,,,,,,,,,,,,,64.7908
1992-01-10,,,,,,,,,,,,,,,,,,,,69.3643
1992-01-13,,,,,,,,,,,,,,,,,,,,70.904
1992-01-14,,,,,,,,,,,,,,,,,,,,75.6147
1992-01-15,,,,,,,,,,,,,,,,,,,,76.2245
1992-01-16,,,,,,,,,,,,,,,,,,,,76.2245
