,ALEXA FP Equity_DX_SI_QTY,ALEXA FP Equity_DX_SHORT_INTEREST_VALUE,ALEXA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALEXA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALEXA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALEXA FP Equity_DX_SI_MV,ALEXA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALEXA FP Equity_DX_SUPPLY_SI_QTY,ALEXA FP Equity_DX_BROKER_SI_QTY,ALEXA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALEXA FP Equity_DX_SUPPLY_SI_MV,ALEXA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALEXA FP Equity_DX_UTILIZATION_QUANTITY,ALEXA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALEXA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALEXA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALEXA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALEXA FP Equity_DX_BROKER_SI_CON_RATIO,ALEXA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALEXA FP Equity_PX_LAST
1994-01-28,,,,,,,,,,,,,,,,,,,,158.547
1994-01-31,,,,,,,,,,,,,,,,,,,,158.547
1994-02-01,,,,,,,,,,,,,,,,,,,,158.547
1994-02-02,,,,,,,,,,,,,,,,,,,,160.0715
1994-02-03,,,,,,,,,,,,,,,,,,,,169.2184
1994-02-04,,,,,,,,,,,,,,,,,,,,169.2184
1994-02-07,,,,,,,,,,,,,,,,,,,,175.3164
1994-02-08,,,,,,,,,,,,,,,,,,,,174.859
1994-02-09,,,,,,,,,,,,,,,,,,,,175.3164
1994-02-10,,,,,,,,,,,,,,,,,,,,173.7919
1994-02-11,,,,,,,,,,,,,,,,,,,,175.3164
1994-02-14,,,,,,,,,,,,,,,,,,,,176.8409
1994-02-15,,,,,,,,,,,,,,,,,,,,176.0786
1994-02-16,,,,,,,,,,,,,,,,,,,,176.8409
1994-02-17,,,,,,,,,,,,,,,,,,,,176.8409
1994-02-18,,,,,,,,,,,,,,,,,,,,178.3654
1994-02-21,,,,,,,,,,,,,,,,,,,,180.3472
1994-02-22,,,,,,,,,,,,,,,,,,,,180.0423
1994-02-23,,,,,,,,,,,,,,,,,,,,180.3472
1994-02-24,,,,,,,,,,,,,,,,,,,,181.1094
1994-02-25,,,,,,,,,,,,,,,,,,,,178.0605
1994-02-28,,,,,,,,,,,,,,,,,,,,179.1276
1994-03-02,,,,,,,,,,,,,,,,,,,,179.1276
1994-03-03,,,,,,,,,,,,,,,,,,,,178.9751
1994-03-04,,,,,,,,,,,,,,,,,,,,178.9751
1994-03-07,,,,,,,,,,,,,,,,,,,,179.4325
1994-03-08,,,,,,,,,,,,,,,,,,,,181.1094
1994-03-09,,,,,,,,,,,,,,,,,,,,181.1094
1994-03-10,,,,,,,,,,,,,,,,,,,,180.6521
1994-03-11,,,,,,,,,,,,,,,,,,,,179.8898
1994-03-14,,,,,,,,,,,,,,,,,,,,179.8898
1994-03-15,,,,,,,,,,,,,,,,,,,,182.6339
1994-03-16,,,,,,,,,,,,,,,,,,,,179.8898
1994-03-17,,,,,,,,,,,,,,,,,,,,182.9388
1994-03-18,,,,,,,,,,,,,,,,,,,,181.4143
1994-03-21,,,,,,,,,,,,,,,,,,,,181.4143
1994-03-22,,,,,,,,,,,,,,,,,,,,182.9388
1994-03-23,,,,,,,,,,,,,,,,,,,,183.0913
1994-03-24,,,,,,,,,,,,,,,,,,,,182.9388
1994-03-25,,,,,,,,,,,,,,,,,,,,178.3654
1994-03-28,,,,,,,,,,,,,,,,,,,,175.3164
1994-03-29,,,,,,,,,,,,,,,,,,,,173.7919
1994-03-30,,,,,,,,,,,,,,,,,,,,172.5723
1994-03-31,,,,,,,,,,,,,,,,,,,,167.5415
1994-04-05,,,,,,,,,,,,,,,,,,,,166.017
1994-04-06,,,,,,,,,,,,,,,,,,,,158.547
1994-04-07,,,,,,,,,,,,,,,,,,,,158.547
1994-04-08,,,,,,,,,,,,,,,,,,,,158.547
1994-04-11,,,,,,,,,,,,,,,,,,,,153.9735
1994-04-12,,,,,,,,,,,,,,,,,,,,149.5525
1994-04-13,,,,,,,,,,,,,,,,,,,,157.0225
1994-04-14,,,,,,,,,,,,,,,,,,,,146.3511
1994-04-15,,,,,,,,,,,,,,,,,,,,148.028
1994-04-18,,,,,,,,,,,,,,,,,,,,148.028
1994-04-19,,,,,,,,,,,,,,,,,,,,148.028
1994-04-20,,,,,,,,,,,,,,,,,,,,147.8755
1994-04-21,,,,,,,,,,,,,,,,,,,,147.8755
1994-04-22,,,,,,,,,,,,,,,,,,,,147.8755
1994-04-25,,,,,,,,,,,,,,,,,,,,148.028
1994-04-26,,,,,,,,,,,,,,,,,,,,149.0951
1994-04-27,,,,,,,,,,,,,,,,,,,,148.028
1994-04-28,,,,,,,,,,,,,,,,,,,,147.8755
1994-04-29,,,,,,,,,,,,,,,,,,,,147.8755
1994-05-02,,,,,,,,,,,,,,,,,,,,147.8755
1994-05-03,,,,,,,,,,,,,,,,,,,,147.8755
1994-05-04,,,,,,,,,,,,,,,,,,,,147.8755
1994-05-06,,,,,,,,,,,,,,,,,,,,146.3511
1994-05-09,,,,,,,,,,,,,,,,,,,,147.8755
1994-05-10,,,,,,,,,,,,,,,,,,,,147.8755
1994-05-11,,,,,,,,,,,,,,,,,,,,152.449
1994-05-16,,,,,,,,,,,,,,,,,,,,149.0951
1994-05-17,,,,,,,,,,,,,,,,,,,,149.0951
1994-05-18,,,,,,,,,,,,,,,,,,,,150.1623
1994-05-19,,,,,,,,,,,,,,,,,,,,151.6868
1994-05-24,,,,,,,,,,,,,,,,,,,,152.449
1994-05-25,,,,,,,,,,,,,,,,,,,,152.449
1994-05-26,,,,,,,,,,,,,,,,,,,,153.2113
1994-05-27,,,,,,,,,,,,,,,,,,,,153.2113
1994-05-30,,,,,,,,,,,,,,,,,,,,152.449
1994-05-31,,,,,,,,,,,,,,,,,,,,153.9735
1994-06-01,,,,,,,,,,,,,,,,,,,,152.449
1994-06-02,,,,,,,,,,,,,,,,,,,,149.4
1994-06-03,,,,,,,,,,,,,,,,,,,,149.4
1994-06-06,,,,,,,,,,,,,,,,,,,,149.4
1994-06-07,,,,,,,,,,,,,,,,,,,,134.9174
1994-06-08,,,,,,,,,,,,,,,,,,,,140.8629
1994-06-10,,,,,,,,,,,,,,,,,,,,151.5343
1994-06-13,,,,,,,,,,,,,,,,,,,,152.2966
1994-06-14,,,,,,,,,,,,,,,,,,,,147.1133
1994-06-20,,,,,,,,,,,,,,,,,,,,146.1986
1994-06-22,,,,,,,,,,,,,,,,,,,,146.3511
1994-06-23,,,,,,,,,,,,,,,,,,,,146.3511
1994-06-27,,,,,,,,,,,,,,,,,,,,146.3511
1994-06-28,,,,,,,,,,,,,,,,,,,,146.3511
1994-07-04,,,,,,,,,,,,,,,,,,,,144.8266
1994-07-05,,,,,,,,,,,,,,,,,,,,140.8629
1994-07-06,,,,,,,,,,,,,,,,,,,,141.7776
1994-07-07,,,,,,,,,,,,,,,,,,,,144.8266
1994-07-08,,,,,,,,,,,,,,,,,,,,140.2531
1994-07-12,,,,,,,,,,,,,,,,,,,,144.8266
1994-07-13,,,,,,,,,,,,,,,,,,,,147.8755
1994-07-18,,,,,,,,,,,,,,,,,,,,148.6378
1994-07-19,,,,,,,,,,,,,,,,,,,,148.6378
1994-07-20,,,,,,,,,,,,,,,,,,,,152.449
1994-07-25,,,,,,,,,,,,,,,,,,,,152.449
1994-07-26,,,,,,,,,,,,,,,,,,,,152.449
1994-07-27,,,,,,,,,,,,,,,,,,,,140.2531
1994-07-28,,,,,,,,,,,,,,,,,,,,140.2531
1994-07-29,,,,,,,,,,,,,,,,,,,,140.4055
1994-08-01,,,,,,,,,,,,,,,,,,,,150.1623
1994-08-03,,,,,,,,,,,,,,,,,,,,152.2966
1994-08-05,,,,,,,,,,,,,,,,,,,,155.498
1994-08-08,,,,,,,,,,,,,,,,,,,,152.449
1994-08-09,,,,,,,,,,,,,,,,,,,,152.449
1994-08-10,,,,,,,,,,,,,,,,,,,,152.449
1994-08-11,,,,,,,,,,,,,,,,,,,,152.449
1994-08-12,,,,,,,,,,,,,,,,,,,,152.2966
1994-08-17,,,,,,,,,,,,,,,,,,,,152.2966
1994-08-18,,,,,,,,,,,,,,,,,,,,152.9064
1994-08-19,,,,,,,,,,,,,,,,,,,,150.1623
1994-08-22,,,,,,,,,,,,,,,,,,,,148.6378
1994-08-23,,,,,,,,,,,,,,,,,,,,149.0951
1994-08-24,,,,,,,,,,,,,,,,,,,,148.6378
1994-08-25,,,,,,,,,,,,,,,,,,,,141.1678
1994-08-26,,,,,,,,,,,,,,,,,,,,141.7776
1994-08-29,,,,,,,,,,,,,,,,,,,,150.9245
1994-08-30,,,,,,,,,,,,,,,,,,,,150.1623
1994-08-31,,,,,,,,,,,,,,,,,,,,150.0098
1994-09-01,,,,,,,,,,,,,,,,,,,,150.1623
1994-09-02,,,,,,,,,,,,,,,,,,,,139.0335
1994-09-05,,,,,,,,,,,,,,,,,,,,148.6378
1994-09-06,,,,,,,,,,,,,,,,,,,,149.4
1994-09-07,,,,,,,,,,,,,,,,,,,,149.2476
1994-09-08,,,,,,,,,,,,,,,,,,,,148.6378
1994-09-12,,,,,,,,,,,,,,,,,,,,148.6378
1994-09-13,,,,,,,,,,,,,,,,,,,,148.6378
1994-09-14,,,,,,,,,,,,,,,,,,,,148.6378
1994-09-15,,,,,,,,,,,,,,,,,,,,144.3692
1994-09-23,,,,,,,,,,,,,,,,,,,,137.2041
1994-09-26,,,,,,,,,,,,,,,,,,,,135.9845
1994-09-27,,,,,,,,,,,,,,,,,,,,144.3692
